診療科名,予約名称,区分,曜日,bin_idx,bin_label,稼働日数,該当日数,稼働頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,SL_0009,全体,1,4,10:00,1,5,0.2,1,21,0.2,4.2
PICCCVポートセンター,SL_0009,全体,1,5,10:30,1,5,0.2,1,30,0.2,6.0
PICCCVポートセンター,SL_0009,全体,1,6,11:00,1,5,0.2,1,30,0.2,6.0
PICCCVポートセンター,SL_0009,全体,1,7,11:30,1,5,0.2,1,22,0.2,4.4
PICCCVポートセンター,SL_0009,全体,2,3,09:30,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,SL_0009,全体,3,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,4,5,10:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,全体,4,14,15:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,4,15,15:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,全体,4,17,16:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,再診,1,4,10:00,1,5,0.2,1,21,0.2,4.2
PICCCVポートセンター,SL_0009,再診,1,5,10:30,1,5,0.2,1,30,0.2,6.0
PICCCVポートセンター,SL_0009,再診,1,6,11:00,1,5,0.2,1,30,0.2,6.0
PICCCVポートセンター,SL_0009,再診,1,7,11:30,1,5,0.2,1,22,0.2,4.4
PICCCVポートセンター,SL_0009,再診,2,3,09:30,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,SL_0009,再診,3,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,4,5,10:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,再診,4,14,15:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,4,15,15:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,再診,4,17,16:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,薬再診,2,3,09:30,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,SL_0009,薬再診,3,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,薬再診,4,5,10:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,薬再診,4,14,15:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,薬再診,4,15,15:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,薬再診,4,17,16:30,1,4,0.25,1,1,0.25,0.2
がんゲノム,SL_0088,全体,0,11,13:30,1,5,0.2,1,5,0.2,1.0
がんゲノム,SL_0088,全体,0,12,14:00,1,5,0.2,1,15,0.2,3.0
がんゲノム,SL_0088,全体,0,13,14:30,1,5,0.2,1,17,0.2,3.4
がんゲノム,SL_0088,全体,1,11,13:30,2,5,0.4,2,12,0.4,2.4
がんゲノム,SL_0088,全体,1,12,14:00,2,5,0.4,2,60,0.4,12.0
がんゲノム,SL_0088,全体,1,13,14:30,2,5,0.4,3,32,0.6,6.4
がんゲノム,SL_0088,全体,1,14,15:00,1,5,0.2,4,26,0.8,5.2
がんゲノム,SL_0088,全体,1,15,15:30,1,5,0.2,1,20,0.2,4.0
がんゲノム,SL_0088,再診,0,11,13:30,1,5,0.2,1,5,0.2,1.0
がんゲノム,SL_0088,再診,0,12,14:00,1,5,0.2,1,15,0.2,3.0
がんゲノム,SL_0088,再診,0,13,14:30,1,5,0.2,1,17,0.2,3.4
がんゲノム,SL_0088,再診,1,11,13:30,2,5,0.4,2,12,0.4,2.4
がんゲノム,SL_0088,再診,1,12,14:00,2,5,0.4,2,60,0.4,12.0
がんゲノム,SL_0088,再診,1,13,14:30,2,5,0.4,3,32,0.6,6.4
がんゲノム,SL_0088,再診,1,14,15:00,1,5,0.2,4,26,0.8,5.2
がんゲノム,SL_0088,再診,1,15,15:30,1,5,0.2,1,20,0.2,4.0
アレルギー科,SL_0009,全体,0,4,10:00,1,5,0.2,1,15,0.2,3.0
アレルギー科,SL_0009,全体,0,5,10:30,1,5,0.2,1,2,0.2,0.4
アレルギー科,SL_0009,全体,2,4,10:00,2,5,0.4,3,23,0.6,4.6
アレルギー科,SL_0009,全体,3,7,11:30,2,4,0.5,2,11,0.5,2.8
アレルギー科,SL_0009,全体,3,8,12:00,1,4,0.25,1,16,0.25,4.0
アレルギー科,SL_0009,再診,0,4,10:00,1,5,0.2,1,15,0.2,3.0
アレルギー科,SL_0009,再診,0,5,10:30,1,5,0.2,1,2,0.2,0.4
アレルギー科,SL_0009,再診,2,4,10:00,2,5,0.4,3,23,0.6,4.6
アレルギー科,SL_0009,再診,3,7,11:30,2,4,0.5,2,11,0.5,2.8
アレルギー科,SL_0009,再診,3,8,12:00,1,4,0.25,1,16,0.25,4.0
アレルギー科,SL_0009,薬再診,2,4,10:00,1,5,0.2,1,4,0.2,0.8
アレルギー科,SL_0033,全体,2,3,09:30,3,5,0.6,6,41,1.2,8.2
アレルギー科,SL_0033,全体,2,4,10:00,4,5,0.8,11,61,2.2,12.2
アレルギー科,SL_0033,全体,2,5,10:30,4,5,0.8,12,93,2.4,18.6
アレルギー科,SL_0033,全体,2,6,11:00,4,5,0.8,13,95,2.6,19.0
アレルギー科,SL_0033,全体,2,7,11:30,3,5,0.6,4,24,0.8,4.8
アレルギー科,SL_0033,全体,2,16,16:00,1,5,0.2,1,14,0.2,2.8
アレルギー科,SL_0033,再診,2,3,09:30,3,5,0.6,6,41,1.2,8.2
アレルギー科,SL_0033,再診,2,4,10:00,4,5,0.8,11,61,2.2,12.2
アレルギー科,SL_0033,再診,2,5,10:30,4,5,0.8,12,93,2.4,18.6
アレルギー科,SL_0033,再診,2,6,11:00,4,5,0.8,13,95,2.6,19.0
アレルギー科,SL_0033,再診,2,7,11:30,3,5,0.6,4,24,0.8,4.8
アレルギー科,SL_0033,再診,2,16,16:00,1,5,0.2,1,14,0.2,2.8
アレルギー科,SL_0033,薬再診,2,3,09:30,1,5,0.2,1,4,0.2,0.8
アレルギー科,SL_0033,薬再診,2,4,10:00,2,5,0.4,3,14,0.6,2.8
アレルギー科,SL_0033,薬再診,2,5,10:30,2,5,0.4,2,3,0.4,0.6
アレルギー科,SL_0033,薬再診,2,6,11:00,2,5,0.4,2,5,0.4,1.0
アレルギー科,SL_0033,薬再診,2,7,11:30,1,5,0.2,1,4,0.2,0.8
アレルギー科,SL_0061,全体,1,2,09:00,4,5,0.8,6,30,1.2,6.0
アレルギー科,SL_0061,全体,1,3,09:30,4,5,0.8,8,62,1.6,12.4
アレルギー科,SL_0061,全体,1,4,10:00,3,5,0.6,9,45,1.8,9.0
アレルギー科,SL_0061,全体,1,5,10:30,4,5,0.8,12,76,2.4,15.2
アレルギー科,SL_0061,全体,1,6,11:00,4,5,0.8,11,59,2.2,11.8
アレルギー科,SL_0061,全体,1,7,11:30,3,5,0.6,5,29,1.0,5.8
アレルギー科,SL_0061,再診,1,2,09:00,4,5,0.8,6,30,1.2,6.0
アレルギー科,SL_0061,再診,1,3,09:30,4,5,0.8,8,62,1.6,12.4
アレルギー科,SL_0061,再診,1,4,10:00,3,5,0.6,9,45,1.8,9.0
アレルギー科,SL_0061,再診,1,5,10:30,4,5,0.8,12,76,2.4,15.2
アレルギー科,SL_0061,再診,1,6,11:00,4,5,0.8,11,59,2.2,11.8
アレルギー科,SL_0061,再診,1,7,11:30,3,5,0.6,5,29,1.0,5.8
アレルギー科,SL_0061,薬再診,1,2,09:00,1,5,0.2,2,8,0.4,1.6
アレルギー科,SL_0061,薬再診,1,3,09:30,3,5,0.6,3,10,0.6,2.0
アレルギー科,SL_0061,薬再診,1,4,10:00,2,5,0.4,3,13,0.6,2.6
アレルギー科,SL_0061,薬再診,1,5,10:30,1,5,0.2,2,6,0.4,1.2
アレルギー科,SL_0061,薬再診,1,6,11:00,4,5,0.8,5,18,1.0,3.6
アレルギー科,SL_0061,薬再診,1,7,11:30,2,5,0.4,3,10,0.6,2.0
アレルギー科,SL_0100,全体,0,2,09:00,3,5,0.6,3,15,0.6,3.0
アレルギー科,SL_0100,全体,0,3,09:30,3,5,0.6,10,64,2.0,12.8
アレルギー科,SL_0100,全体,0,4,10:00,3,5,0.6,9,58,1.8,11.6
アレルギー科,SL_0100,全体,0,5,10:30,4,5,0.8,10,70,2.0,14.0
アレルギー科,SL_0100,全体,0,6,11:00,3,5,0.6,6,44,1.2,8.8
アレルギー科,SL_0100,再診,0,2,09:00,3,5,0.6,3,15,0.6,3.0
アレルギー科,SL_0100,再診,0,3,09:30,3,5,0.6,10,64,2.0,12.8
