診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2025-12,69,0,69,0,0,2,0.0,0.0,0.0,2.9
がんゲノム,2025-12,8,0,8,0,0,0,0.0,0.0,0.0,0.0
アレルギー科,2025-12,174,2,172,2,2,6,1.15,100.0,1.15,3.45
ソーシャルワーカー,2025-12,114,0,114,0,0,32,0.0,0.0,0.0,28.07
メンタルケア科,2025-12,373,2,371,1,1,40,0.54,50.0,0.27,10.72
リウマチ膠原病内科,2025-12,1163,31,1132,29,29,28,2.67,93.55,2.49,2.41
一般消化器外科,2025-12,1117,58,1059,50,57,90,5.19,86.21,5.1,8.06
中央処置室,2025-12,170,0,170,0,0,2,0.0,0.0,0.0,1.18
乳腺外科,2025-12,1690,68,1622,60,61,64,4.02,88.24,3.61,3.79
健診センター,2025-12,82,0,82,0,0,12,0.0,0.0,0.0,14.63
入退院支援センター,2025-12,721,0,721,0,0,0,0.0,0.0,0.0,0.0
内科,2025-12,386,224,162,28,43,1,58.03,12.5,11.14,0.26
呼吸器内科,2025-12,1403,99,1304,90,94,75,7.06,90.91,6.7,5.35
呼吸器外科,2025-12,217,7,210,6,6,11,3.23,85.71,2.76,5.07
外来手術室,2025-12,443,0,443,0,0,49,0.0,0.0,0.0,11.06
小児科,2025-12,633,113,520,49,50,38,17.85,43.36,7.9,6.0
形成外科,2025-12,592,36,556,32,32,46,6.08,88.89,5.41,7.77
循環器内科,2025-12,1623,132,1491,107,115,64,8.13,81.06,7.09,3.94
心臓血管外科,2025-12,208,4,204,4,4,12,1.92,100.0,1.92,5.77
感染症,2025-12,36,0,36,0,0,11,0.0,0.0,0.0,30.56
放射線治療科,2025-12,969,4,965,4,4,37,0.41,100.0,0.41,3.82
放射線診断科,2025-12,3,0,3,0,0,3,0.0,0.0,0.0,100.0
救急科,2025-12,406,258,148,7,14,10,63.55,2.71,3.45,2.46
整形外科,2025-12,1945,223,1722,208,209,107,11.47,93.27,10.75,5.5
歯科口腔外科,2025-12,1116,209,907,145,145,40,18.73,69.38,12.99,3.58
泌尿器科,2025-12,3779,105,3674,88,92,195,2.78,83.81,2.43,5.16
消化器内科,2025-12,1798,202,1596,188,191,74,11.23,93.07,10.62,4.12
産婦人科,2025-12,2117,167,1950,145,146,230,7.89,86.83,6.9,10.86
皮膚・排泄ケア,2025-12,68,0,68,0,0,60,0.0,0.0,0.0,88.24
皮膚科,2025-12,1228,106,1122,82,83,44,8.63,77.36,6.76,3.58
看護部,2025-12,133,0,133,0,0,19,0.0,0.0,0.0,14.29
眼科,2025-12,3419,231,3188,212,214,105,6.76,91.77,6.26,3.07
禁煙外来,2025-12,5,1,4,1,1,1,20.0,100.0,20.0,20.0
総合内科,2025-12,1321,203,1118,129,135,43,15.37,63.55,10.22,3.26
緩和ケアチーム,2025-12,32,0,32,0,0,17,0.0,0.0,0.0,53.12
緩和ケア内科,2025-12,1,0,1,0,0,0,0.0,0.0,0.0,0.0
耳鼻咽喉科,2025-12,1947,184,1763,145,145,102,9.45,78.8,7.45,5.24
脳神経内科,2025-12,602,55,547,52,54,19,9.14,94.55,8.97,3.16
脳神経外科,2025-12,242,31,211,23,23,6,12.81,74.19,9.5,2.48
腎内科,2025-12,799,29,770,27,28,33,3.63,93.1,3.5,4.13
臨床工学技師,2025-12,250,0,250,0,0,186,0.0,0.0,0.0,74.4
臨床腫瘍科,2025-12,174,0,174,0,0,3,0.0,0.0,0.0,1.72
薬剤部,2025-12,139,0,139,0,0,2,0.0,0.0,0.0,1.44
血液内科,2025-12,911,26,885,25,25,37,2.85,96.15,2.74,4.06
退院支援,2025-12,154,0,154,0,0,54,0.0,0.0,0.0,35.06
通院治療センター,2025-12,40,0,40,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2025-12,73,17,56,2,7,7,23.29,11.76,9.59,9.59
骨転移カンファレンス,2025-12,6,0,6,0,0,4,0.0,0.0,0.0,66.67
麻酔科,2025-12,406,0,406,0,0,0,0.0,0.0,0.0,0.0
ＥＳＴ(倫理相談),2025-12,1,0,1,0,0,1,0.0,0.0,0.0,100.0
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-12,109,2,107,2,2,5,1.83,100.0,1.83,4.59
