診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2025-12,69,65,0.942,69,1.0,0.0,98.1
がんゲノム,DR_ON001,SL_0088,2025-12,8,0,0.0,8,1.0,22.0,
アレルギー科,DR_RS2003,SL_0061,2025-12,43,15,0.349,43,1.0,5.0,74.4
アレルギー科,DR_AL002,SL_0189,2025-12,44,10,0.227,44,1.0,7.0,68.8
アレルギー科,DR_AL001,SL_0033,2025-12,40,9,0.225,40,1.0,8.0,68.0
アレルギー科,DR_RS2005,SL_0100,2025-12,34,6,0.176,34,1.0,7.0,67.1
アレルギー科,DR_AL001,SL_0009,2025-12,3,1,0.333,3,1.0,7.0,
アレルギー科,DR_AL002,SL_0009,2025-12,4,2,0.5,4,1.0,4.5,
アレルギー科,DR_RS2003,SL_0361,2025-12,2,0,0.0,2,1.0,10.5,
アレルギー科,DR_RS2005,SL_0009,2025-12,2,1,0.5,2,1.0,8.0,
ソーシャルワーカー,DR_XX001,SL_0011,2025-12,94,66,0.702,94,1.0,0.0,90.1
ソーシャルワーカー,DR_XX001,SL_0009,2025-12,18,8,0.444,18,1.0,0.0,81.5
ソーシャルワーカー,DR_XX031,SL_0767,2025-12,1,0,0.0,1,1.0,,
ソーシャルワーカー,DR_XX034,SL_0009,2025-12,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN005,SL_0609,2025-12,10,10,1.0,10,1.0,0.0,100.0
メンタルケア科,DR_MN002,SL_0009,2025-12,86,36,0.419,86,1.0,4.5,77.1
メンタルケア科,DR_MN004,SL_0255,2025-12,66,17,0.258,66,1.0,8.5,68.7
メンタルケア科,DR_MN001,SL_0043,2025-12,134,23,0.172,134,1.0,9.0,65.4
メンタルケア科,DR_MN009,SL_0721,2025-12,44,2,0.045,44,1.0,12.0,58.9
メンタルケア科,DR_MN001,SL_0009,2025-12,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN001,SL_0624,2025-12,9,2,0.222,9,1.0,6.0,
メンタルケア科,DR_MN004,SL_0009,2025-12,5,0,0.0,5,1.0,16.0,
メンタルケア科,DR_MN004,SL_0545,2025-12,3,2,0.667,3,1.0,0.0,
メンタルケア科,DR_MN006,SL_0005,2025-12,2,0,0.0,2,1.0,,
メンタルケア科,DR_MN007,SL_0009,2025-12,1,0,0.0,1,1.0,19.0,
メンタルケア科,DR_MN009,SL_0009,2025-12,2,2,1.0,2,1.0,0.0,
メンタルケア科,DR_MN009,SL_0763,2025-12,6,2,0.333,6,1.0,6.0,
メンタルケア科,DR_MN010,SL_0828,2025-12,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN011,SL_0891,2025-12,1,0,0.0,1,1.0,,
リウマチ膠原病内科,DR_RH010,SL_0009,2025-12,16,15,0.938,16,1.0,0.5,97.5
リウマチ膠原病内科,DR_RH004,SL_0139,2025-12,111,67,0.604,111,1.0,4.0,83.7
