診療科名,曜日,受付h,件数,待_中央値,待_平均,待_Q1,待_Q3,診察_中央値,診察_平均,診察_Q3,会計_中央値,会計_平均
PICCCVポートセンター,0,0,1.0,,,,,,,,,
PICCCVポートセンター,0,8,1.0,141.0,141.0,141.0,141.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,9,3.0,18.0,29.7,9.0,44.5,0.0,0.0,0.0,,
PICCCVポートセンター,0,10,2.0,133.0,133.0,110.5,155.5,0.0,0.0,0.0,,
PICCCVポートセンター,0,11,3.0,201.0,173.7,156.5,204.5,0.0,0.0,0.0,,
PICCCVポートセンター,0,12,1.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,7,2.0,160.0,160.0,159.0,161.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,8,1.0,117.0,117.0,117.0,117.0,103.0,103.0,103.0,,
PICCCVポートセンター,1,9,4.0,72.5,113.5,24.0,162.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,8,1.0,61.0,61.0,61.0,61.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,9,2.0,0.5,0.5,0.2,0.8,1.0,1.0,1.5,,
PICCCVポートセンター,2,10,2.0,76.0,76.0,38.0,114.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,12,2.0,126.5,126.5,111.2,141.8,0.0,0.0,0.0,,
PICCCVポートセンター,2,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,0,1.0,,,,,,,,,
PICCCVポートセンター,3,8,1.0,339.0,339.0,339.0,339.0,1.0,1.0,1.0,,
PICCCVポートセンター,3,9,1.0,147.0,147.0,147.0,147.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,11,3.0,0.0,69.7,0.0,104.5,0.0,0.0,0.0,,
PICCCVポートセンター,3,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
