診療科名,併科診療科略称名1,曜日,初再診区分,件数
PICCCVポートセンター,呼吸,3,再診,1
PICCCVポートセンター,呼吸,4,再診,2
PICCCVポートセンター,整形,4,再診,1
PICCCVポートセンター,歯口,4,再診,2
PICCCVポートセンター,消化,0,再診,1
PICCCVポートセンター,消化,2,再診,1
PICCCVポートセンター,消化,3,再診,1
PICCCVポートセンター,消化,4,再診,1
PICCCVポートセンター,産婦,0,再診,1
PICCCVポートセンター,産婦,4,再診,1
PICCCVポートセンター,皮膚,1,再診,3
PICCCVポートセンター,総合,0,再診,1
PICCCVポートセンター,総合,1,再診,1
PICCCVポートセンター,耳鼻,4,再診,1
PICCCVポートセンター,腎内,4,再診,1
PICCCVポートセンター,腫瘍,0,再診,1
PICCCVポートセンター,腫瘍,2,再診,1
PICCCVポートセンター,般外,4,再診,2
PICCCVポートセンター,血液,4,再診,1
PICCCVポートセンター,退院,1,再診,1
PICCCVポートセンター,退院,3,再診,1
がんゲノム,消化,0,再診,1
がんゲノム,看護,1,再診,4
アレルギー科,乳腺,1,再診,3
アレルギー科,乳腺,3,再診,1
アレルギー科,入退,1,再診,1
アレルギー科,入退,2,再診,1
アレルギー科,呼吸,0,再診,4
アレルギー科,呼吸,2,再診,1
アレルギー科,呼吸,3,再診,1
アレルギー科,循環,0,再診,1
アレルギー科,循環,2,再診,1
アレルギー科,心血,1,再診,1
アレルギー科,放射,2,再診,1
アレルギー科,放射,3,再診,2
アレルギー科,整形,1,再診,1
アレルギー科,歯口,1,再診,1
アレルギー科,泌尿,2,再診,2
アレルギー科,泌尿,3,再診,1
アレルギー科,消化,1,再診,1
アレルギー科,消化,2,再診,2
アレルギー科,皮膚,0,再診,1
アレルギー科,皮膚,1,再診,1
アレルギー科,眼科,3,再診,3
アレルギー科,総合,2,再診,1
アレルギー科,耳鼻,0,再診,1
アレルギー科,耳鼻,1,再診,2
アレルギー科,耳鼻,2,再診,1
アレルギー科,耳鼻,3,再診,3
アレルギー科,脳内,2,再診,1
アレルギー科,脳内,3,再診,1
アレルギー科,腎内,2,再診,1
アレルギー科,腎内,3,再診,1
アレルギー科,膠原,1,再診,2
アレルギー科,膠原,2,再診,1
アレルギー科,膠原,3,再診,2
アレルギー科,血液,0,再診,2
アレルギー科,血液,2,再診,2
アレルギー科,通院,1,再診,1
ソーシャルワーカー,呼吸,4,再診,1
ソーシャルワーカー,循環,1,再診,1
ソーシャルワーカー,循環,3,再診,1
ソーシャルワーカー,放射,0,再診,1
ソーシャルワーカー,放射,1,再診,1
ソーシャルワーカー,放射,4,再診,2
ソーシャルワーカー,整形,2,再診,1
ソーシャルワーカー,歯口,0,再診,1
ソーシャルワーカー,歯口,2,再診,1
ソーシャルワーカー,歯口,4,再診,2
ソーシャルワーカー,消化,2,再診,1
ソーシャルワーカー,消化,4,再診,1
ソーシャルワーカー,皮排,4,再診,2
ソーシャルワーカー,皮膚,0,再診,1
ソーシャルワーカー,皮膚,4,再診,1
ソーシャルワーカー,眼科,0,再診,1
ソーシャルワーカー,眼科,4,再診,1
ソーシャルワーカー,総合,0,再診,1
ソーシャルワーカー,耳鼻,3,再診,1
ソーシャルワーカー,脳内,0,再診,1
ソーシャルワーカー,脳内,3,再診,1
ソーシャルワーカー,膠原,1,再診,1
ソーシャルワーカー,般外,0,再診,2
ソーシャルワーカー,薬剤,3,再診,1
ソーシャルワーカー,血液,3,再診,1
ソーシャルワーカー,退院,0,再診,1
ソーシャルワーカー,退院,2,再診,2
ソーシャルワーカー,麻酔,2,再診,1
ソーシャルワーカー,ﾒﾝﾀﾙ,0,再診,1
ソーシャルワーカー,ﾒﾝﾀﾙ,4,再診,1
メンタルケア科,SW,0,再診,1
メンタルケア科,SW,4,再診,1
メンタルケア科,中処,4,再診,1
メンタルケア科,乳腺,2,再診,1
メンタルケア科,入退,2,再診,1
メンタルケア科,呼吸,0,再診,2
メンタルケア科,呼吸,1,再診,2
メンタルケア科,呼吸,2,再診,2
メンタルケア科,小児,0,再診,1
メンタルケア科,小児,3,再診,1
メンタルケア科,形成,1,再診,1
メンタルケア科,循環,0,再診,2
メンタルケア科,循環,2,再診,1
メンタルケア科,救急,0,再診,1
メンタルケア科,救急,3,再診,2
メンタルケア科,救急,4,再診,1
メンタルケア科,整形,0,再診,1
メンタルケア科,整形,2,再診,1
メンタルケア科,整形,4,再診,1
メンタルケア科,泌尿,0,再診,3
メンタルケア科,泌尿,1,再診,1
メンタルケア科,泌尿,3,再診,1
メンタルケア科,消化,0,再診,1
メンタルケア科,消化,1,再診,2
メンタルケア科,産婦,3,再診,1
メンタルケア科,産婦,4,再診,2
メンタルケア科,皮膚,0,再診,3
メンタルケア科,皮膚,2,再診,1
メンタルケア科,看護,2,再診,1
メンタルケア科,眼科,0,再診,1
メンタルケア科,総合,0,再診,7
メンタルケア科,総合,1,再診,1
メンタルケア科,総合,2,再診,2
メンタルケア科,総合,3,再診,1
メンタルケア科,総合,4,再診,2
メンタルケア科,耳鼻,2,再診,2
メンタルケア科,耳鼻,4,再診,1
メンタルケア科,脳内,0,再診,1
メンタルケア科,脳内,2,再診,2
メンタルケア科,脳内,3,再診,2
メンタルケア科,腎内,0,再診,1
メンタルケア科,腎内,2,再診,2
メンタルケア科,腎内,3,再診,1
メンタルケア科,膠原,2,再診,2
メンタルケア科,臨床,2,再診,1
メンタルケア科,臨床,3,再診,1
メンタルケア科,臨床,4,再診,1
メンタルケア科,般外,1,再診,1
メンタルケア科,般外,2,再診,2
メンタルケア科,退院,3,再診,1
メンタルケア科,退院,4,再診,1
メンタルケア科,麻酔,4,再診,1
リウマチ膠原病内科,アレ,1,再診,2
リウマチ膠原病内科,アレ,2,再診,1
リウマチ膠原病内科,アレ,3,再診,2
リウマチ膠原病内科,中処,1,再診,1
リウマチ膠原病内科,中処,3,再診,1
リウマチ膠原病内科,乳腺,0,再診,1
リウマチ膠原病内科,乳腺,1,再診,2
リウマチ膠原病内科,乳腺,2,再診,1
リウマチ膠原病内科,乳腺,4,再診,1
リウマチ膠原病内科,入退,1,再診,1
リウマチ膠原病内科,入退,3,再診,2
リウマチ膠原病内科,入退,3,初診,1
リウマチ膠原病内科,内科,0,再診,1
リウマチ膠原病内科,内科,2,再診,1
リウマチ膠原病内科,呼吸,0,再診,4
リウマチ膠原病内科,呼吸,1,再診,13
リウマチ膠原病内科,呼吸,2,再診,5
リウマチ膠原病内科,呼吸,3,再診,8
リウマチ膠原病内科,呼吸,4,再診,2
リウマチ膠原病内科,外来,2,再診,1
リウマチ膠原病内科,形成,1,再診,1
リウマチ膠原病内科,形成,4,再診,3
リウマチ膠原病内科,循環,1,再診,3
リウマチ膠原病内科,循環,3,再診,3
リウマチ膠原病内科,循環,4,再診,4
リウマチ膠原病内科,心血,1,再診,1
リウマチ膠原病内科,心血,4,再診,2
リウマチ膠原病内科,放射,2,再診,1
リウマチ膠原病内科,整形,0,再診,4
リウマチ膠原病内科,整形,1,再診,6
リウマチ膠原病内科,整形,2,再診,1
リウマチ膠原病内科,整形,3,再診,2
リウマチ膠原病内科,整形,3,初診,1
リウマチ膠原病内科,整形,4,再診,4
リウマチ膠原病内科,歯口,0,再診,1
リウマチ膠原病内科,歯口,1,再診,5
リウマチ膠原病内科,歯口,3,再診,2
リウマチ膠原病内科,泌尿,0,再診,1
