診療科名,月,診療区分,診察時間_階級,併科受診フラグ,紹介状有無,初再診区分,予約フラグ,診察前検査フラグ,件数
PICCCVポートセンター,2025-12,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,25
PICCCVポートセンター,2025-12,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,40
PICCCVポートセンター,2025-12,薬のみ,30分以上,無,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-12,薬のみ,不明,有,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-12,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,2
がんゲノム,2025-12,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,1
がんゲノム,2025-12,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2025-12,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,1
がんゲノム,2025-12,通常診療,30分以上,有,紹介状無し,再診,枠あり予約,なし,1
がんゲノム,2025-12,通常診療,30分以上,,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2025-12,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,1
アレルギー科,2025-12,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,4
アレルギー科,2025-12,薬のみ,10-14分,有,紹介状無し,再診,枠なし予約,なし,1
アレルギー科,2025-12,薬のみ,15-29分,無,紹介状無し,再診,枠なし予約,なし,2
アレルギー科,2025-12,薬のみ,5-9分,有,紹介状無し,再診,枠なし予約,検査未,1
アレルギー科,2025-12,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,なし,1
アレルギー科,2025-12,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,11
アレルギー科,2025-12,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,検査済,3
アレルギー科,2025-12,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,21
アレルギー科,2025-12,通常診療,0-4分,,紹介状無し,再診,枠あり予約,検査済,5
アレルギー科,2025-12,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,6
アレルギー科,2025-12,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,検査済,3
アレルギー科,2025-12,通常診療,10-14分,無,紹介状無し,再診,枠あり予約,,1
アレルギー科,2025-12,通常診療,10-14分,,紹介状無し,再診,枠あり予約,なし,15
アレルギー科,2025-12,通常診療,10-14分,,紹介状無し,再診,枠あり予約,至急済,6
アレルギー科,2025-12,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,なし,1
アレルギー科,2025-12,通常診療,15-29分,,紹介状あり,初診,枠あり予約,なし,1
アレルギー科,2025-12,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,2
アレルギー科,2025-12,通常診療,15-29分,,紹介状無し,再診,枠あり予約,至急済,1
アレルギー科,2025-12,通常診療,30分以上,有,紹介状無し,再診,枠あり予約,なし,1
アレルギー科,2025-12,通常診療,30分以上,,紹介状あり,初診,枠あり予約,なし,1
アレルギー科,2025-12,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,21
アレルギー科,2025-12,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,検査済,2
アレルギー科,2025-12,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,至急済,1
アレルギー科,2025-12,通常診療,5-9分,,紹介状無し,再診,枠あり予約,なし,34
アレルギー科,2025-12,通常診療,5-9分,,紹介状無し,再診,枠あり予約,検査済,15
アレルギー科,2025-12,通常診療,5-9分,,紹介状無し,再診,枠あり予約,至急済,7
アレルギー科,2025-12,通常診療,不明,有,紹介状無し,再診,枠あり予約,なし,1
アレルギー科,2025-12,通常診療,不明,有,紹介状無し,再診,枠あり予約,検査済,1
アレルギー科,2025-12,通常診療,不明,,紹介状無し,再診,枠あり予約,なし,5
ソーシャルワーカー,2025-12,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,5
ソーシャルワーカー,2025-12,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,3
ソーシャルワーカー,2025-12,薬のみ,不明,有,紹介状無し,再診,枠なし予約,なし,3
ソーシャルワーカー,2025-12,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,8
ソーシャルワーカー,2025-12,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,21
ソーシャルワーカー,2025-12,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,45
ソーシャルワーカー,2025-12,通常診療,不明,有,紹介状無し,再診,枠あり予約,なし,6
ソーシャルワーカー,2025-12,通常診療,不明,,紹介状無し,再診,枠あり予約,なし,23
メンタルケア科,2025-12,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,14
メンタルケア科,2025-12,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,25
メンタルケア科,2025-12,薬のみ,10-14分,有,紹介状無し,再診,枠なし予約,なし,3
メンタルケア科,2025-12,薬のみ,10-14分,無,紹介状無し,再診,枠なし予約,なし,3
メンタルケア科,2025-12,薬のみ,15-29分,有,紹介状無し,再診,枠なし予約,なし,3
メンタルケア科,2025-12,薬のみ,15-29分,無,紹介状無し,再診,枠なし予約,なし,6
メンタルケア科,2025-12,薬のみ,30分以上,有,紹介状無し,再診,枠なし予約,なし,5
メンタルケア科,2025-12,薬のみ,30分以上,無,紹介状無し,再診,枠なし予約,なし,6
メンタルケア科,2025-12,薬のみ,5-9分,有,紹介状無し,再診,枠なし予約,なし,8
メンタルケア科,2025-12,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,なし,8
メンタルケア科,2025-12,薬のみ,不明,有,紹介状無し,再診,枠なし予約,なし,1
メンタルケア科,2025-12,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,13
メンタルケア科,2025-12,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,10
メンタルケア科,2025-12,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,48
メンタルケア科,2025-12,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,13
メンタルケア科,2025-12,通常診療,10-14分,,紹介状無し,再診,枠あり予約,なし,53
メンタルケア科,2025-12,通常診療,10-14分,,紹介状無し,再診,枠あり予約,検査済,4
メンタルケア科,2025-12,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,なし,7
メンタルケア科,2025-12,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,32
メンタルケア科,2025-12,通常診療,15-29分,,紹介状無し,再診,枠あり予約,検査済,1
メンタルケア科,2025-12,通常診療,30分以上,有,紹介状無し,再診,枠あり予約,なし,1
メンタルケア科,2025-12,通常診療,30分以上,,紹介状あり,初診,枠あり予約,なし,1
メンタルケア科,2025-12,通常診療,30分以上,,紹介状無し,再診,枠あり予約,なし,2
メンタルケア科,2025-12,通常診療,30分以上,,紹介状無し,初診,枠あり予約,,1
メンタルケア科,2025-12,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,10
メンタルケア科,2025-12,通常診療,5-9分,,紹介状無し,再診,枠あり予約,なし,68
メンタルケア科,2025-12,通常診療,不明,有,紹介状無し,再診,枠あり予約,なし,2
メンタルケア科,2025-12,通常診療,不明,,紹介状無し,再診,枠あり予約,なし,25
リウマチ膠原病内科,2025-12,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,12
リウマチ膠原病内科,2025-12,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,43
リウマチ膠原病内科,2025-12,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,検査済,1
リウマチ膠原病内科,2025-12,薬のみ,0-4分,,紹介状無し,再診,枠なし予約,なし,1
リウマチ膠原病内科,2025-12,薬のみ,10-14分,有,紹介状無し,再診,枠なし予約,なし,5
リウマチ膠原病内科,2025-12,薬のみ,10-14分,無,紹介状無し,再診,枠なし予約,なし,3
リウマチ膠原病内科,2025-12,薬のみ,10-14分,無,紹介状無し,再診,枠なし予約,至急済,1
リウマチ膠原病内科,2025-12,薬のみ,15-29分,有,紹介状無し,再診,枠なし予約,なし,6
リウマチ膠原病内科,2025-12,薬のみ,15-29分,有,紹介状無し,再診,枠なし予約,検査済,1
リウマチ膠原病内科,2025-12,薬のみ,15-29分,有,紹介状無し,再診,枠なし予約,至急済,1
リウマチ膠原病内科,2025-12,薬のみ,15-29分,無,紹介状無し,再診,枠なし予約,なし,6
リウマチ膠原病内科,2025-12,薬のみ,15-29分,無,紹介状無し,再診,枠なし予約,検査済,3
リウマチ膠原病内科,2025-12,薬のみ,15-29分,無,紹介状無し,再診,枠なし予約,至急済,3
リウマチ膠原病内科,2025-12,薬のみ,15-29分,,紹介状無し,再診,枠なし予約,なし,1
リウマチ膠原病内科,2025-12,薬のみ,30分以上,有,紹介状無し,再診,枠なし予約,なし,3
リウマチ膠原病内科,2025-12,薬のみ,30分以上,無,紹介状無し,再診,枠なし予約,なし,3
リウマチ膠原病内科,2025-12,薬のみ,5-9分,有,紹介状無し,再診,枠なし予約,なし,12
リウマチ膠原病内科,2025-12,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,なし,7
リウマチ膠原病内科,2025-12,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,検査済,4
リウマチ膠原病内科,2025-12,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,至急済,1
リウマチ膠原病内科,2025-12,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,5
リウマチ膠原病内科,2025-12,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,38
リウマチ膠原病内科,2025-12,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,検査済,16
リウマチ膠原病内科,2025-12,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,至急済,10
リウマチ膠原病内科,2025-12,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,,1
リウマチ膠原病内科,2025-12,通常診療,0-4分,無,紹介状無し,再診,枠あり予約,,1
リウマチ膠原病内科,2025-12,通常診療,0-4分,,紹介状あり,初診,枠あり予約,なし,3
リウマチ膠原病内科,2025-12,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,64
リウマチ膠原病内科,2025-12,通常診療,0-4分,,紹介状無し,再診,枠あり予約,検査未,1
リウマチ膠原病内科,2025-12,通常診療,0-4分,,紹介状無し,再診,枠あり予約,検査済,95
リウマチ膠原病内科,2025-12,通常診療,0-4分,,紹介状無し,再診,枠あり予約,至急済,49
リウマチ膠原病内科,2025-12,通常診療,10-14分,有,紹介状あり,初診,枠あり予約,なし,3
リウマチ膠原病内科,2025-12,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,21
リウマチ膠原病内科,2025-12,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,検査済,13
リウマチ膠原病内科,2025-12,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,至急済,7
リウマチ膠原病内科,2025-12,通常診療,10-14分,,紹介状あり,初診,枠あり予約,なし,9
リウマチ膠原病内科,2025-12,通常診療,10-14分,,紹介状無し,再診,枠あり予約,なし,43
リウマチ膠原病内科,2025-12,通常診療,10-14分,,紹介状無し,再診,枠あり予約,検査済,57
リウマチ膠原病内科,2025-12,通常診療,10-14分,,紹介状無し,再診,枠あり予約,至急済,36
リウマチ膠原病内科,2025-12,通常診療,15-29分,有,紹介状あり,初診,枠あり予約,なし,1
リウマチ膠原病内科,2025-12,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,なし,8
リウマチ膠原病内科,2025-12,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,検査済,10
リウマチ膠原病内科,2025-12,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,至急済,7
リウマチ膠原病内科,2025-12,通常診療,15-29分,有,紹介状無し,初診,枠あり予約,なし,1
リウマチ膠原病内科,2025-12,通常診療,15-29分,無,紹介状無し,再診,枠あり予約,,3
リウマチ膠原病内科,2025-12,通常診療,15-29分,,紹介状あり,初診,枠あり予約,なし,8
リウマチ膠原病内科,2025-12,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,28
リウマチ膠原病内科,2025-12,通常診療,15-29分,,紹介状無し,再診,枠あり予約,検査未,1
リウマチ膠原病内科,2025-12,通常診療,15-29分,,紹介状無し,再診,枠あり予約,検査済,21
リウマチ膠原病内科,2025-12,通常診療,15-29分,,紹介状無し,再診,枠あり予約,至急済,14
リウマチ膠原病内科,2025-12,通常診療,30分以上,有,紹介状無し,再診,枠あり予約,検査済,1
リウマチ膠原病内科,2025-12,通常診療,30分以上,,紹介状あり,初診,枠あり予約,なし,1
リウマチ膠原病内科,2025-12,通常診療,30分以上,,紹介状無し,再診,枠あり予約,なし,5
リウマチ膠原病内科,2025-12,通常診療,30分以上,,紹介状無し,再診,枠あり予約,検査済,2
リウマチ膠原病内科,2025-12,通常診療,30分以上,,紹介状無し,再診,枠あり予約,至急済,1
リウマチ膠原病内科,2025-12,通常診療,5-9分,有,紹介状あり,初診,枠あり予約,なし,1
リウマチ膠原病内科,2025-12,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,35
リウマチ膠原病内科,2025-12,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,検査中,3
リウマチ膠原病内科,2025-12,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,検査済,35
リウマチ膠原病内科,2025-12,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,至急済,24
リウマチ膠原病内科,2025-12,通常診療,5-9分,有,紹介状無し,初診,枠あり予約,なし,1
リウマチ膠原病内科,2025-12,通常診療,5-9分,,紹介状あり,初診,枠あり予約,なし,2
リウマチ膠原病内科,2025-12,通常診療,5-9分,,紹介状無し,再診,枠あり予約,なし,73
リウマチ膠原病内科,2025-12,通常診療,5-9分,,紹介状無し,再診,枠あり予約,検査中,1
リウマチ膠原病内科,2025-12,通常診療,5-9分,,紹介状無し,再診,枠あり予約,検査未,1
リウマチ膠原病内科,2025-12,通常診療,5-9分,,紹介状無し,再診,枠あり予約,検査済,159
リウマチ膠原病内科,2025-12,通常診療,5-9分,,紹介状無し,再診,枠あり予約,至急済,87
リウマチ膠原病内科,2025-12,通常診療,不明,有,紹介状無し,再診,枠あり予約,なし,9
リウマチ膠原病内科,2025-12,通常診療,不明,有,紹介状無し,再診,枠あり予約,検査未,2
リウマチ膠原病内科,2025-12,通常診療,不明,有,紹介状無し,再診,枠あり予約,検査済,1
