診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2025-12,再診,紹介状無し,69
がんゲノム,2025-12,再診,紹介状無し,8
アレルギー科,2025-12,再診,紹介状無し,172
アレルギー科,2025-12,初診,紹介状あり,2
ソーシャルワーカー,2025-12,再診,紹介状無し,114
メンタルケア科,2025-12,再診,紹介状無し,371
メンタルケア科,2025-12,初診,紹介状あり,1
メンタルケア科,2025-12,初診,紹介状無し,1
リウマチ膠原病内科,2025-12,再診,紹介状無し,1132
リウマチ膠原病内科,2025-12,初診,紹介状あり,29
リウマチ膠原病内科,2025-12,初診,紹介状無し,2
一般消化器外科,2025-12,再診,紹介状あり,7
一般消化器外科,2025-12,再診,紹介状無し,1052
一般消化器外科,2025-12,初診,紹介状あり,50
一般消化器外科,2025-12,初診,紹介状無し,8
中央処置室,2025-12,再診,紹介状無し,170
乳腺外科,2025-12,再診,紹介状あり,1
乳腺外科,2025-12,再診,紹介状無し,1621
乳腺外科,2025-12,初診,紹介状あり,60
乳腺外科,2025-12,初診,紹介状無し,8
健診センター,2025-12,再診,紹介状無し,82
入退院支援センター,2025-12,再診,紹介状無し,721
内科,2025-12,再診,紹介状あり,15
内科,2025-12,再診,紹介状無し,147
内科,2025-12,初診,紹介状あり,28
内科,2025-12,初診,紹介状無し,196
呼吸器内科,2025-12,再診,紹介状あり,4
呼吸器内科,2025-12,再診,紹介状無し,1300
呼吸器内科,2025-12,初診,紹介状あり,90
呼吸器内科,2025-12,初診,紹介状無し,9
呼吸器外科,2025-12,再診,紹介状無し,210
呼吸器外科,2025-12,初診,紹介状あり,6
呼吸器外科,2025-12,初診,紹介状無し,1
外来手術室,2025-12,再診,紹介状無し,443
小児科,2025-12,再診,紹介状あり,1
小児科,2025-12,再診,紹介状無し,519
小児科,2025-12,初診,紹介状あり,49
小児科,2025-12,初診,紹介状無し,64
形成外科,2025-12,再診,紹介状無し,556
形成外科,2025-12,初診,紹介状あり,32
形成外科,2025-12,初診,紹介状無し,4
循環器内科,2025-12,再診,紹介状あり,8
循環器内科,2025-12,再診,紹介状無し,1483
循環器内科,2025-12,初診,紹介状あり,107
循環器内科,2025-12,初診,紹介状無し,25
心臓血管外科,2025-12,再診,紹介状無し,204
心臓血管外科,2025-12,初診,紹介状あり,4
感染症,2025-12,再診,紹介状無し,36
放射線治療科,2025-12,再診,紹介状無し,965
放射線治療科,2025-12,初診,紹介状あり,4
放射線診断科,2025-12,再診,紹介状無し,3
救急科,2025-12,再診,紹介状あり,7
救急科,2025-12,再診,紹介状無し,141
救急科,2025-12,初診,紹介状あり,7
救急科,2025-12,初診,紹介状無し,251
整形外科,2025-12,再診,紹介状あり,1
整形外科,2025-12,再診,紹介状無し,1721
整形外科,2025-12,初診,紹介状あり,208
整形外科,2025-12,初診,紹介状無し,15
歯科口腔外科,2025-12,再診,紹介状無し,907
歯科口腔外科,2025-12,初診,紹介状あり,145
歯科口腔外科,2025-12,初診,紹介状無し,64
泌尿器科,2025-12,再診,紹介状あり,4
泌尿器科,2025-12,再診,紹介状無し,3670
泌尿器科,2025-12,初診,紹介状あり,88
泌尿器科,2025-12,初診,紹介状無し,17
消化器内科,2025-12,再診,紹介状あり,3
消化器内科,2025-12,再診,紹介状無し,1593
消化器内科,2025-12,初診,紹介状あり,188
消化器内科,2025-12,初診,紹介状無し,14
産婦人科,2025-12,再診,紹介状あり,1
産婦人科,2025-12,再診,紹介状無し,1949
産婦人科,2025-12,初診,紹介状あり,145
産婦人科,2025-12,初診,紹介状無し,22
皮膚・排泄ケア,2025-12,再診,紹介状無し,68
皮膚科,2025-12,再診,紹介状あり,1
皮膚科,2025-12,再診,紹介状無し,1121
皮膚科,2025-12,初診,紹介状あり,82
皮膚科,2025-12,初診,紹介状無し,24
看護部,2025-12,再診,紹介状無し,133
眼科,2025-12,再診,紹介状あり,2
眼科,2025-12,再診,紹介状無し,3186
眼科,2025-12,初診,紹介状あり,212
眼科,2025-12,初診,紹介状無し,19
禁煙外来,2025-12,再診,紹介状無し,4
禁煙外来,2025-12,初診,紹介状あり,1
総合内科,2025-12,再診,紹介状あり,6
総合内科,2025-12,再診,紹介状無し,1112
総合内科,2025-12,初診,紹介状あり,129
総合内科,2025-12,初診,紹介状無し,74
緩和ケアチーム,2025-12,再診,紹介状無し,32
緩和ケア内科,2025-12,再診,紹介状無し,1
耳鼻咽喉科,2025-12,再診,紹介状無し,1763
耳鼻咽喉科,2025-12,初診,紹介状あり,145
耳鼻咽喉科,2025-12,初診,紹介状無し,39
脳神経内科,2025-12,再診,紹介状あり,2
脳神経内科,2025-12,再診,紹介状無し,545
脳神経内科,2025-12,初診,紹介状あり,52
脳神経内科,2025-12,初診,紹介状無し,3
脳神経外科,2025-12,再診,紹介状無し,211
脳神経外科,2025-12,初診,紹介状あり,23
脳神経外科,2025-12,初診,紹介状無し,8
腎内科,2025-12,再診,紹介状あり,1
腎内科,2025-12,再診,紹介状無し,769
腎内科,2025-12,初診,紹介状あり,27
腎内科,2025-12,初診,紹介状無し,2
臨床工学技師,2025-12,再診,紹介状無し,250
臨床腫瘍科,2025-12,再診,紹介状無し,174
薬剤部,2025-12,再診,紹介状無し,139
血液内科,2025-12,再診,紹介状無し,885
血液内科,2025-12,初診,紹介状あり,25
血液内科,2025-12,初診,紹介状無し,1
退院支援,2025-12,再診,紹介状無し,154
通院治療センター,2025-12,再診,紹介状無し,40
遺伝診療科,2025-12,再診,紹介状あり,5
遺伝診療科,2025-12,再診,紹介状無し,51
遺伝診療科,2025-12,初診,紹介状あり,2
遺伝診療科,2025-12,初診,紹介状無し,15
骨転移カンファレンス,2025-12,再診,紹介状無し,6
麻酔科,2025-12,再診,紹介状無し,406
ＥＳＴ(倫理相談),2025-12,再診,紹介状無し,1
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-12,再診,紹介状無し,107
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-12,初診,紹介状あり,2
