診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2026-03,再診,紹介状無し,58
がんゲノム,2026-03,再診,紹介状無し,12
アレルギー科,2026-03,再診,紹介状無し,188
アレルギー科,2026-03,初診,紹介状あり,1
アレルギー科,2026-03,初診,紹介状無し,1
ソーシャルワーカー,2026-03,再診,紹介状無し,136
メンタルケア科,2026-03,再診,紹介状無し,374
リウマチ膠原病内科,2026-03,再診,紹介状あり,1
リウマチ膠原病内科,2026-03,再診,紹介状無し,1143
リウマチ膠原病内科,2026-03,初診,紹介状あり,31
リウマチ膠原病内科,2026-03,初診,紹介状無し,3
一般消化器外科,2026-03,再診,紹介状あり,1
一般消化器外科,2026-03,再診,紹介状無し,1098
一般消化器外科,2026-03,初診,紹介状あり,50
一般消化器外科,2026-03,初診,紹介状無し,10
中央処置室,2026-03,再診,紹介状無し,196
乳腺外科,2026-03,再診,紹介状あり,3
乳腺外科,2026-03,再診,紹介状無し,1746
乳腺外科,2026-03,初診,紹介状あり,45
乳腺外科,2026-03,初診,紹介状無し,10
健診センター,2026-03,再診,紹介状無し,77
入退院支援センター,2026-03,再診,紹介状無し,723
内科,2026-03,再診,紹介状あり,18
内科,2026-03,再診,紹介状無し,133
内科,2026-03,初診,紹介状あり,37
内科,2026-03,初診,紹介状無し,183
呼吸器内科,2026-03,再診,紹介状あり,2
呼吸器内科,2026-03,再診,紹介状無し,1372
呼吸器内科,2026-03,初診,紹介状あり,70
呼吸器内科,2026-03,初診,紹介状無し,11
呼吸器外科,2026-03,再診,紹介状無し,192
呼吸器外科,2026-03,初診,紹介状あり,8
外来手術室,2026-03,再診,紹介状無し,443
小児科,2026-03,再診,紹介状無し,515
小児科,2026-03,初診,紹介状あり,55
小児科,2026-03,初診,紹介状無し,40
形成外科,2026-03,再診,紹介状無し,578
形成外科,2026-03,初診,紹介状あり,37
形成外科,2026-03,初診,紹介状無し,6
循環器内科,2026-03,再診,紹介状あり,8
循環器内科,2026-03,再診,紹介状無し,1414
循環器内科,2026-03,初診,紹介状あり,122
循環器内科,2026-03,初診,紹介状無し,23
心臓血管外科,2026-03,再診,紹介状無し,163
心臓血管外科,2026-03,初診,紹介状あり,2
心臓血管外科,2026-03,初診,紹介状無し,1
感染症,2026-03,再診,紹介状無し,29
放射線治療科,2026-03,再診,紹介状無し,946
放射線治療科,2026-03,初診,紹介状あり,9
放射線治療科,2026-03,初診,紹介状無し,1
放射線診断科,2026-03,再診,紹介状無し,1
救急科,2026-03,再診,紹介状あり,5
救急科,2026-03,再診,紹介状無し,121
救急科,2026-03,初診,紹介状あり,7
救急科,2026-03,初診,紹介状無し,208
整形外科,2026-03,再診,紹介状あり,4
整形外科,2026-03,再診,紹介状無し,1874
整形外科,2026-03,初診,紹介状あり,216
整形外科,2026-03,初診,紹介状無し,34
歯科口腔外科,2026-03,再診,紹介状無し,948
歯科口腔外科,2026-03,初診,紹介状あり,130
歯科口腔外科,2026-03,初診,紹介状無し,92
泌尿器科,2026-03,再診,紹介状あり,3
泌尿器科,2026-03,再診,紹介状無し,3561
泌尿器科,2026-03,初診,紹介状あり,100
泌尿器科,2026-03,初診,紹介状無し,23
消化器内科,2026-03,再診,紹介状あり,3
消化器内科,2026-03,再診,紹介状無し,1602
消化器内科,2026-03,初診,紹介状あり,153
消化器内科,2026-03,初診,紹介状無し,20
産婦人科,2026-03,再診,紹介状あり,1
産婦人科,2026-03,再診,紹介状無し,2065
産婦人科,2026-03,初診,紹介状あり,122
産婦人科,2026-03,初診,紹介状無し,21
皮膚・排泄ケア,2026-03,再診,紹介状無し,71
皮膚科,2026-03,再診,紹介状無し,1098
皮膚科,2026-03,初診,紹介状あり,81
皮膚科,2026-03,初診,紹介状無し,18
看護部,2026-03,再診,紹介状無し,109
眼科,2026-03,再診,紹介状あり,3
眼科,2026-03,再診,紹介状無し,3318
眼科,2026-03,初診,紹介状あり,206
眼科,2026-03,初診,紹介状無し,23
禁煙外来,2026-03,再診,紹介状無し,6
総合内科,2026-03,再診,紹介状無し,1084
総合内科,2026-03,初診,紹介状あり,116
総合内科,2026-03,初診,紹介状無し,63
緩和ケアチーム,2026-03,再診,紹介状無し,22
緩和ケア内科,2026-03,再診,紹介状無し,2
耳鼻咽喉科,2026-03,再診,紹介状無し,1960
耳鼻咽喉科,2026-03,初診,紹介状あり,154
耳鼻咽喉科,2026-03,初診,紹介状無し,37
脳神経内科,2026-03,再診,紹介状無し,544
脳神経内科,2026-03,初診,紹介状あり,52
脳神経内科,2026-03,初診,紹介状無し,5
脳神経外科,2026-03,再診,紹介状あり,3
脳神経外科,2026-03,再診,紹介状無し,217
脳神経外科,2026-03,初診,紹介状あり,21
脳神経外科,2026-03,初診,紹介状無し,7
腎内科,2026-03,再診,紹介状無し,797
腎内科,2026-03,初診,紹介状あり,21
腎内科,2026-03,初診,紹介状無し,2
臨床工学技師,2026-03,再診,紹介状無し,213
臨床腫瘍科,2026-03,再診,紹介状無し,180
薬剤部,2026-03,再診,紹介状無し,157
血液内科,2026-03,再診,紹介状無し,861
血液内科,2026-03,初診,紹介状あり,23
血液内科,2026-03,初診,紹介状無し,3
退院支援,2026-03,再診,紹介状無し,137
通院治療センター,2026-03,再診,紹介状無し,54
遺伝診療科,2026-03,再診,紹介状無し,45
遺伝診療科,2026-03,初診,紹介状無し,2
骨転移カンファレンス,2026-03,再診,紹介状無し,10
麻酔科,2026-03,再診,紹介状無し,421
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-03,再診,紹介状無し,110
