診療科名,予約担当者匿名ID,区分,曜日,bin_idx,bin_label,出勤日数,該当日数,出勤頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,DR_XX009,全体,0,6,11:00,1,5,0.2,1,1,0.2,0.2
PICCCVポートセンター,DR_XX009,全体,0,7,11:30,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,DR_XX009,全体,0,10,13:00,1,5,0.2,1,10,0.2,2.0
PICCCVポートセンター,DR_XX009,全体,0,11,13:30,1,5,0.2,1,29,0.2,5.8
PICCCVポートセンター,DR_XX009,全体,2,4,10:00,1,4,0.25,1,10,0.25,2.5
PICCCVポートセンター,DR_XX009,全体,2,5,10:30,1,4,0.25,1,6,0.25,1.5
PICCCVポートセンター,DR_XX009,全体,3,4,10:00,1,4,0.25,1,25,0.25,6.2
PICCCVポートセンター,DR_XX009,全体,3,5,10:30,1,4,0.25,1,15,0.25,3.8
PICCCVポートセンター,DR_XX009,全体,4,2,09:00,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,DR_XX009,全体,4,3,09:30,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,DR_XX009,再診,0,6,11:00,1,5,0.2,1,1,0.2,0.2
PICCCVポートセンター,DR_XX009,再診,0,7,11:30,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,DR_XX009,再診,0,10,13:00,1,5,0.2,1,10,0.2,2.0
PICCCVポートセンター,DR_XX009,再診,0,11,13:30,1,5,0.2,1,29,0.2,5.8
PICCCVポートセンター,DR_XX009,再診,2,4,10:00,1,4,0.25,1,10,0.25,2.5
PICCCVポートセンター,DR_XX009,再診,2,5,10:30,1,4,0.25,1,6,0.25,1.5
PICCCVポートセンター,DR_XX009,再診,3,4,10:00,1,4,0.25,1,25,0.25,6.2
PICCCVポートセンター,DR_XX009,再診,3,5,10:30,1,4,0.25,1,15,0.25,3.8
PICCCVポートセンター,DR_XX009,再診,4,2,09:00,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,DR_XX009,再診,4,3,09:30,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,DR_XX009,薬再診,0,6,11:00,1,5,0.2,1,1,0.2,0.2
PICCCVポートセンター,DR_XX009,薬再診,0,7,11:30,1,5,0.2,1,2,0.2,0.4
がんゲノム,DR_ON001,全体,0,11,13:30,1,5,0.2,1,5,0.2,1.0
がんゲノム,DR_ON001,全体,0,12,14:00,3,5,0.6,3,40,0.6,8.0
がんゲノム,DR_ON001,全体,0,13,14:30,2,5,0.4,4,46,0.8,9.2
がんゲノム,DR_ON001,全体,0,14,15:00,2,5,0.4,2,21,0.4,4.2
がんゲノム,DR_ON001,全体,1,11,13:30,1,5,0.2,1,11,0.2,2.2
がんゲノム,DR_ON001,全体,1,12,14:00,3,5,0.6,4,51,0.8,10.2
がんゲノム,DR_ON001,全体,1,13,14:30,4,5,0.8,5,77,1.0,15.4
がんゲノム,DR_ON001,全体,1,14,15:00,2,5,0.4,2,5,0.4,1.0
がんゲノム,DR_ON001,再診,0,11,13:30,1,5,0.2,1,5,0.2,1.0
がんゲノム,DR_ON001,再診,0,12,14:00,3,5,0.6,3,40,0.6,8.0
がんゲノム,DR_ON001,再診,0,13,14:30,2,5,0.4,4,46,0.8,9.2
がんゲノム,DR_ON001,再診,0,14,15:00,2,5,0.4,2,21,0.4,4.2
がんゲノム,DR_ON001,再診,1,11,13:30,1,5,0.2,1,11,0.2,2.2
がんゲノム,DR_ON001,再診,1,12,14:00,3,5,0.6,4,51,0.8,10.2
がんゲノム,DR_ON001,再診,1,13,14:30,4,5,0.8,5,77,1.0,15.4
がんゲノム,DR_ON001,再診,1,14,15:00,2,5,0.4,2,5,0.4,1.0
がんゲノム,DR_ON001,薬再診,0,12,14:00,1,5,0.2,1,3,0.2,0.6
がんゲノム,DR_ON001,薬再診,0,13,14:30,1,5,0.2,1,1,0.2,0.2
アレルギー科,DR_AL001,全体,2,3,09:30,3,4,0.75,7,68,1.75,17.0
アレルギー科,DR_AL001,全体,2,4,10:00,3,4,0.75,9,71,2.25,17.8
アレルギー科,DR_AL001,全体,2,5,10:30,3,4,0.75,7,55,1.75,13.8
アレルギー科,DR_AL001,全体,2,6,11:00,2,4,0.5,6,31,1.5,7.8
アレルギー科,DR_AL001,全体,2,7,11:30,2,4,0.5,3,26,0.75,6.5
アレルギー科,DR_AL001,全体,2,8,12:00,1,4,0.25,1,11,0.25,2.8
アレルギー科,DR_AL001,再診,2,3,09:30,3,4,0.75,7,68,1.75,17.0
アレルギー科,DR_AL001,再診,2,4,10:00,3,4,0.75,9,71,2.25,17.8
アレルギー科,DR_AL001,再診,2,5,10:30,3,4,0.75,7,55,1.75,13.8
アレルギー科,DR_AL001,再診,2,6,11:00,2,4,0.5,6,31,1.5,7.8
アレルギー科,DR_AL001,再診,2,7,11:30,2,4,0.5,3,26,0.75,6.5
アレルギー科,DR_AL001,再診,2,8,12:00,1,4,0.25,1,11,0.25,2.8
アレルギー科,DR_AL001,薬再診,2,3,09:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,DR_AL001,薬再診,2,5,10:30,1,4,0.25,1,5,0.25,1.2
アレルギー科,DR_AL002,全体,3,3,09:30,4,4,1.0,10,73,2.5,18.2
アレルギー科,DR_AL002,全体,3,4,10:00,4,4,1.0,12,84,3.0,21.0
アレルギー科,DR_AL002,全体,3,5,10:30,4,4,1.0,9,54,2.25,13.5
アレルギー科,DR_AL002,全体,3,6,11:00,3,4,0.75,10,79,2.5,19.8
アレルギー科,DR_AL002,全体,3,7,11:30,3,4,0.75,6,42,1.5,10.5
アレルギー科,DR_AL002,全体,3,8,12:00,3,4,0.75,6,38,1.5,9.5
アレルギー科,DR_AL002,全体,3,14,15:00,1,4,0.25,1,2,0.25,0.5
アレルギー科,DR_AL002,初診,3,3,09:30,1,4,0.25,1,5,0.25,1.2
アレルギー科,DR_AL002,再診,3,3,09:30,4,4,1.0,9,68,2.25,17.0
アレルギー科,DR_AL002,再診,3,4,10:00,4,4,1.0,12,84,3.0,21.0
アレルギー科,DR_AL002,再診,3,5,10:30,4,4,1.0,9,54,2.25,13.5
アレルギー科,DR_AL002,再診,3,6,11:00,3,4,0.75,10,79,2.5,19.8
アレルギー科,DR_AL002,再診,3,7,11:30,3,4,0.75,6,42,1.5,10.5
アレルギー科,DR_AL002,再診,3,8,12:00,3,4,0.75,6,38,1.5,9.5
アレルギー科,DR_AL002,再診,3,14,15:00,1,4,0.25,1,2,0.25,0.5
アレルギー科,DR_AL002,薬再診,3,3,09:30,2,4,0.5,2,6,0.5,1.5
アレルギー科,DR_AL002,薬再診,3,4,10:00,2,4,0.5,2,4,0.5,1.0
アレルギー科,DR_AL002,薬再診,3,5,10:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,DR_AL002,薬再診,3,6,11:00,1,4,0.25,2,3,0.5,0.8
アレルギー科,DR_AL002,薬再診,3,7,11:30,1,4,0.25,2,9,0.5,2.2
アレルギー科,DR_AL002,薬再診,3,8,12:00,1,4,0.25,2,6,0.5,1.5
アレルギー科,DR_AL002,薬再診,3,14,15:00,1,4,0.25,1,2,0.25,0.5
アレルギー科,DR_AL003,全体,1,6,11:00,1,5,0.2,1,5,0.2,1.0
アレルギー科,DR_AL003,再診,1,6,11:00,1,5,0.2,1,5,0.2,1.0
アレルギー科,DR_AL003,薬再診,1,6,11:00,1,5,0.2,1,5,0.2,1.0
アレルギー科,DR_RS2003,全体,1,1,08:30,1,5,0.2,1,2,0.2,0.4
アレルギー科,DR_RS2003,全体,1,2,09:00,5,5,1.0,13,82,2.6,16.4
アレルギー科,DR_RS2003,全体,1,3,09:30,5,5,1.0,14,74,2.8,14.8
アレルギー科,DR_RS2003,全体,1,4,10:00,5,5,1.0,15,79,3.0,15.8
アレルギー科,DR_RS2003,全体,1,5,10:30,4,5,0.8,12,84,2.4,16.8
アレルギー科,DR_RS2003,全体,1,6,11:00,5,5,1.0,14,75,2.8,15.0
アレルギー科,DR_RS2003,全体,1,7,11:30,4,5,0.8,6,58,1.2,11.6
アレルギー科,DR_RS2003,全体,1,8,12:00,1,5,0.2,1,5,0.2,1.0
アレルギー科,DR_RS2003,再診,1,1,08:30,1,5,0.2,1,2,0.2,0.4
アレルギー科,DR_RS2003,再診,1,2,09:00,5,5,1.0,13,82,2.6,16.4
アレルギー科,DR_RS2003,再診,1,3,09:30,5,5,1.0,14,74,2.8,14.8
アレルギー科,DR_RS2003,再診,1,4,10:00,5,5,1.0,15,79,3.0,15.8
アレルギー科,DR_RS2003,再診,1,5,10:30,4,5,0.8,12,84,2.4,16.8
アレルギー科,DR_RS2003,再診,1,6,11:00,5,5,1.0,14,75,2.8,15.0
アレルギー科,DR_RS2003,再診,1,7,11:30,4,5,0.8,6,58,1.2,11.6
アレルギー科,DR_RS2003,再診,1,8,12:00,1,5,0.2,1,5,0.2,1.0
アレルギー科,DR_RS2003,薬再診,1,2,09:00,3,5,0.6,6,23,1.2,4.6
アレルギー科,DR_RS2003,薬再診,1,3,09:30,4,5,0.8,6,21,1.2,4.2
アレルギー科,DR_RS2003,薬再診,1,4,10:00,5,5,1.0,7,23,1.4,4.6
アレルギー科,DR_RS2003,薬再診,1,5,10:30,1,5,0.2,2,10,0.4,2.0
アレルギー科,DR_RS2003,薬再診,1,6,11:00,2,5,0.4,3,14,0.6,2.8
アレルギー科,DR_RS2005,全体,0,2,09:00,5,5,1.0,7,45,1.4,9.0
アレルギー科,DR_RS2005,全体,0,3,09:30,4,5,0.8,9,67,1.8,13.4
アレルギー科,DR_RS2005,全体,0,4,10:00,5,5,1.0,11,80,2.2,16.0
アレルギー科,DR_RS2005,全体,0,5,10:30,5,5,1.0,10,87,2.0,17.4
アレルギー科,DR_RS2005,全体,0,6,11:00,2,5,0.4,4,31,0.8,6.2
アレルギー科,DR_RS2005,再診,0,2,09:00,5,5,1.0,7,45,1.4,9.0
アレルギー科,DR_RS2005,再診,0,3,09:30,4,5,0.8,9,67,1.8,13.4
アレルギー科,DR_RS2005,再診,0,4,10:00,5,5,1.0,11,80,2.2,16.0
アレルギー科,DR_RS2005,再診,0,5,10:30,5,5,1.0,10,87,2.0,17.4
アレルギー科,DR_RS2005,再診,0,6,11:00,2,5,0.4,4,31,0.8,6.2
アレルギー科,DR_RS2005,薬再診,0,2,09:00,1,5,0.2,1,4,0.2,0.8
アレルギー科,DR_RS2005,薬再診,0,5,10:30,2,5,0.4,2,8,0.4,1.6
メンタルケア科,DR_MN001,全体,0,2,09:00,1,5,0.2,1,24,0.2,4.8
メンタルケア科,DR_MN001,全体,0,3,09:30,2,5,0.4,2,33,0.4,6.6
メンタルケア科,DR_MN001,全体,0,4,10:00,1,5,0.2,2,22,0.4,4.4
メンタルケア科,DR_MN001,全体,0,5,10:30,2,5,0.4,2,40,0.4,8.0
メンタルケア科,DR_MN001,全体,0,6,11:00,1,5,0.2,1,21,0.2,4.2
メンタルケア科,DR_MN001,全体,0,8,12:00,1,5,0.2,1,3,0.2,0.6
メンタルケア科,DR_MN001,全体,2,1,08:30,4,4,1.0,11,76,2.75,19.0
メンタルケア科,DR_MN001,全体,2,2,09:00,4,4,1.0,14,94,3.5,23.5
メンタルケア科,DR_MN001,全体,2,3,09:30,4,4,1.0,12,106,3.0,26.5
メンタルケア科,DR_MN001,全体,2,4,10:00,4,4,1.0,14,111,3.5,27.8
メンタルケア科,DR_MN001,全体,2,5,10:30,4,4,1.0,15,109,3.75,27.2
メンタルケア科,DR_MN001,全体,2,6,11:00,4,4,1.0,14,88,3.5,22.0
メンタルケア科,DR_MN001,全体,2,7,11:30,3,4,0.75,10,85,2.5,21.2
メンタルケア科,DR_MN001,全体,2,8,12:00,4,4,1.0,6,61,1.5,15.2
メンタルケア科,DR_MN001,全体,2,9,12:30,1,4,0.25,1,30,0.25,7.5
メンタルケア科,DR_MN001,全体,2,10,13:00,3,4,0.75,4,40,1.0,10.0
メンタルケア科,DR_MN001,全体,2,11,13:30,4,4,1.0,13,98,3.25,24.5
