診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,0,3
PICCCVポートセンター,病院到着,枠なし予約,0,1
PICCCVポートセンター,病院到着,枠なし予約,1,2
PICCCVポートセンター,病院到着,枠なし予約,3,1
PICCCVポートセンター,終了,枠なし予約,0,15
PICCCVポートセンター,終了,枠なし予約,1,9
PICCCVポートセンター,終了,枠なし予約,2,11
PICCCVポートセンター,終了,枠なし予約,3,9
PICCCVポートセンター,終了,枠なし予約,4,7
がんゲノム,終了,枠あり予約,0,5
がんゲノム,終了,枠あり予約,1,7
アレルギー科,未来院,枠あり予約,0,5
アレルギー科,未来院,枠あり予約,1,2
アレルギー科,未来院,枠あり予約,2,5
アレルギー科,未来院,枠あり予約,3,2
アレルギー科,未来院,枠なし予約,3,1
アレルギー科,終了,枠あり予約,0,32
アレルギー科,終了,枠あり予約,1,67
アレルギー科,終了,枠あり予約,2,29
アレルギー科,終了,枠あり予約,3,39
アレルギー科,終了,枠なし予約,2,1
アレルギー科,終了,枠なし予約,3,7
ソーシャルワーカー,保留,枠あり予約,1,1
ソーシャルワーカー,保留,枠あり予約,2,1
ソーシャルワーカー,未来院,枠あり予約,0,7
ソーシャルワーカー,未来院,枠あり予約,1,12
ソーシャルワーカー,未来院,枠あり予約,2,4
ソーシャルワーカー,未来院,枠あり予約,3,5
ソーシャルワーカー,未来院,枠あり予約,4,5
ソーシャルワーカー,未来院,枠なし予約,1,1
ソーシャルワーカー,未来院,枠なし予約,2,4
ソーシャルワーカー,未来院,枠なし予約,3,4
ソーシャルワーカー,病院到着,枠あり予約,0,2
ソーシャルワーカー,病院到着,枠あり予約,1,2
ソーシャルワーカー,病院到着,枠あり予約,2,1
ソーシャルワーカー,病院到着,枠あり予約,3,1
ソーシャルワーカー,病院到着,枠なし予約,0,1
ソーシャルワーカー,病院到着,枠なし予約,1,2
ソーシャルワーカー,病院到着,枠なし予約,2,2
ソーシャルワーカー,病院到着,枠なし予約,4,1
ソーシャルワーカー,終了,枠あり予約,0,19
ソーシャルワーカー,終了,枠あり予約,1,16
ソーシャルワーカー,終了,枠あり予約,2,17
ソーシャルワーカー,終了,枠あり予約,3,11
ソーシャルワーカー,終了,枠あり予約,4,11
ソーシャルワーカー,終了,枠なし予約,0,1
ソーシャルワーカー,終了,枠なし予約,1,2
ソーシャルワーカー,終了,枠なし予約,2,1
ソーシャルワーカー,終了,枠なし予約,3,2
メンタルケア科,未来院,枠あり予約,0,6
メンタルケア科,未来院,枠あり予約,1,4
メンタルケア科,未来院,枠あり予約,2,10
メンタルケア科,未来院,枠あり予約,3,1
メンタルケア科,未来院,枠あり予約,4,3
メンタルケア科,未来院,枠なし予約,0,4
メンタルケア科,未来院,枠なし予約,1,1
メンタルケア科,未来院,枠なし予約,2,2
メンタルケア科,未来院,枠なし予約,3,3
メンタルケア科,病院到着,枠あり予約,3,1
メンタルケア科,病院到着,枠なし予約,0,2
メンタルケア科,病院到着,枠なし予約,1,1
メンタルケア科,病院到着,枠なし予約,3,2
メンタルケア科,終了,枠あり予約,0,84
メンタルケア科,終了,枠あり予約,1,37
メンタルケア科,終了,枠あり予約,2,119
メンタルケア科,終了,枠あり予約,3,11
メンタルケア科,終了,枠あり予約,4,6
メンタルケア科,終了,枠なし予約,0,21
メンタルケア科,終了,枠なし予約,1,20
メンタルケア科,終了,枠なし予約,2,15
メンタルケア科,終了,枠なし予約,3,12
メンタルケア科,終了,枠なし予約,4,9
リウマチ膠原病内科,7,枠あり予約,1,1
リウマチ膠原病内科,未来院,枠あり予約,0,5
リウマチ膠原病内科,未来院,枠あり予約,1,5
リウマチ膠原病内科,未来院,枠あり予約,2,5
リウマチ膠原病内科,未来院,枠あり予約,3,4
リウマチ膠原病内科,未来院,枠あり予約,4,8
リウマチ膠原病内科,未来院,枠なし予約,0,1
リウマチ膠原病内科,未来院,枠なし予約,1,1
リウマチ膠原病内科,未来院,枠なし予約,3,1
リウマチ膠原病内科,病院到着,枠あり予約,0,3
リウマチ膠原病内科,病院到着,枠あり予約,1,9
リウマチ膠原病内科,病院到着,枠あり予約,3,1
リウマチ膠原病内科,病院到着,枠あり予約,4,3
リウマチ膠原病内科,終了,枠あり予約,0,160
リウマチ膠原病内科,終了,枠あり予約,1,215
リウマチ膠原病内科,終了,枠あり予約,2,203
リウマチ膠原病内科,終了,枠あり予約,3,235
リウマチ膠原病内科,終了,枠あり予約,4,194
リウマチ膠原病内科,終了,枠なし予約,0,25
リウマチ膠原病内科,終了,枠なし予約,1,46
リウマチ膠原病内科,終了,枠なし予約,2,22
リウマチ膠原病内科,終了,枠なし予約,3,6
リウマチ膠原病内科,終了,枠なし予約,4,20
リウマチ膠原病内科,終了,,0,1
リウマチ膠原病内科,終了,,1,3
リウマチ膠原病内科,終了,,3,1
一般消化器外科,7,枠あり予約,0,1
一般消化器外科,7,,0,2
一般消化器外科,保留,枠あり予約,0,1
一般消化器外科,保留,枠あり予約,1,1
一般消化器外科,保留,枠あり予約,2,1
一般消化器外科,未来院,枠あり予約,0,26
一般消化器外科,未来院,枠あり予約,1,25
一般消化器外科,未来院,枠あり予約,2,20
一般消化器外科,未来院,枠あり予約,3,14
一般消化器外科,未来院,枠あり予約,4,6
一般消化器外科,未来院,枠なし予約,0,2
一般消化器外科,未来院,枠なし予約,1,1
一般消化器外科,未来院,枠なし予約,2,1
一般消化器外科,病院到着,枠あり予約,0,1
一般消化器外科,病院到着,枠あり予約,1,3
一般消化器外科,病院到着,枠あり予約,3,1
一般消化器外科,病院到着,枠あり予約,4,3
一般消化器外科,病院到着,枠あり予約,5,2
一般消化器外科,病院到着,枠あり予約,6,1
一般消化器外科,病院到着,枠なし予約,0,1
一般消化器外科,病院到着,枠なし予約,1,1
一般消化器外科,病院到着,枠なし予約,2,2
一般消化器外科,病院到着,枠なし予約,3,1
一般消化器外科,病院到着,枠なし予約,4,3
一般消化器外科,病院到着,枠なし予約,5,1
一般消化器外科,病院到着,枠なし予約,6,2
一般消化器外科,病院到着,,4,1
一般消化器外科,終了,枠あり予約,0,216
一般消化器外科,終了,枠あり予約,1,196
一般消化器外科,終了,枠あり予約,2,196
一般消化器外科,終了,枠あり予約,3,297
一般消化器外科,終了,枠あり予約,4,32
一般消化器外科,終了,枠あり予約,5,2
一般消化器外科,終了,枠あり予約,6,1
一般消化器外科,終了,枠なし予約,0,15
一般消化器外科,終了,枠なし予約,1,24
一般消化器外科,終了,枠なし予約,2,22
一般消化器外科,終了,枠なし予約,3,14
一般消化器外科,終了,枠なし予約,4,12
一般消化器外科,終了,,0,4
一般消化器外科,終了,,1,1
一般消化器外科,終了,,2,1
一般消化器外科,終了,,3,2
中央処置室,7,枠あり予約,2,1
中央処置室,未来院,枠あり予約,0,3
中央処置室,未来院,枠あり予約,4,1
中央処置室,病院到着,枠あり予約,0,35
中央処置室,病院到着,枠あり予約,1,44
中央処置室,病院到着,枠あり予約,2,26
中央処置室,病院到着,枠あり予約,3,43
中央処置室,病院到着,枠あり予約,4,19
中央処置室,病院到着,枠なし予約,0,1
中央処置室,病院到着,枠なし予約,1,4
中央処置室,病院到着,枠なし予約,3,5
中央処置室,病院到着,枠なし予約,4,1
中央処置室,終了,枠あり予約,0,5
中央処置室,終了,枠あり予約,4,8
乳腺外科,6,枠あり予約,0,1
乳腺外科,6,枠あり予約,2,1
乳腺外科,6,枠あり予約,4,2
乳腺外科,7,枠あり予約,2,1
乳腺外科,保留,枠あり予約,0,1
乳腺外科,保留,枠あり予約,2,6
乳腺外科,保留,枠あり予約,4,1
乳腺外科,保留,枠なし予約,0,1
乳腺外科,保留,枠なし予約,2,1
乳腺外科,未来院,枠あり予約,0,17
乳腺外科,未来院,枠あり予約,1,23
乳腺外科,未来院,枠あり予約,2,11
乳腺外科,未来院,枠あり予約,3,2
乳腺外科,未来院,枠あり予約,4,13
乳腺外科,未来院,枠なし予約,0,5
乳腺外科,未来院,枠なし予約,3,3
乳腺外科,未来院,枠なし予約,4,2
