診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,13
PICCCVポートセンター,0,午後前半(12-15時),再診,6
PICCCVポートセンター,1,午前(〜12時),再診,8
PICCCVポートセンター,1,午後後半(15-17時),再診,3
PICCCVポートセンター,2,午前(〜12時),再診,11
PICCCVポートセンター,3,午前(〜12時),再診,8
PICCCVポートセンター,3,午後前半(12-15時),再診,2
PICCCVポートセンター,4,午前(〜12時),再診,6
PICCCVポートセンター,4,午後前半(12-15時),再診,1
がんゲノム,0,午前(〜12時),再診,1
がんゲノム,0,午後前半(12-15時),再診,4
がんゲノム,1,午後前半(12-15時),再診,7
アレルギー科,0,午前(〜12時),再診,37
アレルギー科,1,午前(〜12時),再診,69
アレルギー科,2,午前(〜12時),再診,35
アレルギー科,3,午前(〜12時),再診,47
アレルギー科,3,午前(〜12時),初診,2
ソーシャルワーカー,0,午前(〜12時),再診,17
ソーシャルワーカー,0,午後前半(12-15時),再診,7
ソーシャルワーカー,0,午後後半(15-17時),再診,2
ソーシャルワーカー,0,夕方以降(17時〜),再診,4
ソーシャルワーカー,1,午前(〜12時),再診,23
ソーシャルワーカー,1,午後前半(12-15時),再診,9
ソーシャルワーカー,1,午後後半(15-17時),再診,4
ソーシャルワーカー,2,午前(〜12時),再診,20
ソーシャルワーカー,2,午後前半(12-15時),再診,4
ソーシャルワーカー,2,午後後半(15-17時),再診,5
ソーシャルワーカー,2,夕方以降(17時〜),再診,1
ソーシャルワーカー,3,午前(〜12時),再診,16
ソーシャルワーカー,3,午後前半(12-15時),再診,1
ソーシャルワーカー,3,午後後半(15-17時),再診,5
ソーシャルワーカー,3,夕方以降(17時〜),再診,1
ソーシャルワーカー,4,午前(〜12時),再診,12
ソーシャルワーカー,4,午後前半(12-15時),再診,4
ソーシャルワーカー,4,午後後半(15-17時),再診,1
メンタルケア科,0,午前(〜12時),再診,114
メンタルケア科,0,午後前半(12-15時),再診,3
メンタルケア科,1,午前(〜12時),再診,17
メンタルケア科,1,午後前半(12-15時),再診,34
メンタルケア科,1,午後後半(15-17時),再診,12
メンタルケア科,2,午前(〜12時),再診,108
メンタルケア科,2,午後前半(12-15時),再診,38
メンタルケア科,3,午前(〜12時),再診,26
メンタルケア科,3,午後前半(12-15時),再診,1
メンタルケア科,3,午後後半(15-17時),再診,3
メンタルケア科,4,午前(〜12時),再診,13
メンタルケア科,4,午後前半(12-15時),再診,4
メンタルケア科,4,午後後半(15-17時),再診,1
リウマチ膠原病内科,0,午前(〜12時),再診,163
リウマチ膠原病内科,0,午前(〜12時),初診,5
リウマチ膠原病内科,0,午後前半(12-15時),再診,25
リウマチ膠原病内科,0,午後後半(15-17時),再診,2
リウマチ膠原病内科,1,午前(〜12時),再診,251
リウマチ膠原病内科,1,午前(〜12時),初診,6
リウマチ膠原病内科,1,午後前半(12-15時),再診,23
リウマチ膠原病内科,2,午前(〜12時),再診,182
リウマチ膠原病内科,2,午前(〜12時),初診,3
リウマチ膠原病内科,2,午後前半(12-15時),再診,42
リウマチ膠原病内科,2,午後前半(12-15時),初診,3
リウマチ膠原病内科,3,午前(〜12時),再診,183
リウマチ膠原病内科,3,午前(〜12時),初診,11
リウマチ膠原病内科,3,午後前半(12-15時),再診,51
リウマチ膠原病内科,3,午後前半(12-15時),初診,1
