診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2026-03,58,0,58,0,0,0,0.0,0.0,0.0,0.0
がんゲノム,2026-03,12,0,12,0,0,0,0.0,0.0,0.0,0.0
アレルギー科,2026-03,190,2,188,1,1,15,1.05,50.0,0.53,7.89
ソーシャルワーカー,2026-03,136,0,136,0,0,42,0.0,0.0,0.0,30.88
メンタルケア科,2026-03,374,0,374,0,0,34,0.0,0.0,0.0,9.09
リウマチ膠原病内科,2026-03,1178,34,1144,31,32,30,2.89,91.18,2.72,2.55
一般消化器外科,2026-03,1159,60,1099,50,51,95,5.18,83.33,4.4,8.2
中央処置室,2026-03,196,0,196,0,0,4,0.0,0.0,0.0,2.04
乳腺外科,2026-03,1804,55,1749,45,48,76,3.05,81.82,2.66,4.21
健診センター,2026-03,77,0,77,0,0,12,0.0,0.0,0.0,15.58
入退院支援センター,2026-03,723,0,723,0,0,0,0.0,0.0,0.0,0.0
内科,2026-03,371,220,151,37,55,1,59.3,16.82,14.82,0.27
呼吸器内科,2026-03,1455,81,1374,70,72,67,5.57,86.42,4.95,4.6
呼吸器外科,2026-03,200,8,192,8,8,4,4.0,100.0,4.0,2.0
外来手術室,2026-03,443,0,443,0,0,34,0.0,0.0,0.0,7.67
小児科,2026-03,610,95,515,55,55,56,15.57,57.89,9.02,9.18
形成外科,2026-03,621,43,578,37,37,29,6.92,86.05,5.96,4.67
循環器内科,2026-03,1567,145,1422,122,130,51,9.25,84.14,8.3,3.25
心臓血管外科,2026-03,166,3,163,2,2,19,1.81,66.67,1.2,11.45
感染症,2026-03,29,0,29,0,0,10,0.0,0.0,0.0,34.48
放射線治療科,2026-03,956,10,946,9,9,32,1.05,90.0,0.94,3.35
放射線診断科,2026-03,1,0,1,0,0,0,0.0,0.0,0.0,0.0
救急科,2026-03,341,215,126,7,12,2,63.05,3.26,3.52,0.59
整形外科,2026-03,2128,250,1878,216,220,110,11.75,86.4,10.34,5.17
歯科口腔外科,2026-03,1170,222,948,130,130,40,18.97,58.56,11.11,3.42
泌尿器科,2026-03,3687,123,3564,100,103,200,3.34,81.3,2.79,5.42
消化器内科,2026-03,1778,173,1605,153,156,78,9.73,88.44,8.77,4.39
産婦人科,2026-03,2209,143,2066,122,123,252,6.47,85.31,5.57,11.41
皮膚・排泄ケア,2026-03,71,0,71,0,0,61,0.0,0.0,0.0,85.92
皮膚科,2026-03,1197,99,1098,81,81,54,8.27,81.82,6.77,4.51
看護部,2026-03,109,0,109,0,0,14,0.0,0.0,0.0,12.84
眼科,2026-03,3550,229,3321,206,209,181,6.45,89.96,5.89,5.1
禁煙外来,2026-03,6,0,6,0,0,0,0.0,0.0,0.0,0.0
総合内科,2026-03,1263,179,1084,116,116,40,14.17,64.8,9.18,3.17
緩和ケアチーム,2026-03,22,0,22,0,0,13,0.0,0.0,0.0,59.09
緩和ケア内科,2026-03,2,0,2,0,0,0,0.0,0.0,0.0,0.0
耳鼻咽喉科,2026-03,2151,191,1960,154,154,100,8.88,80.63,7.16,4.65
脳神経内科,2026-03,601,57,544,52,52,12,9.48,91.23,8.65,2.0
脳神経外科,2026-03,248,28,220,21,24,8,11.29,75.0,9.68,3.23
腎内科,2026-03,820,23,797,21,21,33,2.8,91.3,2.56,4.02
臨床工学技師,2026-03,213,0,213,0,0,166,0.0,0.0,0.0,77.93
臨床腫瘍科,2026-03,180,0,180,0,0,2,0.0,0.0,0.0,1.11
薬剤部,2026-03,157,0,157,0,0,3,0.0,0.0,0.0,1.91
血液内科,2026-03,887,26,861,23,23,21,2.93,88.46,2.59,2.37
退院支援,2026-03,137,0,137,0,0,97,0.0,0.0,0.0,70.8
通院治療センター,2026-03,54,0,54,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2026-03,47,2,45,0,0,5,4.26,0.0,0.0,10.64
骨転移カンファレンス,2026-03,10,0,10,0,0,7,0.0,0.0,0.0,70.0
麻酔科,2026-03,421,0,421,0,0,0,0.0,0.0,0.0,0.0
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-03,110,0,110,0,0,4,0.0,0.0,0.0,3.64
