診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2026-03,58,52,0.897,58,1.0,0.0,96.6
がんゲノム,DR_ON001,SL_0088,2026-03,12,1,0.083,12,1.0,24.5,40.3
アレルギー科,DR_RS2003,SL_0061,2026-03,62,22,0.355,62,1.0,5.0,72.5
アレルギー科,DR_AL002,SL_0189,2026-03,39,10,0.256,39,1.0,6.0,68.1
アレルギー科,DR_AL001,SL_0033,2026-03,31,4,0.129,31,1.0,8.5,60.8
アレルギー科,DR_RS2005,SL_0100,2026-03,37,3,0.081,37,1.0,8.5,59.2
アレルギー科,DR_AL001,SL_0009,2026-03,1,0,0.0,1,1.0,20.0,
アレルギー科,DR_AL001,SL_0736,2026-03,2,1,0.5,2,1.0,0.0,
アレルギー科,DR_AL001,SL_0820,2026-03,1,0,0.0,1,1.0,,
アレルギー科,DR_AL002,SL_0009,2026-03,8,2,0.25,8,1.0,8.0,
アレルギー科,DR_AL003,SL_0783,2026-03,1,1,1.0,1,1.0,4.0,
アレルギー科,DR_AL004,SL_0005,2026-03,1,0,0.0,1,1.0,,
アレルギー科,DR_RS2003,SL_0361,2026-03,5,2,0.4,5,1.0,8.0,
ソーシャルワーカー,DR_XX001,SL_0011,2026-03,112,76,0.679,112,1.0,0.0,89.3
ソーシャルワーカー,DR_XX001,SL_0009,2026-03,20,5,0.25,20,1.0,0.0,75.0
ソーシャルワーカー,DR_XX031,SL_0767,2026-03,2,0,0.0,2,1.0,,
ソーシャルワーカー,DR_XX034,SL_0009,2026-03,1,1,1.0,1,1.0,0.0,
ソーシャルワーカー,DR_XX034,SL_0825,2026-03,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN005,SL_0609,2026-03,10,10,1.0,10,1.0,0.0,100.0
メンタルケア科,DR_MN002,SL_0009,2026-03,86,34,0.395,86,1.0,6.0,72.7
メンタルケア科,DR_MN004,SL_0255,2026-03,80,18,0.225,80,1.0,8.0,64.6
メンタルケア科,DR_MN001,SL_0043,2026-03,123,18,0.146,123,1.0,8.0,62.0
メンタルケア科,DR_MN009,SL_0721,2026-03,40,1,0.025,40,1.0,14.0,50.8
メンタルケア科,DR_MN001,SL_0624,2026-03,9,2,0.222,9,1.0,10.0,
メンタルケア科,DR_MN004,SL_0009,2026-03,5,1,0.2,5,1.0,13.0,
メンタルケア科,DR_MN004,SL_0545,2026-03,6,1,0.167,6,1.0,44.0,
メンタルケア科,DR_MN006,SL_0005,2026-03,2,0,0.0,2,1.0,,
メンタルケア科,DR_MN007,SL_0009,2026-03,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN008,SL_0678,2026-03,5,5,1.0,5,1.0,0.0,
メンタルケア科,DR_MN009,SL_0763,2026-03,6,0,0.0,6,1.0,25.0,
メンタルケア科,DR_MN010,SL_0828,2026-03,1,0,0.0,1,1.0,,
リウマチ膠原病内科,DR_RH007,SL_0009,2026-03,37,25,0.676,37,1.0,0.0,89.2
リウマチ膠原病内科,DR_RH005,SL_0156,2026-03,56,28,0.5,56,1.0,0.0,83.3
リウマチ膠原病内科,DR_RH004,SL_0139,2026-03,108,47,0.435,108,1.0,5.0,75.2
リウマチ膠原病内科,DR_RH003,SL_0009,2026-03,36,15,0.417,36,1.0,5.0,74.6
