診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,6
PICCCVポートセンター,0,午後前半(12-15時),再診,2
PICCCVポートセンター,1,午前(〜12時),再診,5
PICCCVポートセンター,2,午前(〜12時),再診,10
PICCCVポートセンター,2,午後前半(12-15時),再診,1
PICCCVポートセンター,2,午後後半(15-17時),再診,2
PICCCVポートセンター,3,午前(〜12時),再診,14
PICCCVポートセンター,3,午後前半(12-15時),再診,2
PICCCVポートセンター,4,午前(〜12時),再診,13
PICCCVポートセンター,4,午後後半(15-17時),再診,1
がんゲノム,0,午前(〜12時),再診,1
がんゲノム,0,午後前半(12-15時),再診,5
がんゲノム,0,午後後半(15-17時),再診,1
がんゲノム,0,夕方以降(17時〜),再診,1
がんゲノム,1,午前(〜12時),再診,4
がんゲノム,1,午後前半(12-15時),再診,5
アレルギー科,0,午前(〜12時),再診,34
アレルギー科,0,午前(〜12時),初診,2
アレルギー科,1,午前(〜12時),再診,30
アレルギー科,1,午前(〜12時),初診,1
アレルギー科,2,午前(〜12時),再診,22
アレルギー科,3,午前(〜12時),再診,55
アレルギー科,3,午前(〜12時),初診,1
ソーシャルワーカー,0,午前(〜12時),再診,7
ソーシャルワーカー,0,午後前半(12-15時),再診,5
ソーシャルワーカー,0,午後後半(15-17時),再診,2
ソーシャルワーカー,0,夕方以降(17時〜),再診,2
ソーシャルワーカー,1,午前(〜12時),再診,11
ソーシャルワーカー,1,午後前半(12-15時),再診,5
ソーシャルワーカー,1,午後後半(15-17時),再診,2
ソーシャルワーカー,1,夕方以降(17時〜),再診,1
ソーシャルワーカー,2,午前(〜12時),再診,15
ソーシャルワーカー,2,午後前半(12-15時),再診,4
ソーシャルワーカー,2,午後後半(15-17時),再診,5
ソーシャルワーカー,2,夕方以降(17時〜),再診,4
ソーシャルワーカー,3,午前(〜12時),再診,18
ソーシャルワーカー,3,午後前半(12-15時),再診,5
ソーシャルワーカー,3,午後後半(15-17時),再診,1
ソーシャルワーカー,3,夕方以降(17時〜),再診,1
ソーシャルワーカー,4,午前(〜12時),再診,23
ソーシャルワーカー,4,午後前半(12-15時),再診,4
ソーシャルワーカー,4,午後後半(15-17時),再診,3
ソーシャルワーカー,4,夕方以降(17時〜),再診,5
メンタルケア科,0,午前(〜12時),再診,76
メンタルケア科,0,午後前半(12-15時),再診,7
メンタルケア科,0,午後後半(15-17時),再診,5
メンタルケア科,0,夕方以降(17時〜),再診,1
メンタルケア科,1,午前(〜12時),再診,9
メンタルケア科,1,午前(〜12時),初診,1
メンタルケア科,1,午後前半(12-15時),再診,20
メンタルケア科,1,午後後半(15-17時),再診,9
メンタルケア科,1,夕方以降(17時〜),再診,3
メンタルケア科,2,午前(〜12時),再診,90
メンタルケア科,2,午後前半(12-15時),再診,48
メンタルケア科,2,夕方以降(17時〜),再診,3
メンタルケア科,3,午前(〜12時),再診,14
メンタルケア科,3,午後前半(12-15時),再診,5
メンタルケア科,3,午後後半(15-17時),再診,1
メンタルケア科,3,夕方以降(17時〜),再診,2
メンタルケア科,4,午前(〜12時),再診,19
メンタルケア科,4,午後前半(12-15時),再診,5
メンタルケア科,4,午後後半(15-17時),再診,2
メンタルケア科,4,夕方以降(17時〜),再診,1
リウマチ膠原病内科,0,午前(〜12時),再診,103
リウマチ膠原病内科,0,午前(〜12時),初診,1
リウマチ膠原病内科,0,午後前半(12-15時),再診,19
リウマチ膠原病内科,0,午後後半(15-17時),再診,1
リウマチ膠原病内科,1,午前(〜12時),再診,194
リウマチ膠原病内科,1,午前(〜12時),初診,3
リウマチ膠原病内科,1,午後前半(12-15時),再診,8
リウマチ膠原病内科,1,午後後半(15-17時),再診,1
リウマチ膠原病内科,2,午前(〜12時),再診,159
リウマチ膠原病内科,2,午前(〜12時),初診,2
リウマチ膠原病内科,2,午後前半(12-15時),再診,32
リウマチ膠原病内科,2,午後前半(12-15時),初診,3
リウマチ膠原病内科,2,午後後半(15-17時),再診,1
リウマチ膠原病内科,2,午後後半(15-17時),初診,1
リウマチ膠原病内科,3,午前(〜12時),再診,222
リウマチ膠原病内科,3,午前(〜12時),初診,13
リウマチ膠原病内科,3,午後前半(12-15時),再診,54
リウマチ膠原病内科,3,午後後半(15-17時),再診,5
リウマチ膠原病内科,3,夕方以降(17時〜),再診,1
リウマチ膠原病内科,4,午前(〜12時),再診,200
リウマチ膠原病内科,4,午前(〜12時),初診,11
リウマチ膠原病内科,4,午後前半(12-15時),再診,62
リウマチ膠原病内科,4,午後後半(15-17時),再診,4
リウマチ膠原病内科,4,夕方以降(17時〜),再診,3
リウマチ膠原病内科,6,午前(〜12時),再診,1
一般消化器外科,0,午前(〜12時),再診,104
一般消化器外科,0,午前(〜12時),初診,7
一般消化器外科,0,午後前半(12-15時),再診,42
一般消化器外科,0,午後前半(12-15時),初診,4
一般消化器外科,0,午後後半(15-17時),再診,8
一般消化器外科,0,夕方以降(17時〜),初診,1
一般消化器外科,1,午前(〜12時),再診,163
一般消化器外科,1,午前(〜12時),初診,2
一般消化器外科,1,午後前半(12-15時),再診,17
一般消化器外科,1,午後後半(15-17時),再診,1
一般消化器外科,1,夕方以降(17時〜),再診,1
一般消化器外科,1,夕方以降(17時〜),初診,1
一般消化器外科,2,午前(〜12時),再診,209
一般消化器外科,2,午前(〜12時),初診,11
一般消化器外科,2,午後前半(12-15時),再診,28
一般消化器外科,2,午後前半(12-15時),初診,5
一般消化器外科,2,午後後半(15-17時),再診,2
一般消化器外科,2,夕方以降(17時〜),再診,3
一般消化器外科,2,夕方以降(17時〜),初診,1
一般消化器外科,3,午前(〜12時),再診,311
一般消化器外科,3,午前(〜12時),初診,13
一般消化器外科,3,午後前半(12-15時),再診,59
一般消化器外科,3,午後前半(12-15時),初診,2
一般消化器外科,3,午後後半(15-17時),再診,13
一般消化器外科,3,夕方以降(17時〜),再診,1
一般消化器外科,4,午前(〜12時),再診,89
一般消化器外科,4,午前(〜12時),初診,9
一般消化器外科,4,午後前半(12-15時),再診,6
一般消化器外科,4,午後後半(15-17時),再診,7
一般消化器外科,4,夕方以降(17時〜),再診,4
一般消化器外科,4,夕方以降(17時〜),初診,1
一般消化器外科,5,午前(〜12時),再診,1
一般消化器外科,5,午後後半(15-17時),再診,1
一般消化器外科,5,夕方以降(17時〜),再診,2
一般消化器外科,5,夕方以降(17時〜),初診,1
中央処置室,0,午前(〜12時),再診,22
中央処置室,0,午後前半(12-15時),再診,3
中央処置室,1,午前(〜12時),再診,20
中央処置室,1,午後前半(12-15時),再診,6
中央処置室,2,午前(〜12時),再診,16
中央処置室,2,午後前半(12-15時),再診,4
中央処置室,2,午後後半(15-17時),再診,1
中央処置室,3,午前(〜12時),再診,41
中央処置室,3,午後前半(12-15時),再診,6
中央処置室,3,午後後半(15-17時),再診,1
中央処置室,4,午前(〜12時),再診,36
中央処置室,4,午後前半(12-15時),再診,6
乳腺外科,0,午前(〜12時),再診,244
乳腺外科,0,午前(〜12時),初診,5
乳腺外科,0,午後前半(12-15時),再診,29
乳腺外科,0,午後後半(15-17時),再診,6
乳腺外科,1,午前(〜12時),再診,239
乳腺外科,1,午前(〜12時),初診,9
乳腺外科,1,午後前半(12-15時),再診,82
乳腺外科,1,午後前半(12-15時),初診,1
乳腺外科,1,午後後半(15-17時),再診,2
乳腺外科,2,午前(〜12時),再診,279
乳腺外科,2,午前(〜12時),初診,14
