診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2025-05,再診,紹介状無し,56
がんゲノム,2025-05,再診,紹介状無し,17
アレルギー科,2025-05,再診,紹介状無し,141
アレルギー科,2025-05,初診,紹介状あり,3
アレルギー科,2025-05,初診,紹介状無し,1
ソーシャルワーカー,2025-05,再診,紹介状無し,123
メンタルケア科,2025-05,再診,紹介状無し,320
メンタルケア科,2025-05,初診,紹介状あり,1
リウマチ膠原病内科,2025-05,再診,紹介状あり,1
リウマチ膠原病内科,2025-05,再診,紹介状無し,1069
リウマチ膠原病内科,2025-05,初診,紹介状あり,33
リウマチ膠原病内科,2025-05,初診,紹介状無し,1
一般消化器外科,2025-05,再診,紹介状あり,1
一般消化器外科,2025-05,再診,紹介状無し,1071
一般消化器外科,2025-05,初診,紹介状あり,51
一般消化器外科,2025-05,初診,紹介状無し,7
中央処置室,2025-05,再診,紹介状無し,162
乳腺外科,2025-05,再診,紹介状無し,1429
乳腺外科,2025-05,初診,紹介状あり,49
乳腺外科,2025-05,初診,紹介状無し,5
健診センター,2025-05,再診,紹介状無し,62
入退院支援センター,2025-05,再診,紹介状無し,742
内科,2025-05,再診,紹介状あり,16
内科,2025-05,再診,紹介状無し,143
内科,2025-05,初診,紹介状あり,30
内科,2025-05,初診,紹介状無し,136
呼吸器内科,2025-05,再診,紹介状あり,5
呼吸器内科,2025-05,再診,紹介状無し,1253
呼吸器内科,2025-05,初診,紹介状あり,80
呼吸器内科,2025-05,初診,紹介状無し,6
呼吸器外科,2025-05,再診,紹介状無し,175
呼吸器外科,2025-05,初診,紹介状あり,3
呼吸器外科,2025-05,初診,紹介状無し,1
外来手術室,2025-05,再診,紹介状無し,517
小児科,2025-05,再診,紹介状あり,2
小児科,2025-05,再診,紹介状無し,453
小児科,2025-05,初診,紹介状あり,68
小児科,2025-05,初診,紹介状無し,64
形成外科,2025-05,再診,紹介状無し,588
形成外科,2025-05,初診,紹介状あり,46
形成外科,2025-05,初診,紹介状無し,6
循環器内科,2025-05,再診,紹介状あり,7
循環器内科,2025-05,再診,紹介状無し,1281
循環器内科,2025-05,初診,紹介状あり,105
循環器内科,2025-05,初診,紹介状無し,23
心臓血管外科,2025-05,再診,紹介状無し,220
心臓血管外科,2025-05,初診,紹介状あり,3
感染症,2025-05,再診,紹介状無し,31
放射線治療科,2025-05,再診,紹介状無し,973
放射線治療科,2025-05,初診,紹介状あり,3
