診療科名,曜日,受付h,件数,待_中央値,待_平均,待_Q1,待_Q3,診察_中央値,診察_平均,診察_Q3,会計_中央値,会計_平均
PICCCVポートセンター,0,9,3.0,84.0,179.7,83.5,228.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,10,1.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,,
PICCCVポートセンター,0,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,12,1.0,208.0,208.0,208.0,208.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,8,1.0,121.0,121.0,121.0,121.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,9,3.0,61.0,56.7,51.0,64.5,0.0,0.3,0.5,,
PICCCVポートセンター,1,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,0,1.0,,,,,,,,,
PICCCVポートセンター,2,9,4.0,29.5,34.8,0.0,64.2,0.0,0.0,0.0,,
PICCCVポートセンター,2,10,3.0,14.0,90.0,7.0,135.0,1.0,2.7,4.0,,
PICCCVポートセンター,2,11,2.0,291.0,291.0,270.5,311.5,0.0,0.0,0.0,,
PICCCVポートセンター,2,13,1.0,46.0,46.0,46.0,46.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,16,2.0,12.5,12.5,6.2,18.8,0.0,0.0,0.0,,
PICCCVポートセンター,3,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,8,1.0,351.0,351.0,351.0,351.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,9,4.0,264.0,222.0,219.0,267.0,0.5,0.8,1.2,,
PICCCVポートセンター,3,10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,14,2.0,24.5,24.5,12.2,36.8,0.0,0.0,0.0,,
PICCCVポートセンター,4,8,1.0,264.0,264.0,264.0,264.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,9,2.0,57.0,57.0,43.5,70.5,0.0,0.0,0.0,,
PICCCVポートセンター,4,10,6.0,37.0,87.3,9.2,178.0,0.0,0.8,0.0,,
PICCCVポートセンター,4,11,4.0,0.0,1.8,0.0,1.8,0.0,0.0,0.0,,
PICCCVポートセンター,4,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
がんゲノム,0,9,1.0,223.0,223.0,223.0,223.0,10.0,10.0,10.0,,
がんゲノム,0,13,3.0,26.0,22.7,17.5,29.5,34.0,37.3,42.0,,
がんゲノム,0,14,2.0,31.0,31.0,28.5,33.5,31.0,31.0,35.5,,
がんゲノム,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
がんゲノム,0,17,1.0,,,,,,,,,
がんゲノム,1,0,1.0,,,,,,,,,
がんゲノム,1,8,2.0,362.5,362.5,327.8,397.2,20.0,20.0,25.5,,
がんゲノム,1,11,1.0,255.0,255.0,255.0,255.0,28.0,28.0,28.0,,
がんゲノム,1,13,2.0,75.0,75.0,53.0,97.0,30.0,30.0,41.5,,
がんゲノム,1,14,3.0,23.0,17.3,14.5,23.0,15.0,17.3,21.5,,
アレルギー科,0,0,2.0,,,,,,,,,
アレルギー科,0,8,2.0,53.5,53.5,41.8,65.2,7.5,7.5,7.8,9.0,9.0
アレルギー科,0,9,14.0,25.5,29.1,17.0,41.0,8.0,8.5,10.5,25.0,55.4
アレルギー科,0,10,17.0,38.0,45.1,19.0,76.0,6.0,5.4,10.0,21.0,65.4
アレルギー科,0,11,1.0,24.0,24.0,24.0,24.0,9.0,9.0,9.0,,
アレルギー科,1,0,3.0,,,,,,,,,
アレルギー科,1,8,9.0,43.0,52.7,39.0,59.0,8.0,7.7,9.0,7.5,36.6
アレルギー科,1,9,12.0,62.0,62.2,48.8,77.0,6.0,6.6,7.5,30.0,28.3
アレルギー科,1,10,6.0,23.5,32.8,19.8,38.5,5.0,6.0,6.8,41.0,40.0
アレルギー科,1,11,1.0,46.0,46.0,46.0,46.0,26.0,26.0,26.0,36.0,36.0
アレルギー科,2,0,1.0,,,,,,,,,
アレルギー科,2,8,4.0,87.5,86.8,82.8,91.5,15.5,15.5,17.2,150.5,150.5
アレルギー科,2,9,10.0,62.0,65.7,31.2,81.8,9.0,11.4,17.8,7.5,52.5
アレルギー科,2,10,6.0,28.5,29.7,21.8,35.2,9.5,10.0,12.8,46.0,68.8
アレルギー科,2,11,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
アレルギー科,3,0,3.0,,,,,,,,,
アレルギー科,3,7,1.0,130.0,130.0,130.0,130.0,0.0,0.0,0.0,273.0,273.0
アレルギー科,3,8,20.0,85.0,91.0,78.2,91.5,7.0,7.6,10.2,28.0,67.4
アレルギー科,3,9,23.0,76.0,77.3,63.0,96.0,6.0,7.8,9.5,19.0,52.2
アレルギー科,3,10,9.0,74.0,84.2,52.0,124.0,0.0,3.1,5.0,36.0,32.8
ソーシャルワーカー,0,0,1.0,,,,,,,,,
ソーシャルワーカー,0,8,2.0,407.5,407.5,302.8,512.2,0.0,0.0,0.0,,
ソーシャルワーカー,0,9,2.0,92.0,92.0,46.0,138.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,11,2.0,104.5,104.5,57.2,151.8,0.0,0.0,0.0,,
ソーシャルワーカー,0,12,1.0,,,,,,,,,
ソーシャルワーカー,0,13,1.0,139.0,139.0,139.0,139.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,0,3.0,,,,,,,,,
ソーシャルワーカー,1,8,1.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,12,2.0,0.5,0.5,0.2,0.8,0.0,0.0,0.0,,
ソーシャルワーカー,1,13,1.0,,,,,,,,,
ソーシャルワーカー,1,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,0,3.0,,,,,,,,,
ソーシャルワーカー,2,8,1.0,332.0,332.0,332.0,332.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,9,1.0,210.0,210.0,210.0,210.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,10,6.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,11,4.0,18.0,100.8,0.0,118.8,0.0,0.0,0.0,,
ソーシャルワーカー,2,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,3,0,6.0,,,,,,,,,
ソーシャルワーカー,3,8,2.0,443.0,443.0,340.5,545.5,0.0,0.0,0.0,,
ソーシャルワーカー,3,9,6.0,57.0,83.4,0.0,123.0,0.0,0.0,0.0,,
ソーシャルワーカー,3,10,3.0,0.0,202.7,0.0,304.0,0.0,0.0,0.0,,
ソーシャルワーカー,3,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,3,12,5.0,0.0,59.2,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,3,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,3,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,4,0,10.0,,,,,,,,,
ソーシャルワーカー,4,9,2.0,91.0,91.0,91.0,91.0,0.0,0.0,0.0,,
ソーシャルワーカー,4,10,6.0,34.5,134.2,0.0,248.2,0.0,0.0,0.0,,
ソーシャルワーカー,4,11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,4,12,3.0,0.0,1.3,0.0,2.0,0.0,0.0,0.0,,
ソーシャルワーカー,4,14,1.0,,,,,,,,,
ソーシャルワーカー,4,15,3.0,,,,,,,,,
ソーシャルワーカー,4,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,4,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,4,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
メンタルケア科,0,0,5.0,832.0,832.0,832.0,832.0,13.0,13.0,13.0,,
メンタルケア科,0,8,7.0,36.0,57.6,21.0,63.5,6.0,8.0,8.0,5.5,54.8
