診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2025-05,56,0,56,0,0,1,0.0,0.0,0.0,1.79
がんゲノム,2025-05,17,0,17,0,0,1,0.0,0.0,0.0,5.88
アレルギー科,2025-05,145,4,141,3,3,9,2.76,75.0,2.07,6.21
ソーシャルワーカー,2025-05,123,0,123,0,0,23,0.0,0.0,0.0,18.7
メンタルケア科,2025-05,321,1,320,1,1,24,0.31,100.0,0.31,7.48
リウマチ膠原病内科,2025-05,1104,34,1070,33,34,35,3.08,97.06,3.08,3.17
一般消化器外科,2025-05,1130,58,1072,51,52,102,5.13,87.93,4.6,9.03
中央処置室,2025-05,162,0,162,0,0,4,0.0,0.0,0.0,2.47
乳腺外科,2025-05,1483,54,1429,49,49,53,3.64,90.74,3.3,3.57
健診センター,2025-05,62,0,62,0,0,10,0.0,0.0,0.0,16.13
入退院支援センター,2025-05,742,0,742,0,0,0,0.0,0.0,0.0,0.0
内科,2025-05,325,166,159,30,46,0,51.08,18.07,14.15,0.0
呼吸器内科,2025-05,1344,86,1258,80,85,46,6.4,93.02,6.32,3.42
呼吸器外科,2025-05,179,4,175,3,3,5,2.23,75.0,1.68,2.79
外来手術室,2025-05,517,0,517,0,0,33,0.0,0.0,0.0,6.38
小児科,2025-05,587,132,455,68,70,44,22.49,51.52,11.93,7.5
形成外科,2025-05,640,52,588,46,46,38,8.12,88.46,7.19,5.94
循環器内科,2025-05,1416,128,1288,105,112,58,9.04,82.03,7.91,4.1
心臓血管外科,2025-05,223,3,220,3,3,12,1.35,100.0,1.35,5.38
感染症,2025-05,31,0,31,0,0,13,0.0,0.0,0.0,41.94
放射線治療科,2025-05,976,3,973,3,3,28,0.31,100.0,0.31,2.87
救急科,2025-05,363,248,115,11,14,9,68.32,4.44,3.86,2.48
整形外科,2025-05,1763,224,1539,205,209,89,12.71,91.52,11.85,5.05
栄養管理室,2025-05,1,0,1,0,0,0,0.0,0.0,0.0,0.0
歯科口腔外科,2025-05,965,246,719,159,159,36,25.49,64.63,16.48,3.73
泌尿器科,2025-05,3381,140,3241,116,117,171,4.14,82.86,3.46,5.06
消化器内科,2025-05,1529,170,1359,163,167,69,11.12,95.88,10.92,4.51
産婦人科,2025-05,1990,150,1840,122,128,206,7.54,81.33,6.43,10.35
皮膚・排泄ケア,2025-05,98,0,98,0,0,86,0.0,0.0,0.0,87.76
皮膚科,2025-05,1355,109,1246,85,85,97,8.04,77.98,6.27,7.16
看護部,2025-05,95,0,95,0,0,7,0.0,0.0,0.0,7.37
眼科,2025-05,3405,239,3166,221,221,128,7.02,92.47,6.49,3.76
禁煙外来,2025-05,10,0,10,0,0,1,0.0,0.0,0.0,10.0
移行期医療支援外来,2025-05,1,0,1,0,0,0,0.0,0.0,0.0,0.0
総合内科,2025-05,1295,243,1052,140,145,52,18.76,57.61,11.2,4.02
緩和ケアチーム,2025-05,37,0,37,0,0,21,0.0,0.0,0.0,56.76
緩和ケア内科,2025-05,1,0,1,0,0,0,0.0,0.0,0.0,0.0
耳鼻咽喉科,2025-05,1823,198,1625,163,165,92,10.86,82.32,9.05,5.05
職員健康診断,2025-05,1464,0,1464,0,0,1464,0.0,0.0,0.0,100.0
脳神経内科,2025-05,515,59,456,59,60,14,11.46,100.0,11.65,2.72
脳神経外科,2025-05,225,43,182,34,35,6,19.11,79.07,15.56,2.67
腎内科,2025-05,710,15,695,14,15,25,2.11,93.33,2.11,3.52
臨床工学技師,2025-05,189,0,189,0,0,161,0.0,0.0,0.0,85.19
臨床腫瘍科,2025-05,133,0,133,0,0,5,0.0,0.0,0.0,3.76
薬剤部,2025-05,110,0,110,0,0,4,0.0,0.0,0.0,3.64
血液内科,2025-05,822,22,800,20,20,17,2.68,90.91,2.43,2.07
退院支援,2025-05,145,0,145,0,0,21,0.0,0.0,0.0,14.48
通院治療センター,2025-05,40,0,40,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2025-05,67,9,58,2,6,5,13.43,22.22,8.96,7.46
骨転移カンファレンス,2025-05,4,0,4,0,0,2,0.0,0.0,0.0,50.0
麻酔科,2025-05,404,0,404,0,0,4,0.0,0.0,0.0,0.99
ＥＳＴ(倫理相談),2025-05,1,0,1,0,0,1,0.0,0.0,0.0,100.0
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-05,112,0,112,0,0,1,0.0,0.0,0.0,0.89
