診療科名,予約名称,区分,曜日,bin_idx,bin_label,稼働日数,該当日数,稼働頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,SL_0009,全体,0,5,10:30,1,4,0.25,1,7,0.25,1.8
PICCCVポートセンター,SL_0009,全体,1,3,09:30,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,2,5,10:30,1,4,0.25,1,8,0.25,2.0
PICCCVポートセンター,SL_0009,全体,2,12,14:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,全体,3,11,13:30,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,SL_0009,全体,3,12,14:00,1,5,0.2,1,1,0.2,0.2
PICCCVポートセンター,SL_0009,全体,4,5,10:30,1,5,0.2,1,5,0.2,1.0
PICCCVポートセンター,SL_0009,再診,0,5,10:30,1,4,0.25,1,7,0.25,1.8
PICCCVポートセンター,SL_0009,再診,1,3,09:30,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,2,5,10:30,1,4,0.25,1,8,0.25,2.0
PICCCVポートセンター,SL_0009,再診,2,12,14:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,再診,3,11,13:30,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,SL_0009,再診,3,12,14:00,1,5,0.2,1,1,0.2,0.2
PICCCVポートセンター,SL_0009,再診,4,5,10:30,1,5,0.2,1,5,0.2,1.0
PICCCVポートセンター,SL_0009,薬再診,1,3,09:30,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,薬再診,2,12,14:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,薬再診,3,11,13:30,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,SL_0009,薬再診,3,12,14:00,1,5,0.2,1,1,0.2,0.2
がんゲノム,SL_0088,全体,0,10,13:00,1,4,0.25,1,10,0.25,2.5
がんゲノム,SL_0088,全体,0,11,13:30,3,4,0.75,3,18,0.75,4.5
がんゲノム,SL_0088,全体,0,12,14:00,3,4,0.75,3,84,0.75,21.0
