診療科名,月,診療区分,診察時間_階級,併科受診フラグ,紹介状有無,初再診区分,予約フラグ,診察前検査フラグ,件数
PICCCVポートセンター,2025-06,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,14
PICCCVポートセンター,2025-06,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,36
PICCCVポートセンター,2025-06,薬のみ,10-14分,有,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-06,薬のみ,15-29分,有,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-06,薬のみ,15-29分,無,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-06,薬のみ,5-9分,有,紹介状無し,再診,枠なし予約,なし,2
PICCCVポートセンター,2025-06,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,なし,3
PICCCVポートセンター,2025-06,薬のみ,不明,有,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-06,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,1
がんゲノム,2025-06,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,4
がんゲノム,2025-06,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,1
がんゲノム,2025-06,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2025-06,通常診療,30分以上,有,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2025-06,通常診療,30分以上,,紹介状無し,再診,枠あり予約,なし,3
がんゲノム,2025-06,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,2
アレルギー科,2025-06,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,2
アレルギー科,2025-06,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,1
アレルギー科,2025-06,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,6
アレルギー科,2025-06,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,検査済,2
アレルギー科,2025-06,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,,1
アレルギー科,2025-06,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,11
アレルギー科,2025-06,通常診療,0-4分,,紹介状無し,再診,枠あり予約,検査未,1
アレルギー科,2025-06,通常診療,0-4分,,紹介状無し,再診,枠あり予約,検査済,5
アレルギー科,2025-06,通常診療,0-4分,,紹介状無し,再診,枠あり予約,至急済,3
アレルギー科,2025-06,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,4
アレルギー科,2025-06,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,検査中,1
アレルギー科,2025-06,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,検査済,1
アレルギー科,2025-06,通常診療,10-14分,,紹介状無し,再診,枠あり予約,なし,18
アレルギー科,2025-06,通常診療,10-14分,,紹介状無し,再診,枠あり予約,検査済,4
アレルギー科,2025-06,通常診療,10-14分,,紹介状無し,再診,枠あり予約,至急済,3
アレルギー科,2025-06,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,なし,2
アレルギー科,2025-06,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,検査済,3
アレルギー科,2025-06,通常診療,15-29分,,紹介状あり,初診,枠あり予約,なし,1
アレルギー科,2025-06,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,10
アレルギー科,2025-06,通常診療,15-29分,,紹介状無し,再診,枠あり予約,検査未,2
アレルギー科,2025-06,通常診療,15-29分,,紹介状無し,再診,枠あり予約,至急済,2
アレルギー科,2025-06,通常診療,30分以上,有,紹介状無し,再診,枠あり予約,なし,3
アレルギー科,2025-06,通常診療,30分以上,,紹介状あり,初診,枠あり予約,なし,1
アレルギー科,2025-06,通常診療,30分以上,,紹介状無し,再診,枠あり予約,なし,2
アレルギー科,2025-06,通常診療,30分以上,,紹介状無し,再診,枠あり予約,検査未,1
アレルギー科,2025-06,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,9
アレルギー科,2025-06,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,検査済,6
アレルギー科,2025-06,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,至急済,1
アレルギー科,2025-06,通常診療,5-9分,,紹介状無し,再診,枠あり予約,なし,35
アレルギー科,2025-06,通常診療,5-9分,,紹介状無し,再診,枠あり予約,検査未,3
アレルギー科,2025-06,通常診療,5-9分,,紹介状無し,再診,枠あり予約,検査済,9
アレルギー科,2025-06,通常診療,5-9分,,紹介状無し,再診,枠あり予約,至急済,1
アレルギー科,2025-06,通常診療,不明,有,紹介状無し,再診,枠あり予約,なし,2
アレルギー科,2025-06,通常診療,不明,,紹介状無し,再診,枠あり予約,なし,6
ソーシャルワーカー,2025-06,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,4
ソーシャルワーカー,2025-06,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,5
ソーシャルワーカー,2025-06,薬のみ,不明,有,紹介状無し,再診,枠なし予約,なし,5
ソーシャルワーカー,2025-06,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,6
ソーシャルワーカー,2025-06,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,23
ソーシャルワーカー,2025-06,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,51
ソーシャルワーカー,2025-06,通常診療,不明,有,紹介状無し,再診,枠あり予約,なし,6
ソーシャルワーカー,2025-06,通常診療,不明,,紹介状無し,再診,枠あり予約,なし,16
メンタルケア科,2025-06,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,12
メンタルケア科,2025-06,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,25
メンタルケア科,2025-06,薬のみ,0-4分,,紹介状無し,再診,枠なし予約,なし,1
メンタルケア科,2025-06,薬のみ,10-14分,有,紹介状無し,再診,枠なし予約,なし,1
メンタルケア科,2025-06,薬のみ,10-14分,無,紹介状無し,再診,枠なし予約,なし,3
メンタルケア科,2025-06,薬のみ,15-29分,有,紹介状無し,再診,枠なし予約,なし,2
メンタルケア科,2025-06,薬のみ,15-29分,無,紹介状無し,再診,枠なし予約,なし,6
メンタルケア科,2025-06,薬のみ,30分以上,有,紹介状無し,再診,枠なし予約,なし,10
メンタルケア科,2025-06,薬のみ,30分以上,無,紹介状無し,再診,枠なし予約,なし,8
メンタルケア科,2025-06,薬のみ,5-9分,有,紹介状無し,再診,枠なし予約,なし,3
メンタルケア科,2025-06,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,なし,2
メンタルケア科,2025-06,薬のみ,不明,有,紹介状無し,再診,枠なし予約,なし,2
メンタルケア科,2025-06,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,7
メンタルケア科,2025-06,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,5
メンタルケア科,2025-06,通常診療,0-4分,,紹介状あり,初診,枠あり予約,なし,1
メンタルケア科,2025-06,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,50
メンタルケア科,2025-06,通常診療,0-4分,,紹介状無し,再診,枠あり予約,,1
メンタルケア科,2025-06,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,5
メンタルケア科,2025-06,通常診療,10-14分,,紹介状無し,再診,枠あり予約,なし,43
メンタルケア科,2025-06,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,なし,8
メンタルケア科,2025-06,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,40
メンタルケア科,2025-06,通常診療,15-29分,,紹介状無し,再診,枠あり予約,検査済,1
メンタルケア科,2025-06,通常診療,15-29分,,紹介状無し,初診,枠あり予約,なし,1
メンタルケア科,2025-06,通常診療,30分以上,有,紹介状無し,再診,枠あり予約,なし,4
メンタルケア科,2025-06,通常診療,30分以上,有,紹介状無し,初診,枠あり予約,,1
