診療科名,予約担当者匿名ID,区分,曜日,bin_idx,bin_label,出勤日数,該当日数,出勤頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
アレルギー科,DR_AL001,全体,2,4,10:00,4,4,1.0,10,108,2.5,27.0
アレルギー科,DR_AL001,全体,2,5,10:30,4,4,1.0,11,87,2.75,21.8
アレルギー科,DR_AL001,全体,2,6,11:00,4,4,1.0,11,92,2.75,23.0
アレルギー科,DR_AL001,全体,2,7,11:30,1,4,0.25,2,27,0.5,6.8
アレルギー科,DR_AL001,全体,2,8,12:00,1,4,0.25,1,5,0.25,1.2
アレルギー科,DR_AL001,全体,2,9,12:30,1,4,0.25,1,1,0.25,0.2
アレルギー科,DR_AL001,初診,2,5,10:30,1,4,0.25,1,22,0.25,5.5
アレルギー科,DR_AL001,再診,2,3,09:30,4,4,1.0,6,65,1.5,16.2
アレルギー科,DR_AL001,再診,2,4,10:00,4,4,1.0,10,108,2.5,27.0
アレルギー科,DR_AL001,再診,2,5,10:30,4,4,1.0,10,65,2.5,16.2
アレルギー科,DR_AL001,再診,2,6,11:00,4,4,1.0,11,92,2.75,23.0
アレルギー科,DR_AL001,再診,2,7,11:30,1,4,0.25,2,27,0.5,6.8
アレルギー科,DR_AL001,再診,2,8,12:00,1,4,0.25,1,5,0.25,1.2
アレルギー科,DR_AL001,再診,2,9,12:30,1,4,0.25,1,1,0.25,0.2
アレルギー科,DR_AL001,薬再診,2,5,10:30,1,4,0.25,1,5,0.25,1.2
アレルギー科,DR_AL002,全体,3,3,09:30,4,4,1.0,13,76,3.25,19.0
アレルギー科,DR_AL002,全体,3,4,10:00,4,4,1.0,9,59,2.25,14.8
アレルギー科,DR_AL002,全体,3,5,10:30,4,4,1.0,10,81,2.5,20.2
アレルギー科,DR_AL002,全体,3,6,11:00,4,4,1.0,12,99,3.0,24.8
アレルギー科,DR_AL002,全体,3,7,11:30,4,4,1.0,7,81,1.75,20.2
アレルギー科,DR_AL002,全体,3,8,12:00,1,4,0.25,1,2,0.25,0.5
アレルギー科,DR_AL002,全体,3,11,13:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,DR_AL002,再診,3,3,09:30,4,4,1.0,13,76,3.25,19.0
アレルギー科,DR_AL002,再診,3,4,10:00,4,4,1.0,9,59,2.25,14.8
アレルギー科,DR_AL002,再診,3,5,10:30,4,4,1.0,10,81,2.5,20.2
アレルギー科,DR_AL002,再診,3,6,11:00,4,4,1.0,12,99,3.0,24.8
アレルギー科,DR_AL002,再診,3,7,11:30,4,4,1.0,7,81,1.75,20.2
アレルギー科,DR_AL002,再診,3,8,12:00,1,4,0.25,1,2,0.25,0.5
アレルギー科,DR_AL002,再診,3,11,13:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,DR_AL002,薬再診,3,3,09:30,3,4,0.75,4,14,1.0,3.5
アレルギー科,DR_AL002,薬再診,3,4,10:00,2,4,0.5,2,3,0.5,0.8
アレルギー科,DR_AL002,薬再診,3,5,10:30,1,4,0.25,1,3,0.25,0.8
アレルギー科,DR_AL002,薬再診,3,6,11:00,1,4,0.25,2,8,0.5,2.0
アレルギー科,DR_AL002,薬再診,3,7,11:30,1,4,0.25,1,5,0.25,1.2
アレルギー科,DR_AL002,薬再診,3,11,13:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,DR_AL003,全体,2,5,10:30,1,4,0.25,1,2,0.25,0.5
アレルギー科,DR_AL003,再診,2,5,10:30,1,4,0.25,1,2,0.25,0.5
アレルギー科,DR_AL003,薬再診,2,5,10:30,1,4,0.25,1,2,0.25,0.5
アレルギー科,DR_RS2003,全体,1,2,09:00,4,4,1.0,10,66,2.5,16.5
アレルギー科,DR_RS2003,全体,1,3,09:30,4,4,1.0,10,61,2.5,15.2
アレルギー科,DR_RS2003,全体,1,4,10:00,4,4,1.0,9,46,2.25,11.5
アレルギー科,DR_RS2003,全体,1,5,10:30,4,4,1.0,12,99,3.0,24.8
アレルギー科,DR_RS2003,全体,1,6,11:00,4,4,1.0,9,141,2.25,35.2
アレルギー科,DR_RS2003,全体,1,7,11:30,3,4,0.75,7,63,1.75,15.8
アレルギー科,DR_RS2003,全体,1,8,12:00,3,4,0.75,3,32,0.75,8.0
アレルギー科,DR_RS2003,再診,1,2,09:00,4,4,1.0,10,66,2.5,16.5
アレルギー科,DR_RS2003,再診,1,3,09:30,4,4,1.0,10,61,2.5,15.2
アレルギー科,DR_RS2003,再診,1,4,10:00,4,4,1.0,9,46,2.25,11.5
アレルギー科,DR_RS2003,再診,1,5,10:30,4,4,1.0,12,99,3.0,24.8
アレルギー科,DR_RS2003,再診,1,6,11:00,4,4,1.0,9,141,2.25,35.2
アレルギー科,DR_RS2003,再診,1,7,11:30,3,4,0.75,7,63,1.75,15.8
アレルギー科,DR_RS2003,再診,1,8,12:00,3,4,0.75,3,32,0.75,8.0
アレルギー科,DR_RS2003,薬再診,1,2,09:00,2,4,0.5,3,12,0.75,3.0
アレルギー科,DR_RS2003,薬再診,1,3,09:30,1,4,0.25,1,5,0.25,1.2
アレルギー科,DR_RS2003,薬再診,1,4,10:00,3,4,0.75,4,13,1.0,3.2
アレルギー科,DR_RS2003,薬再診,1,5,10:30,1,4,0.25,2,7,0.5,1.8
アレルギー科,DR_RS2005,全体,0,2,09:00,4,5,0.8,4,47,0.8,9.4
アレルギー科,DR_RS2005,全体,0,3,09:30,5,5,1.0,11,89,2.2,17.8
アレルギー科,DR_RS2005,全体,0,4,10:00,5,5,1.0,10,70,2.0,14.0
アレルギー科,DR_RS2005,全体,0,5,10:30,4,5,0.8,9,89,1.8,17.8
アレルギー科,DR_RS2005,全体,0,6,11:00,4,5,0.8,5,43,1.0,8.6
アレルギー科,DR_RS2005,全体,0,7,11:30,1,5,0.2,1,3,0.2,0.6
アレルギー科,DR_RS2005,初診,0,5,10:30,1,5,0.2,1,10,0.2,2.0
アレルギー科,DR_RS2005,初診,0,6,11:00,1,5,0.2,1,26,0.2,5.2
アレルギー科,DR_RS2005,再診,0,2,09:00,4,5,0.8,4,47,0.8,9.4
アレルギー科,DR_RS2005,再診,0,3,09:30,5,5,1.0,11,89,2.2,17.8
アレルギー科,DR_RS2005,再診,0,4,10:00,5,5,1.0,10,70,2.0,14.0
アレルギー科,DR_RS2005,再診,0,5,10:30,4,5,0.8,8,79,1.6,15.8
アレルギー科,DR_RS2005,再診,0,6,11:00,4,5,0.8,4,17,0.8,3.4
アレルギー科,DR_RS2005,再診,0,7,11:30,1,5,0.2,1,3,0.2,0.6
アレルギー科,DR_RS2005,薬再診,0,3,09:30,1,5,0.2,1,2,0.2,0.4
アレルギー科,DR_RS2005,薬再診,0,4,10:00,1,5,0.2,1,4,0.2,0.8
アレルギー科,DR_RS2005,薬再診,0,6,11:00,1,5,0.2,1,5,0.2,1.0
メンタルケア科,DR_MN001,全体,0,1,08:30,1,5,0.2,1,11,0.2,2.2
メンタルケア科,DR_MN001,全体,0,2,09:00,1,5,0.2,1,30,0.2,6.0
メンタルケア科,DR_MN001,全体,0,3,09:30,1,5,0.2,1,28,0.2,5.6
メンタルケア科,DR_MN001,全体,0,6,11:00,1,5,0.2,1,7,0.2,1.4
メンタルケア科,DR_MN001,全体,0,10,13:00,1,5,0.2,1,3,0.2,0.6
メンタルケア科,DR_MN001,全体,0,11,13:30,1,5,0.2,1,26,0.2,5.2
メンタルケア科,DR_MN001,全体,0,12,14:00,1,5,0.2,1,30,0.2,6.0
メンタルケア科,DR_MN001,全体,0,13,14:30,1,5,0.2,1,1,0.2,0.2
メンタルケア科,DR_MN001,全体,2,1,08:30,4,4,1.0,8,80,2.0,20.0
メンタルケア科,DR_MN001,全体,2,2,09:00,4,4,1.0,18,128,4.5,32.0
メンタルケア科,DR_MN001,全体,2,3,09:30,4,4,1.0,15,113,3.75,28.2
メンタルケア科,DR_MN001,全体,2,4,10:00,4,4,1.0,13,109,3.25,27.2
メンタルケア科,DR_MN001,全体,2,5,10:30,4,4,1.0,12,105,3.0,26.2
メンタルケア科,DR_MN001,全体,2,6,11:00,4,4,1.0,9,96,2.25,24.0
メンタルケア科,DR_MN001,全体,2,7,11:30,4,4,1.0,12,69,3.0,17.2
メンタルケア科,DR_MN001,全体,2,8,12:00,3,4,0.75,5,55,1.25,13.8
メンタルケア科,DR_MN001,全体,2,9,12:30,1,4,0.25,1,30,0.25,7.5
メンタルケア科,DR_MN001,全体,2,10,13:00,3,4,0.75,5,60,1.25,15.0
メンタルケア科,DR_MN001,全体,2,11,13:30,4,4,1.0,13,85,3.25,21.2
メンタルケア科,DR_MN001,全体,2,12,14:00,4,4,1.0,11,88,2.75,22.0
メンタルケア科,DR_MN001,全体,2,13,14:30,4,4,1.0,8,92,2.0,23.0
メンタルケア科,DR_MN001,全体,2,14,15:00,2,4,0.5,3,36,0.75,9.0
メンタルケア科,DR_MN001,再診,0,1,08:30,1,5,0.2,1,11,0.2,2.2
メンタルケア科,DR_MN001,再診,0,2,09:00,1,5,0.2,1,30,0.2,6.0
メンタルケア科,DR_MN001,再診,0,3,09:30,1,5,0.2,1,28,0.2,5.6
メンタルケア科,DR_MN001,再診,0,6,11:00,1,5,0.2,1,7,0.2,1.4
メンタルケア科,DR_MN001,再診,0,10,13:00,1,5,0.2,1,3,0.2,0.6
メンタルケア科,DR_MN001,再診,0,11,13:30,1,5,0.2,1,26,0.2,5.2
メンタルケア科,DR_MN001,再診,0,12,14:00,1,5,0.2,1,30,0.2,6.0
メンタルケア科,DR_MN001,再診,0,13,14:30,1,5,0.2,1,1,0.2,0.2
メンタルケア科,DR_MN001,再診,2,1,08:30,4,4,1.0,8,80,2.0,20.0
メンタルケア科,DR_MN001,再診,2,2,09:00,4,4,1.0,18,128,4.5,32.0
メンタルケア科,DR_MN001,再診,2,3,09:30,4,4,1.0,15,113,3.75,28.2
メンタルケア科,DR_MN001,再診,2,4,10:00,4,4,1.0,13,109,3.25,27.2
メンタルケア科,DR_MN001,再診,2,5,10:30,4,4,1.0,12,105,3.0,26.2
メンタルケア科,DR_MN001,再診,2,6,11:00,4,4,1.0,9,96,2.25,24.0
メンタルケア科,DR_MN001,再診,2,7,11:30,4,4,1.0,12,69,3.0,17.2
メンタルケア科,DR_MN001,再診,2,8,12:00,3,4,0.75,5,55,1.25,13.8
メンタルケア科,DR_MN001,再診,2,9,12:30,1,4,0.25,1,30,0.25,7.5
メンタルケア科,DR_MN001,再診,2,10,13:00,3,4,0.75,5,60,1.25,15.0
メンタルケア科,DR_MN001,再診,2,11,13:30,4,4,1.0,13,85,3.25,21.2
メンタルケア科,DR_MN001,再診,2,12,14:00,4,4,1.0,11,88,2.75,22.0
メンタルケア科,DR_MN001,再診,2,13,14:30,4,4,1.0,8,92,2.0,23.0
メンタルケア科,DR_MN001,再診,2,14,15:00,2,4,0.5,3,36,0.75,9.0
メンタルケア科,DR_MN001,薬再診,0,10,13:00,1,5,0.2,1,3,0.2,0.6
メンタルケア科,DR_MN001,薬再診,2,1,08:30,1,4,0.25,1,4,0.25,1.0
メンタルケア科,DR_MN001,薬再診,2,2,09:00,3,4,0.75,5,18,1.25,4.5
メンタルケア科,DR_MN001,薬再診,2,3,09:30,1,4,0.25,2,6,0.5,1.5
メンタルケア科,DR_MN001,薬再診,2,5,10:30,3,4,0.75,3,11,0.75,2.8
メンタルケア科,DR_MN001,薬再診,2,6,11:00,1,4,0.25,1,2,0.25,0.5
メンタルケア科,DR_MN001,薬再診,2,7,11:30,2,4,0.5,3,8,0.75,2.0
メンタルケア科,DR_MN001,薬再診,2,8,12:00,1,4,0.25,1,3,0.25,0.8
メンタルケア科,DR_MN001,薬再診,2,10,13:00,1,4,0.25,1,2,0.25,0.5
メンタルケア科,DR_MN001,薬再診,2,11,13:30,2,4,0.5,6,19,1.5,4.8
メンタルケア科,DR_MN001,薬再診,2,12,14:00,2,4,0.5,2,5,0.5,1.2
メンタルケア科,DR_MN002,全体,0,1,08:30,1,5,0.2,1,3,0.2,0.6
メンタルケア科,DR_MN002,全体,0,3,09:30,1,5,0.2,1,1,0.2,0.2
