診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2025-06,60,50,0.833,60,1.0,0.0,94.4
がんゲノム,DR_ON001,SL_0088,2025-06,14,5,0.357,14,1.0,9.0,72.7
アレルギー科,DR_AL002,SL_0189,2025-06,44,11,0.25,44,1.0,6.0,71.1
アレルギー科,DR_RS2003,SL_0061,2025-06,39,9,0.231,39,1.0,7.0,69.8
アレルギー科,DR_RS2005,SL_0100,2025-06,31,4,0.129,31,1.0,7.0,66.4
アレルギー科,DR_AL001,SL_0033,2025-06,33,2,0.061,33,1.0,10.5,61.8
アレルギー科,DR_AL002,SL_0009,2025-06,1,1,1.0,1,1.0,0.0,
アレルギー科,DR_AL002,SL_0852,2025-06,1,0,0.0,1,1.0,21.0,
アレルギー科,DR_AL003,SL_0009,2025-06,1,1,1.0,1,1.0,1.0,
アレルギー科,DR_AL003,SL_0783,2025-06,1,1,1.0,1,1.0,0.0,
アレルギー科,DR_AL004,SL_0005,2025-06,2,0,0.0,2,1.0,,
アレルギー科,DR_RS2003,SL_0361,2025-06,6,2,0.333,6,1.0,9.5,
アレルギー科,DR_RS2005,SL_0009,2025-06,1,1,1.0,1,1.0,1.0,
ソーシャルワーカー,DR_XX001,SL_0011,2025-06,96,74,0.771,96,1.0,0.0,92.4
ソーシャルワーカー,DR_XX001,SL_0009,2025-06,20,9,0.45,20,1.0,0.0,81.7
メンタルケア科,DR_MN002,SL_0009,2025-06,71,36,0.507,71,1.0,0.0,83.6
メンタルケア科,DR_MN001,SL_0043,2025-06,108,25,0.231,108,1.0,9.0,68.5
メンタルケア科,DR_MN004,SL_0255,2025-06,71,13,0.183,71,1.0,8.0,67.5
メンタルケア科,DR_MN004,SL_0009,2025-06,10,2,0.2,10,1.0,19.0,60.9
メンタルケア科,DR_MN009,SL_0721,2025-06,43,4,0.093,43,1.0,14.0,60.6
メンタルケア科,DR_MN001,SL_0624,2025-06,8,1,0.125,8,1.0,31.0,
