診療科名,予約担当者匿名ID,予約名称,初再診区分,紹介状有無,月,件数
PICCCVポートセンター,DR_XX009,SL_0009,再診,紹介状無し,2025-06,60
がんゲノム,DR_ON001,SL_0088,再診,紹介状無し,2025-06,14
アレルギー科,DR_AL001,SL_0033,再診,紹介状無し,2025-06,33
アレルギー科,DR_AL001,SL_0820,初診,紹介状あり,2025-06,1
アレルギー科,DR_AL002,SL_0009,再診,紹介状無し,2025-06,1
アレルギー科,DR_AL002,SL_0189,再診,紹介状無し,2025-06,44
アレルギー科,DR_AL002,SL_0852,再診,紹介状無し,2025-06,1
アレルギー科,DR_AL003,SL_0009,再診,紹介状無し,2025-06,1
アレルギー科,DR_AL003,SL_0783,再診,紹介状無し,2025-06,1
アレルギー科,DR_AL004,SL_0005,再診,紹介状無し,2025-06,2
アレルギー科,DR_RS2003,SL_0061,再診,紹介状無し,2025-06,39
アレルギー科,DR_RS2003,SL_0361,再診,紹介状無し,2025-06,6
アレルギー科,DR_RS2005,SL_0009,再診,紹介状無し,2025-06,1
アレルギー科,DR_RS2005,SL_0100,再診,紹介状無し,2025-06,31
アレルギー科,DR_RS2005,SL_0561,初診,紹介状あり,2025-06,1
ソーシャルワーカー,DR_XX001,SL_0009,再診,紹介状無し,2025-06,20
ソーシャルワーカー,DR_XX001,SL_0011,再診,紹介状無し,2025-06,96
メンタルケア科,DR_MN001,SL_0043,再診,紹介状無し,2025-06,108
メンタルケア科,DR_MN001,SL_0624,再診,紹介状無し,2025-06,8
メンタルケア科,DR_MN001,SL_0624,初診,紹介状あり,2025-06,1
メンタルケア科,DR_MN002,SL_0009,再診,紹介状無し,2025-06,71
メンタルケア科,DR_MN002,SL_0552,再診,紹介状無し,2025-06,1
メンタルケア科,DR_MN002,SL_0552,初診,紹介状無し,2025-06,1
メンタルケア科,DR_MN004,SL_0009,再診,紹介状無し,2025-06,10
メンタルケア科,DR_MN004,SL_0255,再診,紹介状無し,2025-06,71
メンタルケア科,DR_MN004,SL_0545,再診,紹介状無し,2025-06,3
メンタルケア科,DR_MN005,SL_0609,再診,紹介状無し,2025-06,9
メンタルケア科,DR_MN006,SL_0005,再診,紹介状無し,2025-06,1
メンタルケア科,DR_MN007,SL_0951,再診,紹介状無し,2025-06,1
メンタルケア科,DR_MN008,SL_0678,再診,紹介状無し,2025-06,2
メンタルケア科,DR_MN009,SL_0009,再診,紹介状無し,2025-06,1
メンタルケア科,DR_MN009,SL_0721,再診,紹介状無し,2025-06,43
メンタルケア科,DR_MN009,SL_0721,初診,紹介状無し,2025-06,1
メンタルケア科,DR_MN009,SL_0763,再診,紹介状無し,2025-06,4
メンタルケア科,DR_MN010,SL_0828,再診,紹介状無し,2025-06,2
メンタルケア科,DR_MN011,SL_0891,再診,紹介状無し,2025-06,1
リウマチ膠原病内科,DR_RH001,SL_0008,再診,紹介状無し,2025-06,32
リウマチ膠原病内科,DR_RH001,SL_0009,再診,紹介状無し,2025-06,1
リウマチ膠原病内科,DR_RH002,SL_0009,再診,紹介状無し,2025-06,2
リウマチ膠原病内科,DR_RH002,SL_0014,再診,紹介状無し,2025-06,24
リウマチ膠原病内科,DR_RH002,SL_0426,初診,紹介状あり,2025-06,7
リウマチ膠原病内科,DR_RH002,SL_0682,再診,紹介状無し,2025-06,1
リウマチ膠原病内科,DR_RH002,SL_0957,初診,紹介状あり,2025-06,1
リウマチ膠原病内科,DR_RH003,SL_0009,再診,紹介状無し,2025-06,24
リウマチ膠原病内科,DR_RH003,SL_0065,初診,紹介状あり,2025-06,3
リウマチ膠原病内科,DR_RH003,SL_0066,再診,紹介状無し,2025-06,143
リウマチ膠原病内科,DR_RH003,SL_0526,再診,紹介状無し,2025-06,1
リウマチ膠原病内科,DR_RH003,SL_0768,初診,紹介状あり,2025-06,4
リウマチ膠原病内科,DR_RH004,SL_0009,再診,紹介状無し,2025-06,1
リウマチ膠原病内科,DR_RH004,SL_0139,再診,紹介状無し,2025-06,87
リウマチ膠原病内科,DR_RH005,SL_0009,再診,紹介状無し,2025-06,1
リウマチ膠原病内科,DR_RH005,SL_0156,再診,紹介状無し,2025-06,32
リウマチ膠原病内科,DR_RH006,SL_0009,再診,紹介状無し,2025-06,6
リウマチ膠原病内科,DR_RH006,SL_0174,再診,紹介状無し,2025-06,176
リウマチ膠原病内科,DR_RH006,SL_0496,初診,紹介状あり,2025-06,5
リウマチ膠原病内科,DR_RH007,SL_0009,再診,紹介状無し,2025-06,25
リウマチ膠原病内科,DR_RH007,SL_0176,再診,紹介状無し,2025-06,5
リウマチ膠原病内科,DR_RH008,SL_0201,再診,紹介状無し,2025-06,7
リウマチ膠原病内科,DR_RH009,SL_0009,再診,紹介状無し,2025-06,3
リウマチ膠原病内科,DR_RH009,SL_0210,再診,紹介状無し,2025-06,200
リウマチ膠原病内科,DR_RH009,SL_0340,再診,紹介状無し,2025-06,6
リウマチ膠原病内科,DR_RH009,SL_0692,初診,紹介状あり,2025-06,15
リウマチ膠原病内科,DR_RH009,SL_0961,初診,紹介状あり,2025-06,2
リウマチ膠原病内科,DR_RH010,SL_0009,再診,紹介状無し,2025-06,14
リウマチ膠原病内科,DR_RH010,SL_0222,再診,紹介状あり,2025-06,1
リウマチ膠原病内科,DR_RH010,SL_0222,再診,紹介状無し,2025-06,107
リウマチ膠原病内科,DR_RH011,SL_0009,再診,紹介状無し,2025-06,6
リウマチ膠原病内科,DR_RH011,SL_0368,再診,紹介状無し,2025-06,10
リウマチ膠原病内科,DR_RH012,SL_0005,再診,紹介状無し,2025-06,5
リウマチ膠原病内科,DR_RH013,SL_0009,再診,紹介状無し,2025-06,3
リウマチ膠原病内科,DR_RH013,SL_0596,再診,紹介状無し,2025-06,7
リウマチ膠原病内科,DR_RH014,SL_0926,初診,紹介状無し,2025-06,1
リウマチ膠原病内科,DR_RH015,SL_0983,再診,紹介状無し,2025-06,1
一般消化器外科,DR_BR005,SL_0009,再診,紹介状無し,2025-06,31
一般消化器外科,DR_BR005,SL_0516,再診,紹介状無し,2025-06,14
一般消化器外科,DR_GS001,SL_0009,再診,紹介状無し,2025-06,8
一般消化器外科,DR_GS001,SL_0021,再診,紹介状無し,2025-06,10
一般消化器外科,DR_GS001,SL_0022,再診,紹介状無し,2025-06,142
一般消化器外科,DR_GS001,SL_0022,初診,紹介状あり,2025-06,1
一般消化器外科,DR_GS001,SL_0454,初診,紹介状あり,2025-06,6
一般消化器外科,DR_GS001,SL_0696,初診,紹介状あり,2025-06,1
一般消化器外科,DR_GS002,SL_0085,再診,紹介状無し,2025-06,83
一般消化器外科,DR_GS002,SL_0085,初診,紹介状あり,2025-06,4
一般消化器外科,DR_GS002,SL_0085,初診,紹介状無し,2025-06,4
一般消化器外科,DR_GS002,SL_0568,再診,紹介状無し,2025-06,3
一般消化器外科,DR_GS002,SL_0601,初診,紹介状あり,2025-06,1
一般消化器外科,DR_GS002,SL_0885,初診,紹介状無し,2025-06,1
一般消化器外科,DR_GS003,SL_0009,再診,紹介状無し,2025-06,7
一般消化器外科,DR_GS003,SL_0102,初診,紹介状あり,2025-06,16
一般消化器外科,DR_GS003,SL_0103,再診,紹介状あり,2025-06,2
一般消化器外科,DR_GS003,SL_0103,再診,紹介状無し,2025-06,229
