診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2025-06,60,0,60,0,0,2,0.0,0.0,0.0,3.33
がんゲノム,2025-06,14,0,14,0,0,0,0.0,0.0,0.0,0.0
アレルギー科,2025-06,162,2,160,2,2,7,1.23,100.0,1.23,4.32
ソーシャルワーカー,2025-06,116,0,116,0,0,26,0.0,0.0,0.0,22.41
メンタルケア科,2025-06,339,3,336,1,1,16,0.88,33.33,0.29,4.72
リウマチ膠原病内科,2025-06,969,38,931,37,38,25,3.92,97.37,3.92,2.58
一般消化器外科,2025-06,1188,71,1117,64,68,86,5.98,90.14,5.72,7.24
中央処置室,2025-06,173,0,173,0,0,6,0.0,0.0,0.0,3.47
乳腺外科,2025-06,1689,56,1633,53,53,45,3.32,94.64,3.14,2.66
健診センター,2025-06,60,0,60,0,0,8,0.0,0.0,0.0,13.33
入退院支援センター,2025-06,730,0,730,0,0,0,0.0,0.0,0.0,0.0
内科,2025-06,299,165,134,18,29,1,55.18,10.91,9.7,0.33
呼吸器内科,2025-06,1366,77,1289,69,72,79,5.64,89.61,5.27,5.78
呼吸器外科,2025-06,221,6,215,5,5,7,2.71,83.33,2.26,3.17
外来手術室,2025-06,508,0,508,0,0,31,0.0,0.0,0.0,6.1
小児科,2025-06,650,145,505,76,77,58,22.31,52.41,11.85,8.92
形成外科,2025-06,599,45,554,42,42,35,7.51,93.33,7.01,5.84
循環器内科,2025-06,1593,142,1451,114,119,62,8.91,80.28,7.47,3.89
心臓血管外科,2025-06,213,3,210,3,3,13,1.41,100.0,1.41,6.1
感染症,2025-06,19,0,19,0,0,7,0.0,0.0,0.0,36.84
放射線治療科,2025-06,959,7,952,7,7,42,0.73,100.0,0.73,4.38
放射線診断科,2025-06,1,0,1,0,0,1,0.0,0.0,0.0,100.0
救急科,2025-06,310,205,105,11,16,5,66.13,5.37,5.16,1.61
整形外科,2025-06,1913,234,1679,219,223,115,12.23,93.59,11.66,6.01
栄養管理室,2025-06,1,0,1,0,0,1,0.0,0.0,0.0,100.0
歯科口腔外科,2025-06,1056,282,774,188,188,37,26.7,66.67,17.8,3.5
泌尿器科,2025-06,3589,128,3461,103,108,190,3.57,80.47,3.01,5.29
消化器内科,2025-06,1611,163,1448,149,153,61,10.12,91.41,9.5,3.79
産婦人科,2025-06,1981,146,1835,115,119,226,7.37,78.77,6.01,11.41
皮膚・排泄ケア,2025-06,84,0,84,0,0,77,0.0,0.0,0.0,91.67
皮膚科,2025-06,1346,115,1231,89,90,71,8.54,77.39,6.69,5.27
看護部,2025-06,113,0,113,0,0,7,0.0,0.0,0.0,6.19
眼科,2025-06,3453,223,3230,203,203,112,6.46,91.03,5.88,3.24
禁煙外来,2025-06,8,0,8,0,0,1,0.0,0.0,0.0,12.5
総合内科,2025-06,1263,236,1027,165,168,50,18.69,69.92,13.3,3.96
緩和ケアチーム,2025-06,34,0,34,0,0,15,0.0,0.0,0.0,44.12
耳鼻咽喉科,2025-06,1907,211,1696,182,182,92,11.06,86.26,9.54,4.82
脳神経内科,2025-06,554,61,493,59,59,26,11.01,96.72,10.65,4.69
脳神経外科,2025-06,260,36,224,26,26,8,13.85,72.22,10.0,3.08
腎内科,2025-06,794,23,771,23,23,26,2.9,100.0,2.9,3.27
臨床工学技師,2025-06,152,0,152,0,0,101,0.0,0.0,0.0,66.45
臨床腫瘍科,2025-06,164,0,164,0,0,2,0.0,0.0,0.0,1.22
薬剤部,2025-06,142,0,142,0,0,5,0.0,0.0,0.0,3.52
血液内科,2025-06,895,34,861,32,32,31,3.8,94.12,3.58,3.46
退院支援,2025-06,153,0,153,0,0,55,0.0,0.0,0.0,35.95
通院治療センター,2025-06,63,0,63,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2025-06,44,10,34,2,3,1,22.73,20.0,6.82,2.27
骨転移カンファレンス,2025-06,8,0,8,0,0,3,0.0,0.0,0.0,37.5
麻酔科,2025-06,394,0,394,0,0,0,0.0,0.0,0.0,0.0
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-06,128,2,126,2,2,1,1.56,100.0,1.56,0.78
