診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2025-06,再診,紹介状無し,60
がんゲノム,2025-06,再診,紹介状無し,14
アレルギー科,2025-06,再診,紹介状無し,160
アレルギー科,2025-06,初診,紹介状あり,2
ソーシャルワーカー,2025-06,再診,紹介状無し,116
メンタルケア科,2025-06,再診,紹介状無し,336
メンタルケア科,2025-06,初診,紹介状あり,1
メンタルケア科,2025-06,初診,紹介状無し,2
リウマチ膠原病内科,2025-06,再診,紹介状あり,1
リウマチ膠原病内科,2025-06,再診,紹介状無し,930
リウマチ膠原病内科,2025-06,初診,紹介状あり,37
リウマチ膠原病内科,2025-06,初診,紹介状無し,1
一般消化器外科,2025-06,再診,紹介状あり,4
一般消化器外科,2025-06,再診,紹介状無し,1113
一般消化器外科,2025-06,初診,紹介状あり,64
一般消化器外科,2025-06,初診,紹介状無し,7
中央処置室,2025-06,再診,紹介状無し,173
乳腺外科,2025-06,再診,紹介状無し,1633
乳腺外科,2025-06,初診,紹介状あり,53
乳腺外科,2025-06,初診,紹介状無し,3
健診センター,2025-06,再診,紹介状無し,60
入退院支援センター,2025-06,再診,紹介状無し,730
内科,2025-06,再診,紹介状あり,11
内科,2025-06,再診,紹介状無し,123
内科,2025-06,初診,紹介状あり,18
内科,2025-06,初診,紹介状無し,147
呼吸器内科,2025-06,再診,紹介状あり,3
呼吸器内科,2025-06,再診,紹介状無し,1286
呼吸器内科,2025-06,初診,紹介状あり,69
呼吸器内科,2025-06,初診,紹介状無し,8
呼吸器外科,2025-06,再診,紹介状無し,215
呼吸器外科,2025-06,初診,紹介状あり,5
呼吸器外科,2025-06,初診,紹介状無し,1
外来手術室,2025-06,再診,紹介状無し,508
小児科,2025-06,再診,紹介状あり,1
小児科,2025-06,再診,紹介状無し,504
小児科,2025-06,初診,紹介状あり,76
小児科,2025-06,初診,紹介状無し,69
形成外科,2025-06,再診,紹介状無し,554
形成外科,2025-06,初診,紹介状あり,42
形成外科,2025-06,初診,紹介状無し,3
循環器内科,2025-06,再診,紹介状あり,5
