診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,1,1
PICCCVポートセンター,病院到着,枠なし予約,4,1
PICCCVポートセンター,終了,枠なし予約,0,4
PICCCVポートセンター,終了,枠なし予約,1,12
PICCCVポートセンター,終了,枠なし予約,2,9
PICCCVポートセンター,終了,枠なし予約,3,7
PICCCVポートセンター,終了,枠なし予約,4,9
がんゲノム,終了,枠あり予約,0,1
がんゲノム,終了,枠あり予約,1,5
アレルギー科,6,枠あり予約,3,1
アレルギー科,未来院,枠あり予約,1,2
アレルギー科,未来院,枠あり予約,2,1
アレルギー科,未来院,枠あり予約,3,3
アレルギー科,終了,枠あり予約,0,23
アレルギー科,終了,枠あり予約,1,47
アレルギー科,終了,枠あり予約,2,22
アレルギー科,終了,枠あり予約,3,40
アレルギー科,終了,枠なし予約,1,1
アレルギー科,終了,枠なし予約,3,3
ソーシャルワーカー,保留,枠あり予約,0,2
ソーシャルワーカー,保留,枠あり予約,4,1
ソーシャルワーカー,未来院,枠あり予約,0,5
ソーシャルワーカー,未来院,枠あり予約,1,5
ソーシャルワーカー,未来院,枠あり予約,2,10
ソーシャルワーカー,未来院,枠あり予約,3,7
ソーシャルワーカー,未来院,枠あり予約,4,9
ソーシャルワーカー,未来院,枠なし予約,1,1
ソーシャルワーカー,未来院,枠なし予約,2,3
ソーシャルワーカー,未来院,枠なし予約,3,3
ソーシャルワーカー,未来院,枠なし予約,4,3
ソーシャルワーカー,病院到着,枠あり予約,1,3
ソーシャルワーカー,病院到着,枠あり予約,4,1
ソーシャルワーカー,病院到着,枠なし予約,0,2
ソーシャルワーカー,病院到着,枠なし予約,3,1
ソーシャルワーカー,終了,枠あり予約,0,11
ソーシャルワーカー,終了,枠あり予約,1,16
ソーシャルワーカー,終了,枠あり予約,2,9
ソーシャルワーカー,終了,枠あり予約,3,7
ソーシャルワーカー,終了,枠あり予約,4,13
ソーシャルワーカー,終了,枠なし予約,0,6
ソーシャルワーカー,終了,枠なし予約,1,2
ソーシャルワーカー,終了,枠なし予約,2,2
ソーシャルワーカー,終了,枠なし予約,3,3
ソーシャルワーカー,終了,枠なし予約,4,1
メンタルケア科,6,枠あり予約,1,3
メンタルケア科,未来院,枠あり予約,0,4
メンタルケア科,未来院,枠あり予約,1,2
メンタルケア科,未来院,枠あり予約,2,9
メンタルケア科,未来院,枠なし予約,0,4
メンタルケア科,未来院,枠なし予約,1,3
メンタルケア科,未来院,枠なし予約,2,2
メンタルケア科,未来院,枠なし予約,3,3
メンタルケア科,未来院,枠なし予約,4,2
メンタルケア科,病院到着,枠なし予約,0,2
メンタルケア科,病院到着,枠なし予約,1,2
メンタルケア科,病院到着,枠なし予約,3,1
メンタルケア科,病院到着,枠なし予約,4,1
メンタルケア科,終了,枠あり予約,0,57
メンタルケア科,終了,枠あり予約,1,38
メンタルケア科,終了,枠あり予約,2,107
メンタルケア科,終了,枠あり予約,3,9
メンタルケア科,終了,枠あり予約,4,10
メンタルケア科,終了,枠なし予約,0,12
メンタルケア科,終了,枠なし予約,1,8
メンタルケア科,終了,枠なし予約,2,9
メンタルケア科,終了,枠なし予約,3,21
メンタルケア科,終了,枠なし予約,4,12
リウマチ膠原病内科,6,枠あり予約,0,1
リウマチ膠原病内科,未来院,枠あり予約,0,1
リウマチ膠原病内科,未来院,枠あり予約,1,10
リウマチ膠原病内科,未来院,枠あり予約,2,4
リウマチ膠原病内科,未来院,枠あり予約,3,4
リウマチ膠原病内科,未来院,枠あり予約,4,10
リウマチ膠原病内科,未来院,枠なし予約,4,2
リウマチ膠原病内科,病院到着,枠あり予約,1,3
リウマチ膠原病内科,病院到着,枠あり予約,2,4
リウマチ膠原病内科,病院到着,枠なし予約,0,1
リウマチ膠原病内科,病院到着,枠なし予約,1,1
リウマチ膠原病内科,病院到着,枠なし予約,4,3
リウマチ膠原病内科,終了,枠あり予約,0,113
リウマチ膠原病内科,終了,枠あり予約,1,191
リウマチ膠原病内科,終了,枠あり予約,2,174
リウマチ膠原病内科,終了,枠あり予約,3,210
リウマチ膠原病内科,終了,枠あり予約,4,206
リウマチ膠原病内科,終了,枠なし予約,0,16
リウマチ膠原病内科,終了,枠なし予約,1,41
リウマチ膠原病内科,終了,枠なし予約,2,23
リウマチ膠原病内科,終了,枠なし予約,3,8
リウマチ膠原病内科,終了,枠なし予約,4,27
一般消化器外科,6,枠あり予約,0,1
