診療科名,予約担当者匿名ID,予約名称,初再診区分,紹介状有無,月,件数
PICCCVポートセンター,DR_XX009,SL_0009,再診,紹介状無し,2026-02,43
がんゲノム,DR_ON001,SL_0088,再診,紹介状無し,2026-02,6
アレルギー科,DR_AL001,SL_0033,再診,紹介状無し,2026-02,23
アレルギー科,DR_AL002,SL_0009,再診,紹介状無し,2026-02,3
アレルギー科,DR_AL002,SL_0189,再診,紹介状無し,2026-02,43
アレルギー科,DR_AL002,SL_0852,再診,紹介状無し,2026-02,1
アレルギー科,DR_AL003,SL_0009,再診,紹介状無し,2026-02,1
アレルギー科,DR_RS2003,SL_0061,再診,紹介状無し,2026-02,44
アレルギー科,DR_RS2003,SL_0361,再診,紹介状無し,2026-02,5
アレルギー科,DR_RS2005,SL_0100,再診,紹介状無し,2026-02,22
アレルギー科,DR_RS2005,SL_0561,初診,紹介状あり,2026-02,1
ソーシャルワーカー,DR_XX001,SL_0009,再診,紹介状無し,2026-02,27
ソーシャルワーカー,DR_XX001,SL_0011,再診,紹介状無し,2026-02,98
ソーシャルワーカー,DR_XX031,SL_0767,再診,紹介状無し,2026-02,1
メンタルケア科,DR_MN001,SL_0043,再診,紹介状無し,2026-02,110
メンタルケア科,DR_MN001,SL_0624,再診,紹介状無し,2026-02,8
メンタルケア科,DR_MN002,SL_0009,再診,紹介状無し,2026-02,75
メンタルケア科,DR_MN004,SL_0009,再診,紹介状無し,2026-02,5
メンタルケア科,DR_MN004,SL_0255,再診,紹介状無し,2026-02,51
メンタルケア科,DR_MN004,SL_0545,再診,紹介状無し,2026-02,5
メンタルケア科,DR_MN005,SL_0609,再診,紹介状無し,2026-02,11
メンタルケア科,DR_MN006,SL_0005,再診,紹介状無し,2026-02,1
メンタルケア科,DR_MN007,SL_0009,再診,紹介状無し,2026-02,1
メンタルケア科,DR_MN008,SL_0678,再診,紹介状無し,2026-02,3
メンタルケア科,DR_MN008,SL_0870,再診,紹介状無し,2026-02,1
メンタルケア科,DR_MN009,SL_0721,再診,紹介状無し,2026-02,42
メンタルケア科,DR_MN009,SL_0763,再診,紹介状無し,2026-02,7
メンタルケア科,DR_MN011,SL_0009,再診,紹介状無し,2026-02,1
リウマチ膠原病内科,DR_RH001,SL_0008,再診,紹介状無し,2026-02,36
リウマチ膠原病内科,DR_RH001,SL_0009,再診,紹介状無し,2026-02,1
リウマチ膠原病内科,DR_RH002,SL_0009,再診,紹介状無し,2026-02,7
リウマチ膠原病内科,DR_RH002,SL_0014,再診,紹介状無し,2026-02,31
リウマチ膠原病内科,DR_RH002,SL_0426,初診,紹介状あり,2026-02,1
リウマチ膠原病内科,DR_RH003,SL_0009,再診,紹介状無し,2026-02,33
リウマチ膠原病内科,DR_RH003,SL_0065,初診,紹介状あり,2026-02,1
リウマチ膠原病内科,DR_RH003,SL_0066,再診,紹介状無し,2026-02,135
リウマチ膠原病内科,DR_RH003,SL_0526,再診,紹介状無し,2026-02,8
リウマチ膠原病内科,DR_RH004,SL_0009,再診,紹介状無し,2026-02,1
