診療科名,予約名称,区分,曜日,bin_idx,bin_label,稼働日数,該当日数,稼働頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,SL_0009,全体,1,6,11:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,1,8,12:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,2,5,10:30,1,4,0.25,1,14,0.25,3.5
PICCCVポートセンター,SL_0009,全体,4,4,10:00,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,全体,4,8,12:00,1,4,0.25,1,7,0.25,1.8
PICCCVポートセンター,SL_0009,全体,4,9,12:30,2,4,0.5,2,11,0.5,2.8
PICCCVポートセンター,SL_0009,全体,4,10,13:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,全体,4,11,13:30,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,全体,4,12,14:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,全体,4,13,14:30,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,全体,4,14,15:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,全体,4,15,15:30,1,4,0.25,1,18,0.25,4.5
PICCCVポートセンター,SL_0009,再診,1,6,11:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,1,8,12:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,2,5,10:30,1,4,0.25,1,14,0.25,3.5
PICCCVポートセンター,SL_0009,再診,4,4,10:00,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,再診,4,8,12:00,1,4,0.25,1,7,0.25,1.8
PICCCVポートセンター,SL_0009,再診,4,9,12:30,2,4,0.5,2,11,0.5,2.8
PICCCVポートセンター,SL_0009,再診,4,10,13:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,再診,4,11,13:30,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,再診,4,12,14:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,再診,4,13,14:30,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,再診,4,14,15:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,SL_0009,再診,4,15,15:30,1,4,0.25,1,18,0.25,4.5
PICCCVポートセンター,SL_0009,薬再診,1,6,11:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,薬再診,1,8,12:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,薬再診,4,4,10:00,1,4,0.25,1,4,0.25,1.0
がんゲノム,SL_0088,全体,0,10,13:00,1,4,0.25,1,1,0.25,0.2
がんゲノム,SL_0088,全体,1,12,14:00,1,4,0.25,1,20,0.25,5.0
がんゲノム,SL_0088,全体,1,13,14:30,2,4,0.5,3,22,0.75,5.5
がんゲノム,SL_0088,全体,1,14,15:00,3,4,0.75,3,37,0.75,9.2
がんゲノム,SL_0088,再診,0,10,13:00,1,4,0.25,1,1,0.25,0.2
がんゲノム,SL_0088,再診,1,12,14:00,1,4,0.25,1,20,0.25,5.0
がんゲノム,SL_0088,再診,1,13,14:30,2,4,0.5,3,22,0.75,5.5
がんゲノム,SL_0088,再診,1,14,15:00,3,4,0.75,3,37,0.75,9.2
がんゲノム,SL_0088,薬再診,0,10,13:00,1,4,0.25,1,1,0.25,0.2
アレルギー科,SL_0009,全体,1,2,09:00,1,4,0.25,1,9,0.25,2.2
アレルギー科,SL_0009,全体,1,3,09:30,1,4,0.25,1,2,0.25,0.5
アレルギー科,SL_0009,全体,3,4,10:00,1,4,0.25,1,3,0.25,0.8
アレルギー科,SL_0009,全体,3,5,10:30,1,4,0.25,1,1,0.25,0.2
アレルギー科,SL_0009,全体,3,6,11:00,1,4,0.25,1,7,0.25,1.8
アレルギー科,SL_0009,再診,1,2,09:00,1,4,0.25,1,9,0.25,2.2
アレルギー科,SL_0009,再診,1,3,09:30,1,4,0.25,1,2,0.25,0.5
アレルギー科,SL_0009,再診,3,4,10:00,1,4,0.25,1,3,0.25,0.8
アレルギー科,SL_0009,再診,3,5,10:30,1,4,0.25,1,1,0.25,0.2
アレルギー科,SL_0009,再診,3,6,11:00,1,4,0.25,1,7,0.25,1.8
アレルギー科,SL_0009,薬再診,3,4,10:00,1,4,0.25,1,3,0.25,0.8
アレルギー科,SL_0009,薬再診,3,5,10:30,1,4,0.25,1,1,0.25,0.2
アレルギー科,SL_0033,全体,2,3,09:30,3,4,0.75,5,23,1.25,5.8
アレルギー科,SL_0033,全体,2,4,10:00,3,4,0.75,5,53,1.25,13.2
アレルギー科,SL_0033,全体,2,5,10:30,3,4,0.75,6,49,1.5,12.2
アレルギー科,SL_0033,全体,2,6,11:00,2,4,0.5,5,44,1.25,11.0
アレルギー科,SL_0033,全体,2,7,11:30,2,4,0.5,4,36,1.0,9.0
アレルギー科,SL_0033,全体,2,9,12:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0033,再診,2,3,09:30,3,4,0.75,5,23,1.25,5.8
アレルギー科,SL_0033,再診,2,4,10:00,3,4,0.75,5,53,1.25,13.2
アレルギー科,SL_0033,再診,2,5,10:30,3,4,0.75,6,49,1.5,12.2
アレルギー科,SL_0033,再診,2,6,11:00,2,4,0.5,5,44,1.25,11.0
アレルギー科,SL_0033,再診,2,7,11:30,2,4,0.5,4,36,1.0,9.0
アレルギー科,SL_0033,再診,2,9,12:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0033,薬再診,2,3,09:30,2,4,0.5,2,6,0.5,1.5
アレルギー科,SL_0033,薬再診,2,9,12:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0061,全体,1,2,09:00,4,4,1.0,8,39,2.0,9.8
アレルギー科,SL_0061,全体,1,3,09:30,4,4,1.0,10,39,2.5,9.8
アレルギー科,SL_0061,全体,1,4,10:00,4,4,1.0,6,46,1.5,11.5
アレルギー科,SL_0061,全体,1,5,10:30,4,4,1.0,9,61,2.25,15.2
アレルギー科,SL_0061,全体,1,6,11:00,4,4,1.0,11,68,2.75,17.0
アレルギー科,SL_0061,全体,1,7,11:30,3,4,0.75,7,48,1.75,12.0
アレルギー科,SL_0061,全体,1,8,12:00,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0061,再診,1,2,09:00,4,4,1.0,8,39,2.0,9.8
アレルギー科,SL_0061,再診,1,3,09:30,4,4,1.0,10,39,2.5,9.8
アレルギー科,SL_0061,再診,1,4,10:00,4,4,1.0,6,46,1.5,11.5
アレルギー科,SL_0061,再診,1,5,10:30,4,4,1.0,9,61,2.25,15.2
