診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2026-02,再診,紹介状無し,43
がんゲノム,2026-02,再診,紹介状無し,6
アレルギー科,2026-02,再診,紹介状無し,142
アレルギー科,2026-02,初診,紹介状あり,1
ソーシャルワーカー,2026-02,再診,紹介状無し,126
メンタルケア科,2026-02,再診,紹介状無し,321
リウマチ膠原病内科,2026-02,再診,紹介状無し,1036
リウマチ膠原病内科,2026-02,初診,紹介状あり,15
リウマチ膠原病内科,2026-02,初診,紹介状無し,2
一般消化器外科,2026-02,再診,紹介状あり,5
一般消化器外科,2026-02,再診,紹介状無し,1008
一般消化器外科,2026-02,初診,紹介状あり,53
一般消化器外科,2026-02,初診,紹介状無し,7
中央処置室,2026-02,再診,紹介状無し,159
乳腺外科,2026-02,再診,紹介状あり,2
乳腺外科,2026-02,再診,紹介状無し,1393
乳腺外科,2026-02,初診,紹介状あり,36
乳腺外科,2026-02,初診,紹介状無し,10
健診センター,2026-02,再診,紹介状無し,62
入退院支援センター,2026-02,再診,紹介状無し,656
内科,2026-02,再診,紹介状あり,14
内科,2026-02,再診,紹介状無し,128
内科,2026-02,初診,紹介状あり,20
内科,2026-02,初診,紹介状無し,213
呼吸器内科,2026-02,再診,紹介状あり,1
呼吸器内科,2026-02,再診,紹介状無し,1079
呼吸器内科,2026-02,初診,紹介状あり,53
呼吸器内科,2026-02,初診,紹介状無し,9
呼吸器外科,2026-02,再診,紹介状無し,160
呼吸器外科,2026-02,初診,紹介状あり,5
呼吸器外科,2026-02,初診,紹介状無し,1
外来手術室,2026-02,再診,紹介状無し,462
小児科,2026-02,再診,紹介状あり,1
小児科,2026-02,再診,紹介状無し,389
小児科,2026-02,初診,紹介状あり,51
小児科,2026-02,初診,紹介状無し,35
形成外科,2026-02,再診,紹介状無し,432
形成外科,2026-02,初診,紹介状あり,30
形成外科,2026-02,初診,紹介状無し,6
循環器内科,2026-02,再診,紹介状あり,8
循環器内科,2026-02,再診,紹介状無し,1272
循環器内科,2026-02,初診,紹介状あり,97
循環器内科,2026-02,初診,紹介状無し,19
心理検査,2026-02,再診,紹介状無し,1
心臓血管外科,2026-02,再診,紹介状無し,231
心臓血管外科,2026-02,初診,紹介状あり,1
心臓血管外科,2026-02,初診,紹介状無し,1
感染症,2026-02,再診,紹介状無し,25
放射線治療科,2026-02,再診,紹介状無し,784
放射線治療科,2026-02,初診,紹介状あり,5
放射線診断科,2026-02,再診,紹介状無し,1
救急科,2026-02,再診,紹介状あり,5
救急科,2026-02,再診,紹介状無し,103
救急科,2026-02,初診,紹介状あり,8
救急科,2026-02,初診,紹介状無し,216
整形外科,2026-02,再診,紹介状あり,4
整形外科,2026-02,再診,紹介状無し,1434
整形外科,2026-02,初診,紹介状あり,169
整形外科,2026-02,初診,紹介状無し,27
歯科口腔外科,2026-02,再診,紹介状無し,817
歯科口腔外科,2026-02,初診,紹介状あり,129
歯科口腔外科,2026-02,初診,紹介状無し,66
治験外来,2026-02,再診,紹介状無し,1
泌尿器科,2026-02,再診,紹介状あり,3
泌尿器科,2026-02,再診,紹介状無し,2929
泌尿器科,2026-02,初診,紹介状あり,80
泌尿器科,2026-02,初診,紹介状無し,18
消化器内科,2026-02,再診,紹介状あり,2
消化器内科,2026-02,再診,紹介状無し,1301
消化器内科,2026-02,初診,紹介状あり,129
消化器内科,2026-02,初診,紹介状無し,11
産婦人科,2026-02,再診,紹介状あり,1
産婦人科,2026-02,再診,紹介状無し,1715
産婦人科,2026-02,初診,紹介状あり,105
産婦人科,2026-02,初診,紹介状無し,42
皮膚・排泄ケア,2026-02,再診,紹介状無し,35
皮膚科,2026-02,再診,紹介状あり,2
皮膚科,2026-02,再診,紹介状無し,1028
皮膚科,2026-02,初診,紹介状あり,87
皮膚科,2026-02,初診,紹介状無し,23
看護部,2026-02,再診,紹介状無し,103
眼科,2026-02,再診,紹介状無し,3044
眼科,2026-02,初診,紹介状あり,166
眼科,2026-02,初診,紹介状無し,27
禁煙外来,2026-02,再診,紹介状無し,7
禁煙外来,2026-02,初診,紹介状あり,1
総合内科,2026-02,再診,紹介状あり,2
総合内科,2026-02,再診,紹介状無し,903
総合内科,2026-02,初診,紹介状あり,93
総合内科,2026-02,初診,紹介状無し,80
緩和ケアチーム,2026-02,再診,紹介状無し,30
耳鼻咽喉科,2026-02,再診,紹介状あり,1
耳鼻咽喉科,2026-02,再診,紹介状無し,1424
耳鼻咽喉科,2026-02,初診,紹介状あり,118
耳鼻咽喉科,2026-02,初診,紹介状無し,37
脳神経内科,2026-02,再診,紹介状あり,1
脳神経内科,2026-02,再診,紹介状無し,422
脳神経内科,2026-02,初診,紹介状あり,40
脳神経内科,2026-02,初診,紹介状無し,4
脳神経外科,2026-02,再診,紹介状あり,2
脳神経外科,2026-02,再診,紹介状無し,164
脳神経外科,2026-02,初診,紹介状あり,14
脳神経外科,2026-02,初診,紹介状無し,11
腎内科,2026-02,再診,紹介状無し,724
腎内科,2026-02,初診,紹介状あり,18
臨床工学技師,2026-02,再診,紹介状無し,202
臨床腫瘍科,2026-02,再診,紹介状無し,168
薬剤部,2026-02,再診,紹介状無し,134
血液内科,2026-02,再診,紹介状無し,783
血液内科,2026-02,初診,紹介状あり,20
血液内科,2026-02,初診,紹介状無し,2
退院支援,2026-02,再診,紹介状無し,132
通院治療センター,2026-02,再診,紹介状無し,33
遺伝診療科,2026-02,再診,紹介状無し,39
遺伝診療科,2026-02,初診,紹介状あり,2
骨転移カンファレンス,2026-02,再診,紹介状無し,7
麻酔科,2026-02,再診,紹介状無し,374
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-02,再診,紹介状無し,98
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-02,初診,紹介状あり,1
