診療科名,曜日,受付h,件数,待_中央値,待_平均,待_Q1,待_Q3,診察_中央値,診察_平均,診察_Q3,会計_中央値,会計_平均
PICCCVポートセンター,0,9,1.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,10,1.0,116.0,116.0,116.0,116.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,9,6.0,54.0,85.5,32.0,122.5,0.0,0.2,0.0,,
PICCCVポートセンター,1,10,4.0,79.5,98.0,70.0,107.5,0.0,0.2,0.2,,
PICCCVポートセンター,1,12,1.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,13,1.0,116.0,116.0,116.0,116.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,8,1.0,341.0,341.0,341.0,341.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,9,4.0,26.0,85.5,0.0,111.5,0.0,0.0,0.0,,
PICCCVポートセンター,2,10,3.0,5.0,57.7,2.5,86.5,0.0,4.7,7.0,,
PICCCVポートセンター,2,12,1.0,118.0,118.0,118.0,118.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,11,1.0,145.0,145.0,145.0,145.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,12,1.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,14,1.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,9,5.0,50.0,86.8,44.0,145.0,0.0,2.6,3.0,,
PICCCVポートセンター,4,10,2.0,74.5,74.5,37.2,111.8,87.0,87.0,130.5,,
PICCCVポートセンター,4,11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
がんゲノム,0,10,1.0,162.0,162.0,162.0,162.0,1.0,1.0,1.0,,
がんゲノム,1,13,1.0,61.0,61.0,61.0,61.0,25.0,25.0,25.0,,
がんゲノム,1,14,4.0,9.0,11.8,5.2,15.5,13.5,13.2,16.0,,
アレルギー科,0,8,5.0,74.0,76.2,64.0,96.0,7.0,5.6,10.0,18.0,17.0
アレルギー科,0,9,9.0,18.0,26.7,10.0,41.0,10.0,10.8,15.0,21.0,33.7
アレルギー科,0,10,8.0,8.5,11.1,4.2,17.2,7.0,7.4,10.0,41.5,68.2
アレルギー科,0,11,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,43.0,43.0
アレルギー科,1,0,2.0,,,,,,,,,
アレルギー科,1,8,16.0,65.5,89.4,35.0,129.2,5.5,5.8,7.0,14.0,43.9
アレルギー科,1,9,22.0,50.5,58.0,18.5,89.0,6.0,8.0,9.0,16.5,30.0
アレルギー科,1,10,10.0,49.5,49.1,25.5,66.2,5.5,8.3,9.2,23.0,35.6
アレルギー科,2,0,1.0,,,,,,,,,
アレルギー科,2,8,8.0,90.0,109.1,53.0,142.2,5.0,5.1,6.2,18.0,68.1
アレルギー科,2,9,11.0,75.0,60.5,18.0,98.0,8.0,12.9,17.0,17.0,52.0
アレルギー科,2,10,3.0,65.0,44.3,33.5,65.5,6.0,6.3,6.5,12.0,18.7
アレルギー科,3,0,3.0,,,,,,,,,
アレルギー科,3,8,19.0,88.0,112.0,78.5,106.5,7.0,7.6,8.0,21.5,39.8
アレルギー科,3,9,16.0,90.0,94.3,83.8,101.2,7.0,6.8,7.2,26.5,38.3
アレルギー科,3,10,7.0,45.0,65.1,33.0,88.5,7.0,6.7,8.0,14.0,13.6
アレルギー科,3,11,1.0,19.0,19.0,19.0,19.0,15.0,15.0,15.0,24.0,24.0
アレルギー科,3,18,1.0,,,,,,,,,
ソーシャルワーカー,0,0,5.0,,,,,,,,,
ソーシャルワーカー,0,8,3.0,188.0,287.7,117.0,408.5,0.0,0.0,0.0,,
ソーシャルワーカー,0,9,1.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,10,4.0,89.0,198.0,80.0,261.5,0.0,0.0,0.0,,
ソーシャルワーカー,0,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,0,6.0,,,,,,,,,
ソーシャルワーカー,1,8,1.0,186.0,186.0,186.0,186.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,10,4.0,278.0,185.3,139.0,278.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,12,5.0,0.0,84.2,0.0,2.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,14,1.0,,,,,,,,,
ソーシャルワーカー,1,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,1,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,0,13.0,,,,,,,,,
ソーシャルワーカー,2,10,4.0,0.0,47.8,0.0,47.8,0.0,0.0,0.0,,
ソーシャルワーカー,2,11,2.0,110.5,110.5,55.2,165.8,0.0,0.0,0.0,,
ソーシャルワーカー,2,12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,13,1.0,74.0,74.0,74.0,74.0,0.0,0.0,0.0,,
ソーシャルワーカー,2,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,3,0,10.0,,,,,,,,,
ソーシャルワーカー,3,9,3.0,156.0,158.3,78.0,237.5,0.0,0.0,0.0,,
ソーシャルワーカー,3,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,3,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
