診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2026-02,43,0,43,0,0,0,0.0,0.0,0.0,0.0
がんゲノム,2026-02,6,0,6,0,0,0,0.0,0.0,0.0,0.0
アレルギー科,2026-02,143,1,142,1,1,6,0.7,100.0,0.7,4.2
ソーシャルワーカー,2026-02,126,0,126,0,0,46,0.0,0.0,0.0,36.51
メンタルケア科,2026-02,321,0,321,0,0,29,0.0,0.0,0.0,9.03
リウマチ膠原病内科,2026-02,1053,17,1036,15,15,31,1.61,88.24,1.42,2.94
一般消化器外科,2026-02,1073,60,1013,53,58,96,5.59,88.33,5.41,8.95
中央処置室,2026-02,159,0,159,0,0,5,0.0,0.0,0.0,3.14
乳腺外科,2026-02,1441,46,1395,36,38,61,3.19,78.26,2.64,4.23
健診センター,2026-02,62,0,62,0,0,11,0.0,0.0,0.0,17.74
入退院支援センター,2026-02,656,0,656,0,0,0,0.0,0.0,0.0,0.0
内科,2026-02,375,233,142,20,34,0,62.13,8.58,9.07,0.0
呼吸器内科,2026-02,1142,62,1080,53,54,49,5.43,85.48,4.73,4.29
呼吸器外科,2026-02,166,6,160,5,5,7,3.61,83.33,3.01,4.22
外来手術室,2026-02,462,0,462,0,0,43,0.0,0.0,0.0,9.31
小児科,2026-02,476,86,390,51,52,31,18.07,59.3,10.92,6.51
形成外科,2026-02,468,36,432,30,30,26,7.69,83.33,6.41,5.56
循環器内科,2026-02,1396,116,1280,97,105,67,8.31,83.62,7.52,4.8
心理検査,2026-02,1,0,1,0,0,0,0.0,0.0,0.0,0.0
心臓血管外科,2026-02,233,2,231,1,1,8,0.86,50.0,0.43,3.43
感染症,2026-02,25,0,25,0,0,3,0.0,0.0,0.0,12.0
放射線治療科,2026-02,789,5,784,5,5,32,0.63,100.0,0.63,4.06
放射線診断科,2026-02,1,0,1,0,0,1,0.0,0.0,0.0,100.0
救急科,2026-02,332,224,108,8,13,3,67.47,3.57,3.92,0.9
整形外科,2026-02,1634,196,1438,169,173,91,12.0,86.22,10.59,5.57
歯科口腔外科,2026-02,1012,195,817,129,129,37,19.27,66.15,12.75,3.66
治験外来,2026-02,1,0,1,0,0,0,0.0,0.0,0.0,0.0
泌尿器科,2026-02,3030,98,2932,80,83,176,3.23,81.63,2.74,5.81
消化器内科,2026-02,1443,140,1303,129,131,65,9.7,92.14,9.08,4.5
産婦人科,2026-02,1863,147,1716,105,106,216,7.89,71.43,5.69,11.59
皮膚・排泄ケア,2026-02,35,0,35,0,0,26,0.0,0.0,0.0,74.29
皮膚科,2026-02,1140,110,1030,87,89,50,9.65,79.09,7.81,4.39
看護部,2026-02,103,0,103,0,0,8,0.0,0.0,0.0,7.77
眼科,2026-02,3237,193,3044,166,166,120,5.96,86.01,5.13,3.71
禁煙外来,2026-02,8,1,7,1,1,2,12.5,100.0,12.5,25.0
総合内科,2026-02,1078,173,905,93,95,34,16.05,53.76,8.81,3.15
緩和ケアチーム,2026-02,30,0,30,0,0,17,0.0,0.0,0.0,56.67
耳鼻咽喉科,2026-02,1580,155,1425,118,119,52,9.81,76.13,7.53,3.29
脳神経内科,2026-02,467,44,423,40,41,10,9.42,90.91,8.78,2.14
脳神経外科,2026-02,191,25,166,14,16,6,13.09,56.0,8.38,3.14
腎内科,2026-02,742,18,724,18,18,29,2.43,100.0,2.43,3.91
臨床工学技師,2026-02,202,0,202,0,0,157,0.0,0.0,0.0,77.72
臨床腫瘍科,2026-02,168,0,168,0,0,9,0.0,0.0,0.0,5.36
薬剤部,2026-02,134,0,134,0,0,0,0.0,0.0,0.0,0.0
血液内科,2026-02,805,22,783,20,20,29,2.73,90.91,2.48,3.6
退院支援,2026-02,132,0,132,0,0,54,0.0,0.0,0.0,40.91
通院治療センター,2026-02,33,0,33,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2026-02,41,2,39,2,2,2,4.88,100.0,4.88,4.88
骨転移カンファレンス,2026-02,7,0,7,0,0,3,0.0,0.0,0.0,42.86
麻酔科,2026-02,374,0,374,0,0,1,0.0,0.0,0.0,0.27
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-02,99,1,98,1,1,6,1.01,100.0,1.01,6.06
