診療科名,予約担当者匿名ID,区分,曜日,bin_idx,bin_label,出勤日数,該当日数,出勤頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,DR_XX009,全体,1,6,11:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,全体,1,8,12:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,全体,2,5,10:30,1,4,0.25,1,14,0.25,3.5
PICCCVポートセンター,DR_XX009,全体,4,4,10:00,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,DR_XX009,全体,4,8,12:00,1,4,0.25,1,7,0.25,1.8
PICCCVポートセンター,DR_XX009,全体,4,9,12:30,2,4,0.5,2,11,0.5,2.8
PICCCVポートセンター,DR_XX009,全体,4,10,13:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,全体,4,11,13:30,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,全体,4,12,14:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,全体,4,13,14:30,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,全体,4,14,15:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,全体,4,15,15:30,1,4,0.25,1,18,0.25,4.5
PICCCVポートセンター,DR_XX009,再診,1,6,11:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,再診,1,8,12:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,再診,2,5,10:30,1,4,0.25,1,14,0.25,3.5
PICCCVポートセンター,DR_XX009,再診,4,4,10:00,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,DR_XX009,再診,4,8,12:00,1,4,0.25,1,7,0.25,1.8
PICCCVポートセンター,DR_XX009,再診,4,9,12:30,2,4,0.5,2,11,0.5,2.8
PICCCVポートセンター,DR_XX009,再診,4,10,13:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,再診,4,11,13:30,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,再診,4,12,14:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,再診,4,13,14:30,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,再診,4,14,15:00,1,4,0.25,1,30,0.25,7.5
PICCCVポートセンター,DR_XX009,再診,4,15,15:30,1,4,0.25,1,18,0.25,4.5
PICCCVポートセンター,DR_XX009,薬再診,1,6,11:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,薬再診,1,8,12:00,1,4,0.25,1,2,0.25,0.5
