診療科名,予約担当者匿名ID,曜日,初再診区分,紹介状有無,件数
PICCCVポートセンター,DR_XX009,0,再診,紹介状無し,4
PICCCVポートセンター,DR_XX009,1,再診,紹介状無し,13
PICCCVポートセンター,DR_XX009,2,再診,紹介状無し,9
PICCCVポートセンター,DR_XX009,3,再診,紹介状無し,7
PICCCVポートセンター,DR_XX009,4,再診,紹介状無し,10
がんゲノム,DR_ON001,0,再診,紹介状無し,1
がんゲノム,DR_ON001,1,再診,紹介状無し,5
アレルギー科,DR_AL001,2,再診,紹介状無し,23
アレルギー科,DR_AL002,3,再診,紹介状無し,47
アレルギー科,DR_AL003,1,再診,紹介状無し,1
アレルギー科,DR_RS2003,1,再診,紹介状無し,49
アレルギー科,DR_RS2005,0,再診,紹介状無し,22
アレルギー科,DR_RS2005,0,初診,紹介状あり,1
ソーシャルワーカー,DR_XX001,0,再診,紹介状無し,26
ソーシャルワーカー,DR_XX001,1,再診,紹介状無し,27
ソーシャルワーカー,DR_XX001,2,再診,紹介状無し,23
ソーシャルワーカー,DR_XX001,3,再診,紹介状無し,21
ソーシャルワーカー,DR_XX001,4,再診,紹介状無し,28
ソーシャルワーカー,DR_XX031,2,再診,紹介状無し,1
メンタルケア科,DR_MN001,0,再診,紹介状無し,8
メンタルケア科,DR_MN001,2,再診,紹介状無し,110
メンタルケア科,DR_MN002,0,再診,紹介状無し,15
メンタルケア科,DR_MN002,1,再診,紹介状無し,13
メンタルケア科,DR_MN002,2,再診,紹介状無し,11
メンタルケア科,DR_MN002,3,再診,紹介状無し,21
メンタルケア科,DR_MN002,4,再診,紹介状無し,15
メンタルケア科,DR_MN004,0,再診,紹介状無し,54
メンタルケア科,DR_MN004,3,再診,紹介状無し,7
メンタルケア科,DR_MN005,2,再診,紹介状無し,5
メンタルケア科,DR_MN005,3,再診,紹介状無し,4
メンタルケア科,DR_MN005,4,再診,紹介状無し,2
メンタルケア科,DR_MN006,2,再診,紹介状無し,1
メンタルケア科,DR_MN007,3,再診,紹介状無し,1
メンタルケア科,DR_MN008,0,再診,紹介状無し,2
メンタルケア科,DR_MN008,1,再診,紹介状無し,1
メンタルケア科,DR_MN008,4,再診,紹介状無し,1
メンタルケア科,DR_MN009,1,再診,紹介状無し,42
メンタルケア科,DR_MN009,4,再診,紹介状無し,7
メンタルケア科,DR_MN011,3,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH001,2,再診,紹介状無し,37
リウマチ膠原病内科,DR_RH002,2,再診,紹介状無し,38
リウマチ膠原病内科,DR_RH002,2,初診,紹介状あり,1
リウマチ膠原病内科,DR_RH003,1,再診,紹介状無し,100
リウマチ膠原病内科,DR_RH003,1,初診,紹介状あり,1
リウマチ膠原病内科,DR_RH003,4,再診,紹介状無し,76
リウマチ膠原病内科,DR_RH004,0,再診,紹介状無し,49
リウマチ膠原病内科,DR_RH004,3,再診,紹介状無し,49
リウマチ膠原病内科,DR_RH005,0,再診,紹介状無し,8
リウマチ膠原病内科,DR_RH005,1,再診,紹介状無し,24
リウマチ膠原病内科,DR_RH005,2,再診,紹介状無し,7
リウマチ膠原病内科,DR_RH005,3,再診,紹介状無し,5
リウマチ膠原病内科,DR_RH005,4,再診,紹介状無し,12
リウマチ膠原病内科,DR_RH006,0,再診,紹介状無し,45
リウマチ膠原病内科,DR_RH006,0,初診,紹介状あり,2
リウマチ膠原病内科,DR_RH006,3,再診,紹介状無し,59
リウマチ膠原病内科,DR_RH006,4,再診,紹介状無し,66
リウマチ膠原病内科,DR_RH007,0,再診,紹介状無し,8
リウマチ膠原病内科,DR_RH007,0,初診,紹介状無し,1
