診療科名,予約名称,区分,曜日,bin_idx,bin_label,稼働日数,該当日数,稼働頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,SL_0009,全体,0,15,15:30,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,全体,1,14,15:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,2,2,09:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,全体,2,3,09:30,1,4,0.25,1,19,0.25,4.8
PICCCVポートセンター,SL_0009,全体,2,11,13:30,1,4,0.25,1,8,0.25,2.0
PICCCVポートセンター,SL_0009,全体,3,11,13:30,1,4,0.25,1,11,0.25,2.8
PICCCVポートセンター,SL_0009,全体,4,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,4,13,14:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,再診,0,15,15:30,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,再診,1,14,15:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,2,2,09:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,再診,2,3,09:30,1,4,0.25,1,19,0.25,4.8
PICCCVポートセンター,SL_0009,再診,2,11,13:30,1,4,0.25,1,8,0.25,2.0
PICCCVポートセンター,SL_0009,再診,3,11,13:30,1,4,0.25,1,11,0.25,2.8
PICCCVポートセンター,SL_0009,再診,4,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,4,13,14:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,薬再診,0,15,15:30,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,薬再診,1,14,15:00,1,4,0.25,1,2,0.25,0.5
がんゲノム,SL_0088,全体,0,11,13:30,1,4,0.25,1,5,0.25,1.2
がんゲノム,SL_0088,全体,0,12,14:00,1,4,0.25,1,27,0.25,6.8
がんゲノム,SL_0088,全体,1,4,10:00,1,4,0.25,1,4,0.25,1.0
がんゲノム,SL_0088,全体,1,5,10:30,1,4,0.25,1,6,0.25,1.5
がんゲノム,SL_0088,全体,1,12,14:00,2,4,0.5,2,55,0.5,13.8
がんゲノム,SL_0088,全体,1,13,14:30,4,4,1.0,6,69,1.5,17.2
がんゲノム,SL_0088,全体,1,14,15:00,2,4,0.5,2,28,0.5,7.0
がんゲノム,SL_0088,再診,0,11,13:30,1,4,0.25,1,5,0.25,1.2
がんゲノム,SL_0088,再診,0,12,14:00,1,4,0.25,1,27,0.25,6.8
がんゲノム,SL_0088,再診,1,4,10:00,1,4,0.25,1,4,0.25,1.0
がんゲノム,SL_0088,再診,1,5,10:30,1,4,0.25,1,6,0.25,1.5
がんゲノム,SL_0088,再診,1,12,14:00,2,4,0.5,2,55,0.5,13.8
がんゲノム,SL_0088,再診,1,13,14:30,4,4,1.0,6,69,1.5,17.2
がんゲノム,SL_0088,再診,1,14,15:00,2,4,0.5,2,28,0.5,7.0
アレルギー科,SL_0009,全体,0,7,11:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0009,全体,0,17,16:30,1,4,0.25,1,2,0.25,0.5
アレルギー科,SL_0009,全体,3,6,11:00,1,4,0.25,1,10,0.25,2.5
アレルギー科,SL_0009,全体,3,7,11:30,1,4,0.25,1,1,0.25,0.2
アレルギー科,SL_0009,再診,0,7,11:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0009,再診,0,17,16:30,1,4,0.25,1,2,0.25,0.5
アレルギー科,SL_0009,再診,3,6,11:00,1,4,0.25,1,10,0.25,2.5
アレルギー科,SL_0009,再診,3,7,11:30,1,4,0.25,1,1,0.25,0.2
アレルギー科,SL_0009,薬再診,0,7,11:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0009,薬再診,0,17,16:30,1,4,0.25,1,2,0.25,0.5
アレルギー科,SL_0033,全体,2,3,09:30,3,4,0.75,6,50,1.5,12.5
アレルギー科,SL_0033,全体,2,4,10:00,4,4,1.0,10,74,2.5,18.5
アレルギー科,SL_0033,全体,2,5,10:30,4,4,1.0,11,98,2.75,24.5
アレルギー科,SL_0033,全体,2,6,11:00,4,4,1.0,6,48,1.5,12.0
アレルギー科,SL_0033,全体,2,7,11:30,2,4,0.5,3,19,0.75,4.8
アレルギー科,SL_0033,全体,2,8,12:00,1,4,0.25,1,10,0.25,2.5
アレルギー科,SL_0033,再診,2,3,09:30,3,4,0.75,6,50,1.5,12.5
アレルギー科,SL_0033,再診,2,4,10:00,4,4,1.0,10,74,2.5,18.5
アレルギー科,SL_0033,再診,2,5,10:30,4,4,1.0,11,98,2.75,24.5
アレルギー科,SL_0033,再診,2,6,11:00,4,4,1.0,6,48,1.5,12.0
アレルギー科,SL_0033,再診,2,7,11:30,2,4,0.5,3,19,0.75,4.8
アレルギー科,SL_0033,再診,2,8,12:00,1,4,0.25,1,10,0.25,2.5
アレルギー科,SL_0033,薬再診,2,4,10:00,1,4,0.25,1,3,0.25,0.8
アレルギー科,SL_0033,薬再診,2,5,10:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0061,全体,1,2,09:00,3,4,0.75,5,48,1.25,12.0
アレルギー科,SL_0061,全体,1,3,09:30,3,4,0.75,10,65,2.5,16.2
アレルギー科,SL_0061,全体,1,4,10:00,3,4,0.75,9,48,2.25,12.0
アレルギー科,SL_0061,全体,1,5,10:30,3,4,0.75,7,40,1.75,10.0
アレルギー科,SL_0061,全体,1,6,11:00,3,4,0.75,5,35,1.25,8.8
アレルギー科,SL_0061,全体,1,7,11:30,3,4,0.75,3,18,0.75,4.5
アレルギー科,SL_0061,再診,1,2,09:00,3,4,0.75,5,48,1.25,12.0
アレルギー科,SL_0061,再診,1,3,09:30,3,4,0.75,10,65,2.5,16.2
アレルギー科,SL_0061,再診,1,4,10:00,3,4,0.75,9,48,2.25,12.0
アレルギー科,SL_0061,再診,1,5,10:30,3,4,0.75,7,40,1.75,10.0
アレルギー科,SL_0061,再診,1,6,11:00,3,4,0.75,5,35,1.25,8.8
アレルギー科,SL_0061,再診,1,7,11:30,3,4,0.75,3,18,0.75,4.5
アレルギー科,SL_0061,薬再診,1,2,09:00,2,4,0.5,2,8,0.5,2.0
アレルギー科,SL_0061,薬再診,1,3,09:30,1,4,0.25,3,11,0.75,2.8
アレルギー科,SL_0061,薬再診,1,4,10:00,2,4,0.5,3,14,0.75,3.5
アレルギー科,SL_0061,薬再診,1,5,10:30,1,4,0.25,1,3,0.25,0.8
アレルギー科,SL_0061,薬再診,1,6,11:00,1,4,0.25,1,5,0.25,1.2
アレルギー科,SL_0061,薬再診,1,7,11:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0100,全体,0,2,09:00,2,4,0.5,4,26,1.0,6.5
アレルギー科,SL_0100,全体,0,3,09:30,2,4,0.5,4,16,1.0,4.0
アレルギー科,SL_0100,全体,0,4,10:00,2,4,0.5,5,53,1.25,13.2
アレルギー科,SL_0100,全体,0,5,10:30,2,4,0.5,7,53,1.75,13.2
アレルギー科,SL_0100,全体,0,6,11:00,2,4,0.5,5,37,1.25,9.2
アレルギー科,SL_0100,全体,0,7,11:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0100,再診,0,2,09:00,2,4,0.5,4,26,1.0,6.5
アレルギー科,SL_0100,再診,0,3,09:30,2,4,0.5,4,16,1.0,4.0
アレルギー科,SL_0100,再診,0,4,10:00,2,4,0.5,5,53,1.25,13.2
アレルギー科,SL_0100,再診,0,5,10:30,2,4,0.5,7,53,1.75,13.2
アレルギー科,SL_0100,再診,0,6,11:00,2,4,0.5,5,37,1.25,9.2
アレルギー科,SL_0100,再診,0,7,11:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0100,薬再診,0,6,11:00,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0189,全体,3,3,09:30,4,4,1.0,8,66,2.0,16.5
アレルギー科,SL_0189,全体,3,4,10:00,4,4,1.0,9,48,2.25,12.0
アレルギー科,SL_0189,全体,3,5,10:30,4,4,1.0,9,59,2.25,14.8
アレルギー科,SL_0189,全体,3,6,11:00,2,4,0.5,6,46,1.5,11.5
アレルギー科,SL_0189,全体,3,7,11:30,3,4,0.75,6,52,1.5,13.0
アレルギー科,SL_0189,全体,3,8,12:00,1,4,0.25,1,6,0.25,1.5
アレルギー科,SL_0189,再診,3,3,09:30,4,4,1.0,8,66,2.0,16.5
アレルギー科,SL_0189,再診,3,4,10:00,4,4,1.0,9,48,2.25,12.0
アレルギー科,SL_0189,再診,3,5,10:30,4,4,1.0,9,59,2.25,14.8
アレルギー科,SL_0189,再診,3,6,11:00,2,4,0.5,6,46,1.5,11.5
アレルギー科,SL_0189,再診,3,7,11:30,3,4,0.75,6,52,1.5,13.0
アレルギー科,SL_0189,再診,3,8,12:00,1,4,0.25,1,6,0.25,1.5
アレルギー科,SL_0189,薬再診,3,3,09:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0189,薬再診,3,5,10:30,1,4,0.25,1,5,0.25,1.2
アレルギー科,SL_0189,薬再診,3,6,11:00,1,4,0.25,1,1,0.25,0.2
アレルギー科,SL_0189,薬再診,3,7,11:30,1,4,0.25,2,6,0.5,1.5
アレルギー科,SL_0361,全体,1,3,09:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0361,全体,1,4,10:00,1,4,0.25,1,6,0.25,1.5
アレルギー科,SL_0361,全体,1,6,11:00,1,4,0.25,1,7,0.25,1.8
アレルギー科,SL_0361,全体,1,7,11:30,1,4,0.25,1,7,0.25,1.8
アレルギー科,SL_0361,再診,1,3,09:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0361,再診,1,4,10:00,1,4,0.25,1,6,0.25,1.5
アレルギー科,SL_0361,再診,1,6,11:00,1,4,0.25,1,7,0.25,1.8
アレルギー科,SL_0361,再診,1,7,11:30,1,4,0.25,1,7,0.25,1.8
アレルギー科,SL_0361,薬再診,1,3,09:30,1,4,0.25,1,4,0.25,1.0
