診療科名,曜日,受付h,件数,待_中央値,待_平均,待_Q1,待_Q3,診察_中央値,診察_平均,診察_Q3,会計_中央値,会計_平均
PICCCVポートセンター,0,8,1.0,349.0,349.0,349.0,349.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,10,3.0,203.0,148.3,101.5,222.5,0.0,0.0,0.0,,
PICCCVポートセンター,0,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,12,2.0,68.0,68.0,34.0,102.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,15,1.0,14.0,14.0,14.0,14.0,2.0,2.0,2.0,,
PICCCVポートセンター,1,8,2.0,78.0,78.0,74.0,82.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,10,3.0,48.0,127.7,41.0,174.5,0.0,0.0,0.0,,
PICCCVポートセンター,1,11,4.0,0.0,52.0,0.0,52.0,0.0,0.5,0.5,,
PICCCVポートセンター,1,12,1.0,216.0,216.0,216.0,216.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,15,1.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,9,4.0,155.5,141.2,72.5,224.2,0.0,5.0,5.0,,
PICCCVポートセンター,2,10,1.0,170.0,170.0,170.0,170.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,12,1.0,191.0,191.0,191.0,191.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,13,2.0,1.5,1.5,0.8,2.2,3.5,3.5,5.2,,
PICCCVポートセンター,3,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,8,1.0,98.0,98.0,98.0,98.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,9,5.0,63.0,132.4,59.0,235.0,0.0,2.0,0.0,,
PICCCVポートセンター,3,10,5.0,0.0,17.8,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,13,1.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,9,2.0,99.0,99.0,90.0,108.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,14,1.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,,
PICCCVポートセンター,4,16,1.0,,,,,,,,,
がんゲノム,0,13,1.0,17.0,17.0,17.0,17.0,32.0,32.0,32.0,,
がんゲノム,0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
