部屋番号,曜日,受付_30min,診療科名,初再診区分,件数
,0,00:00,ソーシャルワーカー,再診,4
,0,00:00,メンタルケア科,再診,1
,0,00:00,リウマチ膠原病内科,再診,1
,0,00:00,一般消化器外科,再診,10
,0,00:00,乳腺外科,再診,7
,0,00:00,呼吸器内科,再診,3
,0,00:00,外来手術室,再診,5
,0,00:00,小児科,再診,7
,0,00:00,形成外科,再診,6
,0,00:00,循環器内科,再診,4
,0,00:00,循環器内科,初診,1
,0,00:00,感染症,再診,2
,0,00:00,放射線治療科,再診,5
,0,00:00,整形外科,再診,12
,0,00:00,歯科口腔外科,再診,5
,0,00:00,歯科口腔外科,初診,3
,0,00:00,泌尿器科,再診,21
,0,00:00,泌尿器科,初診,1
,0,00:00,消化器内科,再診,16
,0,00:00,産婦人科,再診,26
,0,00:00,産婦人科,初診,1
,0,00:00,皮膚・排泄ケア,再診,12
,0,00:00,皮膚科,再診,1
,0,00:00,眼科,再診,20
,0,00:00,眼科,初診,1
,0,00:00,総合内科,再診,3
,0,00:00,総合内科,初診,1
,0,00:00,緩和ケアチーム,再診,2
,0,00:00,耳鼻咽喉科,再診,4
,0,00:00,脳神経内科,再診,2
,0,00:00,腎内科,再診,3
,0,00:00,臨床工学技師,再診,24
,0,00:00,血液内科,再診,1
,0,00:00,退院支援,再診,14
,0,00:00,遺伝診療科,再診,1
,0,00:00,骨転移カンファレンス,再診,2
,0,00:00,ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,再診,1
,0,00:30,リウマチ膠原病内科,再診,1
,0,00:30,内科,再診,2
,0,00:30,小児科,初診,2
,0,01:00,内科,再診,3
,0,01:00,内科,初診,1
,0,01:00,小児科,初診,1
,0,01:30,内科,再診,1
,0,02:30,内科,初診,1
,0,02:30,小児科,初診,1
,0,02:30,産婦人科,再診,1
,0,03:00,循環器内科,再診,1
,0,03:00,脳神経内科,再診,1
,0,03:30,小児科,初診,1
,0,03:30,循環器内科,再診,1
,0,04:00,内科,初診,1
,0,04:00,呼吸器内科,再診,1
,0,04:30,内科,再診,1
,0,04:30,小児科,初診,1
,0,04:30,循環器内科,初診,1
,0,04:30,消化器内科,再診,1
,0,05:30,内科,再診,2
,0,05:30,小児科,初診,1
,0,06:00,内科,再診,2
,0,06:00,救急科,初診,1
,0,06:30,内科,再診,1
,0,06:30,内科,初診,2
,0,06:30,整形外科,初診,1
,0,06:30,産婦人科,初診,1
,0,07:00,内科,初診,1
,0,07:00,小児科,再診,2
,0,07:30,メンタルケア科,再診,1
,0,07:30,中央処置室,再診,1
,0,07:30,呼吸器内科,再診,2
,0,07:30,循環器内科,再診,1
,0,07:30,救急科,初診,2
,0,07:30,脳神経内科,再診,1
,0,07:30,腎内科,再診,2
,0,07:30,血液内科,再診,3
,0,07:30,退院支援,再診,1
,0,07:30,通院治療センター,再診,1
,0,08:00,アレルギー科,再診,2
,0,08:00,メンタルケア科,再診,1
,0,08:00,リウマチ膠原病内科,再診,19
,0,08:00,一般消化器外科,再診,9
,0,08:00,乳腺外科,再診,17
,0,08:00,入退院支援センター,再診,5
,0,08:00,内科,初診,1
,0,08:00,呼吸器内科,再診,9
,0,08:00,呼吸器外科,再診,5
,0,08:00,外来手術室,再診,15
,0,08:00,小児科,再診,1
,0,08:00,小児科,初診,2
,0,08:00,形成外科,再診,2
,0,08:00,循環器内科,再診,23
,0,08:00,循環器内科,初診,1
,0,08:00,放射線治療科,再診,12
,0,08:00,整形外科,再診,8
,0,08:00,整形外科,初診,1
,0,08:00,歯科口腔外科,再診,4
,0,08:00,歯科口腔外科,初診,2
,0,08:00,泌尿器科,再診,56
,0,08:00,消化器内科,再診,19
,0,08:00,産婦人科,再診,9
,0,08:00,皮膚科,再診,11
,0,08:00,眼科,再診,39
,0,08:00,眼科,初診,4
