診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2025-11,再診,紹介状無し,54
がんゲノム,2025-11,再診,紹介状無し,11
アレルギー科,2025-11,再診,紹介状無し,138
アレルギー科,2025-11,初診,紹介状あり,2
ソーシャルワーカー,2025-11,再診,紹介状無し,111
メンタルケア科,2025-11,再診,紹介状無し,307
メンタルケア科,2025-11,初診,紹介状無し,1
リウマチ膠原病内科,2025-11,再診,紹介状無し,979
リウマチ膠原病内科,2025-11,初診,紹介状あり,16
リウマチ膠原病内科,2025-11,初診,紹介状無し,2
一般消化器外科,2025-11,再診,紹介状あり,5
一般消化器外科,2025-11,再診,紹介状無し,963
一般消化器外科,2025-11,初診,紹介状あり,55
一般消化器外科,2025-11,初診,紹介状無し,9
中央処置室,2025-11,再診,紹介状無し,134
乳腺外科,2025-11,再診,紹介状あり,2
乳腺外科,2025-11,再診,紹介状無し,1385
乳腺外科,2025-11,初診,紹介状あり,45
乳腺外科,2025-11,初診,紹介状無し,8
健診センター,2025-11,再診,紹介状無し,90
入退院支援センター,2025-11,再診,紹介状無し,644
内科,2025-11,再診,紹介状あり,18
内科,2025-11,再診,紹介状無し,154
内科,2025-11,初診,紹介状あり,30
内科,2025-11,初診,紹介状無し,178
呼吸器内科,2025-11,再診,紹介状あり,1
呼吸器内科,2025-11,再診,紹介状無し,1104
呼吸器内科,2025-11,初診,紹介状あり,70
呼吸器内科,2025-11,初診,紹介状無し,8
呼吸器外科,2025-11,再診,紹介状無し,168
呼吸器外科,2025-11,初診,紹介状あり,3
呼吸器外科,2025-11,初診,紹介状無し,1
外来手術室,2025-11,再診,紹介状無し,436
小児科,2025-11,再診,紹介状あり,2
小児科,2025-11,再診,紹介状無し,425
小児科,2025-11,初診,紹介状あり,59
小児科,2025-11,初診,紹介状無し,83
形成外科,2025-11,再診,紹介状無し,397
形成外科,2025-11,初診,紹介状あり,28
形成外科,2025-11,初診,紹介状無し,9
循環器内科,2025-11,再診,紹介状あり,9
循環器内科,2025-11,再診,紹介状無し,1260
循環器内科,2025-11,初診,紹介状あり,98
循環器内科,2025-11,初診,紹介状無し,20
心臓血管外科,2025-11,再診,紹介状無し,195
心臓血管外科,2025-11,初診,紹介状あり,3
感染症,2025-11,再診,紹介状無し,26
放射線治療科,2025-11,再診,紹介状無し,765
放射線治療科,2025-11,初診,紹介状あり,5
放射線治療科,2025-11,初診,紹介状無し,2
放射線診断科,2025-11,再診,紹介状無し,2
救急科,2025-11,再診,紹介状あり,4
救急科,2025-11,再診,紹介状無し,106
救急科,2025-11,初診,紹介状あり,3
救急科,2025-11,初診,紹介状無し,244
整形外科,2025-11,再診,紹介状あり,3
整形外科,2025-11,再診,紹介状無し,1496
整形外科,2025-11,初診,紹介状あり,193
整形外科,2025-11,初診,紹介状無し,21
歯科口腔外科,2025-11,再診,紹介状無し,779
歯科口腔外科,2025-11,初診,紹介状あり,148
歯科口腔外科,2025-11,初診,紹介状無し,64
泌尿器科,2025-11,再診,紹介状あり,3
泌尿器科,2025-11,再診,紹介状無し,3002
泌尿器科,2025-11,初診,紹介状あり,81
泌尿器科,2025-11,初診,紹介状無し,16
消化器内科,2025-11,再診,紹介状あり,3
消化器内科,2025-11,再診,紹介状無し,1372
消化器内科,2025-11,初診,紹介状あり,169
消化器内科,2025-11,初診,紹介状無し,9
産婦人科,2025-11,再診,紹介状あり,1
産婦人科,2025-11,再診,紹介状無し,1691
産婦人科,2025-11,初診,紹介状あり,120
産婦人科,2025-11,初診,紹介状無し,30
皮膚・排泄ケア,2025-11,再診,紹介状無し,66
皮膚科,2025-11,再診,紹介状あり,1
皮膚科,2025-11,再診,紹介状無し,992
皮膚科,2025-11,初診,紹介状あり,72
皮膚科,2025-11,初診,紹介状無し,15
看護部,2025-11,再診,紹介状無し,100
眼科,2025-11,再診,紹介状あり,2
眼科,2025-11,再診,紹介状無し,2934
眼科,2025-11,初診,紹介状あり,178
眼科,2025-11,初診,紹介状無し,16
禁煙外来,2025-11,再診,紹介状無し,6
総合内科,2025-11,再診,紹介状あり,3
総合内科,2025-11,再診,紹介状無し,874
総合内科,2025-11,初診,紹介状あり,118
総合内科,2025-11,初診,紹介状無し,130
緩和ケアチーム,2025-11,再診,紹介状無し,25
耳鼻咽喉科,2025-11,再診,紹介状無し,1495
耳鼻咽喉科,2025-11,初診,紹介状あり,113
耳鼻咽喉科,2025-11,初診,紹介状無し,28
職員健康診断,2025-11,再診,紹介状無し,1281
脳神経内科,2025-11,再診,紹介状あり,2
脳神経内科,2025-11,再診,紹介状無し,411
脳神経内科,2025-11,初診,紹介状あり,38
脳神経外科,2025-11,再診,紹介状あり,1
脳神経外科,2025-11,再診,紹介状無し,183
脳神経外科,2025-11,初診,紹介状あり,19
脳神経外科,2025-11,初診,紹介状無し,10
腎内科,2025-11,再診,紹介状あり,1
腎内科,2025-11,再診,紹介状無し,666
腎内科,2025-11,初診,紹介状あり,26
腎内科,2025-11,初診,紹介状無し,2
臨床工学技師,2025-11,再診,紹介状無し,182
臨床腫瘍科,2025-11,再診,紹介状無し,158
薬剤部,2025-11,再診,紹介状無し,138
血液内科,2025-11,再診,紹介状あり,1
血液内科,2025-11,再診,紹介状無し,709
血液内科,2025-11,初診,紹介状あり,17
血液内科,2025-11,初診,紹介状無し,1
退院支援,2025-11,再診,紹介状無し,132
