診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2025-11,54,0,54,0,0,0,0.0,0.0,0.0,0.0
がんゲノム,2025-11,11,0,11,0,0,2,0.0,0.0,0.0,18.18
アレルギー科,2025-11,140,2,138,2,2,8,1.43,100.0,1.43,5.71
ソーシャルワーカー,2025-11,111,0,111,0,0,22,0.0,0.0,0.0,19.82
メンタルケア科,2025-11,308,1,307,0,0,22,0.32,0.0,0.0,7.14
リウマチ膠原病内科,2025-11,997,18,979,16,16,21,1.81,88.89,1.6,2.11
一般消化器外科,2025-11,1032,64,968,55,60,67,6.2,85.94,5.81,6.49
中央処置室,2025-11,134,0,134,0,0,3,0.0,0.0,0.0,2.24
乳腺外科,2025-11,1440,53,1387,45,47,62,3.68,84.91,3.26,4.31
健診センター,2025-11,90,0,90,0,0,10,0.0,0.0,0.0,11.11
入退院支援センター,2025-11,644,0,644,0,0,0,0.0,0.0,0.0,0.0
内科,2025-11,380,208,172,30,48,0,54.74,14.42,12.63,0.0
呼吸器内科,2025-11,1183,78,1105,70,71,49,6.59,89.74,6.0,4.14
呼吸器外科,2025-11,172,4,168,3,3,5,2.33,75.0,1.74,2.91
外来手術室,2025-11,436,0,436,0,0,33,0.0,0.0,0.0,7.57
小児科,2025-11,569,142,427,59,61,48,24.96,41.55,10.72,8.44
形成外科,2025-11,434,37,397,28,28,37,8.53,75.68,6.45,8.53
循環器内科,2025-11,1387,118,1269,98,107,43,8.51,83.05,7.71,3.1
心臓血管外科,2025-11,198,3,195,3,3,21,1.52,100.0,1.52,10.61
感染症,2025-11,26,0,26,0,0,11,0.0,0.0,0.0,42.31
放射線治療科,2025-11,772,7,765,5,5,25,0.91,71.43,0.65,3.24
放射線診断科,2025-11,2,0,2,0,0,1,0.0,0.0,0.0,50.0
救急科,2025-11,357,247,110,3,7,4,69.19,1.21,1.96,1.12
整形外科,2025-11,1713,214,1499,193,196,81,12.49,90.19,11.44,4.73
歯科口腔外科,2025-11,991,212,779,148,148,43,21.39,69.81,14.93,4.34
泌尿器科,2025-11,3102,97,3005,81,84,164,3.13,83.51,2.71,5.29
消化器内科,2025-11,1553,178,1375,169,172,75,11.46,94.94,11.08,4.83
産婦人科,2025-11,1842,150,1692,120,121,193,8.14,80.0,6.57,10.48
皮膚・排泄ケア,2025-11,66,0,66,0,0,61,0.0,0.0,0.0,92.42
皮膚科,2025-11,1080,87,993,72,73,57,8.06,82.76,6.76,5.28
看護部,2025-11,100,0,100,0,0,3,0.0,0.0,0.0,3.0
眼科,2025-11,3130,194,2936,178,180,119,6.2,91.75,5.75,3.8
禁煙外来,2025-11,6,0,6,0,0,0,0.0,0.0,0.0,0.0
総合内科,2025-11,1125,248,877,118,121,38,22.04,47.58,10.76,3.38
緩和ケアチーム,2025-11,25,0,25,0,0,17,0.0,0.0,0.0,68.0
耳鼻咽喉科,2025-11,1636,141,1495,113,113,69,8.62,80.14,6.91,4.22
職員健康診断,2025-11,1281,0,1281,0,0,1281,0.0,0.0,0.0,100.0
脳神経内科,2025-11,451,38,413,38,40,16,8.43,100.0,8.87,3.55
脳神経外科,2025-11,213,29,184,19,20,6,13.62,65.52,9.39,2.82
腎内科,2025-11,695,28,667,26,27,27,4.03,92.86,3.88,3.88
臨床工学技師,2025-11,182,0,182,0,0,136,0.0,0.0,0.0,74.73
臨床腫瘍科,2025-11,158,0,158,0,0,3,0.0,0.0,0.0,1.9
薬剤部,2025-11,138,0,138,0,0,3,0.0,0.0,0.0,2.17
血液内科,2025-11,728,18,710,17,18,22,2.47,94.44,2.47,3.02
退院支援,2025-11,132,0,132,0,0,68,0.0,0.0,0.0,51.52
通院治療センター,2025-11,43,0,43,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2025-11,65,16,49,4,4,2,24.62,25.0,6.15,3.08
骨転移カンファレンス,2025-11,3,0,3,0,0,2,0.0,0.0,0.0,66.67
麻酔科,2025-11,383,0,383,0,0,3,0.0,0.0,0.0,0.78
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-11,103,0,103,0,0,6,0.0,0.0,0.0,5.83
