診療科名,予約担当者匿名ID,区分,曜日,bin_idx,bin_label,出勤日数,該当日数,出勤頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,DR_XX009,全体,0,15,15:30,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,DR_XX009,全体,1,14,15:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,全体,2,2,09:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,DR_XX009,全体,2,3,09:30,1,4,0.25,1,19,0.25,4.8
PICCCVポートセンター,DR_XX009,全体,2,11,13:30,1,4,0.25,1,8,0.25,2.0
PICCCVポートセンター,DR_XX009,全体,3,11,13:30,1,4,0.25,1,11,0.25,2.8
PICCCVポートセンター,DR_XX009,全体,4,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,全体,4,13,14:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,DR_XX009,再診,0,15,15:30,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,DR_XX009,再診,1,14,15:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,再診,2,2,09:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,DR_XX009,再診,2,3,09:30,1,4,0.25,1,19,0.25,4.8
PICCCVポートセンター,DR_XX009,再診,2,11,13:30,1,4,0.25,1,8,0.25,2.0
PICCCVポートセンター,DR_XX009,再診,3,11,13:30,1,4,0.25,1,11,0.25,2.8
PICCCVポートセンター,DR_XX009,再診,4,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,再診,4,13,14:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,DR_XX009,薬再診,0,15,15:30,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,DR_XX009,薬再診,1,14,15:00,1,4,0.25,1,2,0.25,0.5
がんゲノム,DR_ON001,全体,0,11,13:30,1,4,0.25,1,5,0.25,1.2
がんゲノム,DR_ON001,全体,0,12,14:00,1,4,0.25,1,27,0.25,6.8
がんゲノム,DR_ON001,全体,1,4,10:00,1,4,0.25,1,4,0.25,1.0
がんゲノム,DR_ON001,全体,1,5,10:30,1,4,0.25,1,6,0.25,1.5
がんゲノム,DR_ON001,全体,1,12,14:00,2,4,0.5,2,55,0.5,13.8
がんゲノム,DR_ON001,全体,1,13,14:30,4,4,1.0,6,69,1.5,17.2
がんゲノム,DR_ON001,全体,1,14,15:00,2,4,0.5,2,28,0.5,7.0
