診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2025-11,54,49,0.907,54,1.0,0.0,96.9
がんゲノム,DR_ON001,SL_0088,2025-11,11,1,0.091,11,1.0,25.0,48.3
アレルギー科,DR_RS2003,SL_0061,2025-11,40,11,0.275,40,1.0,6.0,70.7
アレルギー科,DR_AL002,SL_0189,2025-11,36,7,0.194,36,1.0,7.0,67.2
アレルギー科,DR_AL001,SL_0033,2025-11,34,4,0.118,34,1.0,8.0,63.8
アレルギー科,DR_RS2005,SL_0100,2025-11,19,1,0.053,19,1.0,10.0,59.9
アレルギー科,DR_AL001,SL_0736,2025-11,1,1,1.0,1,1.0,0.0,
アレルギー科,DR_AL002,SL_0009,2025-11,1,0,0.0,1,1.0,11.0,
アレルギー科,DR_AL004,SL_0005,2025-11,1,0,0.0,1,1.0,,
アレルギー科,DR_RS2003,SL_0361,2025-11,3,1,0.333,3,1.0,6.0,
アレルギー科,DR_RS2005,SL_0009,2025-11,3,3,1.0,3,1.0,1.0,
ソーシャルワーカー,DR_XX001,SL_0011,2025-11,92,71,0.772,92,1.0,0.0,92.4
ソーシャルワーカー,DR_XX001,SL_0009,2025-11,18,9,0.5,18,1.0,0.0,83.3
ソーシャルワーカー,DR_XX034,SL_0009,2025-11,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN002,SL_0009,2025-11,75,41,0.547,75,1.0,0.5,84.5
メンタルケア科,DR_MN004,SL_0255,2025-11,44,13,0.295,44,1.0,7.0,70.5
メンタルケア科,DR_MN001,SL_0043,2025-11,121,25,0.207,121,1.0,8.0,66.7
メンタルケア科,DR_MN009,SL_0721,2025-11,39,5,0.128,39,1.0,11.0,61.5
メンタルケア科,DR_MN001,SL_0009,2025-11,1,0,0.0,1,1.0,38.0,
メンタルケア科,DR_MN001,SL_0624,2025-11,6,2,0.333,6,1.0,6.0,
メンタルケア科,DR_MN002,SL_0552,2025-11,1,0,0.0,1,1.0,16.0,
メンタルケア科,DR_MN004,SL_0009,2025-11,5,1,0.2,5,1.0,20.0,
メンタルケア科,DR_MN004,SL_0545,2025-11,2,0,0.0,2,1.0,44.0,
メンタルケア科,DR_MN005,SL_0609,2025-11,5,5,1.0,5,1.0,0.0,
メンタルケア科,DR_MN007,SL_0009,2025-11,1,0,0.0,1,1.0,23.0,
メンタルケア科,DR_MN008,SL_0678,2025-11,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN009,SL_0763,2025-11,4,0,0.0,4,1.0,47.0,
メンタルケア科,DR_MN010,SL_0828,2025-11,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN011,SL_0891,2025-11,1,0,0.0,1,1.0,,
リウマチ膠原病内科,DR_RH007,SL_0009,2025-11,35,24,0.686,35,1.0,1.0,88.7
リウマチ膠原病内科,DR_RH005,SL_0156,2025-11,49,25,0.51,49,1.0,0.0,83.7
リウマチ膠原病内科,DR_RH003,SL_0009,2025-11,24,12,0.5,24,1.0,4.5,79.5
リウマチ膠原病内科,DR_RH004,SL_0139,2025-11,95,41,0.432,95,1.0,5.0,76.8
リウマチ膠原病内科,DR_RH010,SL_0222,2025-11,120,40,0.333,120,1.0,5.0,73.5
リウマチ膠原病内科,DR_RH009,SL_0210,2025-11,228,76,0.333,228,1.0,6.0,72.6
リウマチ膠原病内科,DR_RH003,SL_0066,2025-11,110,27,0.245,110,1.0,7.0,68.9
リウマチ膠原病内科,DR_RH006,SL_0174,2025-11,146,17,0.116,146,1.0,10.0,62.0
リウマチ膠原病内科,DR_RH002,SL_0009,2025-11,14,2,0.143,14,1.0,11.5,61.6
リウマチ膠原病内科,DR_RH001,SL_0008,2025-11,39,2,0.051,39,1.0,8.0,61.5
リウマチ膠原病内科,DR_RH002,SL_0014,2025-11,34,3,0.088,34,1.0,10.0,61.1
リウマチ膠原病内科,DR_RH008,SL_0201,2025-11,11,1,0.091,11,1.0,13.0,58.6
リウマチ膠原病内科,DR_RH009,SL_0340,2025-11,11,0,0.0,11,1.0,17.0,52.1
リウマチ膠原病内科,DR_RH002,SL_0682,2025-11,3,0,0.0,3,1.0,33.0,
リウマチ膠原病内科,DR_RH003,SL_0065,2025-11,1,0,0.0,1,1.0,6.0,
リウマチ膠原病内科,DR_RH003,SL_0526,2025-11,4,0,0.0,4,1.0,11.5,
リウマチ膠原病内科,DR_RH004,SL_0009,2025-11,1,1,1.0,1,1.0,0.0,
リウマチ膠原病内科,DR_RH005,SL_0009,2025-11,7,5,0.714,7,1.0,0.0,
リウマチ膠原病内科,DR_RH006,SL_0009,2025-11,6,2,0.333,6,1.0,11.0,
リウマチ膠原病内科,DR_RH006,SL_0611,2025-11,2,0,0.0,2,1.0,21.0,
リウマチ膠原病内科,DR_RH007,SL_0176,2025-11,1,0,0.0,1,1.0,16.0,
リウマチ膠原病内科,DR_RH009,SL_0009,2025-11,9,1,0.111,9,1.0,10.0,
リウマチ膠原病内科,DR_RH010,SL_0009,2025-11,8,8,1.0,8,1.0,0.0,
リウマチ膠原病内科,DR_RH011,SL_0009,2025-11,4,1,0.25,4,1.0,10.5,
リウマチ膠原病内科,DR_RH011,SL_0368,2025-11,8,1,0.125,8,1.0,17.0,
リウマチ膠原病内科,DR_RH012,SL_0005,2025-11,1,0,0.0,1,1.0,,
リウマチ膠原病内科,DR_RH013,SL_0009,2025-11,2,0,0.0,2,1.0,14.5,
リウマチ膠原病内科,DR_RH013,SL_0596,2025-11,4,0,0.0,4,1.0,11.0,
リウマチ膠原病内科,DR_RH014,SL_0926,2025-11,2,0,0.0,2,1.0,24.0,
一般消化器外科,DR_BR005,SL_0516,2025-11,14,12,0.857,14,1.0,0.0,95.2
一般消化器外科,DR_BR005,SL_0009,2025-11,44,36,0.818,44,1.0,0.0,93.9
一般消化器外科,DR_GS011,SL_0009,2025-11,18,12,0.667,18,1.0,0.0,88.9
一般消化器外科,DR_GS006,SL_0202,2025-11,91,51,0.56,91,1.0,4.0,81.9
一般消化器外科,DR_GS001,SL_0022,2025-11,149,68,0.456,149,1.0,5.0,77.6
一般消化器外科,DR_GS002,SL_0085,2025-11,99,45,0.455,98,0.99,5.0,75.9
一般消化器外科,DR_GS004,SL_0109,2025-11,42,18,0.429,42,1.0,6.0,75.8
一般消化器外科,DR_GS016,SL_0770,2025-11,14,5,0.357,14,1.0,8.0,71.7
一般消化器外科,DR_GS008,SL_0229,2025-11,39,11,0.282,39,1.0,7.0,70.1
一般消化器外科,DR_GS009,SL_0374,2025-11,45,12,0.267,45,1.0,10.0,67.0
一般消化器外科,DR_GS005,SL_0194,2025-11,49,7,0.143,49,1.0,8.0,64.6
一般消化器外科,DR_GS003,SL_0103,2025-11,182,19,0.104,181,0.995,9.0,61.6
一般消化器外科,DR_GS003,SL_0280,2025-11,10,1,0.1,10,1.0,12.0,59.7
一般消化器外科,DR_GS015,SL_0715,2025-11,38,0,0.0,38,1.0,10.0,58.1
一般消化器外科,DR_GS001,SL_0009,2025-11,8,7,0.875,8,1.0,0.0,
一般消化器外科,DR_GS001,SL_0021,2025-11,8,0,0.0,8,1.0,23.0,
一般消化器外科,DR_GS002,SL_0009,2025-11,3,3,1.0,3,1.0,0.0,
一般消化器外科,DR_GS002,SL_0568,2025-11,7,0,0.0,7,1.0,18.0,
一般消化器外科,DR_GS003,SL_0009,2025-11,1,1,1.0,1,1.0,1.0,
一般消化器外科,DR_GS003,SL_0102,2025-11,1,0,0.0,1,1.0,12.0,
一般消化器外科,DR_GS004,SL_0009,2025-11,5,3,0.6,5,1.0,1.0,
一般消化器外科,DR_GS004,SL_0353,2025-11,2,1,0.5,2,1.0,7.5,
一般消化器外科,DR_GS005,SL_0009,2025-11,3,3,1.0,3,1.0,0.0,
一般消化器外科,DR_GS006,SL_0009,2025-11,5,3,0.6,5,1.0,0.0,
一般消化器外科,DR_GS006,SL_0501,2025-11,8,2,0.25,8,1.0,16.5,
一般消化器外科,DR_GS007,SL_0219,2025-11,40,0,0.0,40,1.0,,
一般消化器外科,DR_GS008,SL_0009,2025-11,2,2,1.0,2,1.0,1.0,
一般消化器外科,DR_GS008,SL_0491,2025-11,2,1,0.5,2,1.0,10.5,
一般消化器外科,DR_GS009,SL_0009,2025-11,1,0,0.0,1,1.0,7.0,
一般消化器外科,DR_GS009,SL_0613,2025-11,3,0,0.0,3,1.0,31.0,
一般消化器外科,DR_GS011,SL_0422,2025-11,1,0,0.0,1,1.0,7.0,
一般消化器外科,DR_GS012,SL_0009,2025-11,3,3,1.0,3,1.0,0.0,
一般消化器外科,DR_GS012,SL_0443,2025-11,3,3,1.0,3,1.0,0.0,
一般消化器外科,DR_GS013,SL_0005,2025-11,5,0,0.0,5,1.0,,
一般消化器外科,DR_GS014,SL_0009,2025-11,1,0,0.0,1,1.0,6.0,
一般消化器外科,DR_GS014,SL_0523,2025-11,8,4,0.5,6,0.75,7.0,
一般消化器外科,DR_GS015,SL_0009,2025-11,1,0,0.0,1,1.0,9.0,
一般消化器外科,DR_GS015,SL_0724,2025-11,1,0,0.0,1,1.0,15.0,
一般消化器外科,DR_GS015,SL_0739,2025-11,2,0,0.0,2,1.0,12.5,
一般消化器外科,DR_GS016,SL_0009,2025-11,3,1,0.333,2,0.667,33.0,
一般消化器外科,DR_GS016,SL_0753,2025-11,2,1,0.5,2,1.0,18.0,
一般消化器外科,DR_GS017,SL_0863,2025-11,5,3,0.6,5,1.0,3.0,
中央処置室,DR_XX002,SL_0018,2025-11,130,29,0.223,130,1.0,0.0,74.1
中央処置室,DR_XX002,SL_0009,2025-11,4,0,0.0,4,1.0,,
乳腺外科,DR_BR013,SL_0481,2025-11,10,7,0.7,10,1.0,1.5,88.7
乳腺外科,DR_BR006,SL_0175,2025-11,738,529,0.717,737,0.999,3.0,87.8
乳腺外科,DR_BR014,SL_0702,2025-11,268,168,0.627,268,1.0,3.0,85.0
乳腺外科,DR_BR006,SL_0009,2025-11,96,59,0.615,96,1.0,4.0,83.7
乳腺外科,DR_BR014,SL_0009,2025-11,13,7,0.538,13,1.0,3.5,81.6
乳腺外科,DR_BR015,SL_0839,2025-11,83,29,0.349,83,1.0,5.0,74.0
乳腺外科,DR_BR002,SL_0032,2025-11,17,4,0.235,17,1.0,6.5,68.9
乳腺外科,DR_BR008,SL_0241,2025-11,99,13,0.131,99,1.0,7.0,65.1
乳腺外科,DR_BR002,SL_0009,2025-11,1,0,0.0,1,1.0,22.0,
乳腺外科,DR_BR002,SL_0629,2025-11,1,0,0.0,1,1.0,14.0,
乳腺外科,DR_BR005,SL_0009,2025-11,3,2,0.667,3,1.0,0.0,
乳腺外科,DR_BR005,SL_0516,2025-11,4,2,0.5,4,1.0,5.0,
