診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2025-10,再診,紹介状無し,74
がんゲノム,2025-10,再診,紹介状無し,8
アレルギー科,2025-10,再診,紹介状無し,183
アレルギー科,2025-10,初診,紹介状あり,3
ソーシャルワーカー,2025-10,再診,紹介状無し,132
メンタルケア科,2025-10,再診,紹介状無し,378
メンタルケア科,2025-10,初診,紹介状無し,1
リウマチ膠原病内科,2025-10,再診,紹介状無し,1096
リウマチ膠原病内科,2025-10,初診,紹介状あり,28
リウマチ膠原病内科,2025-10,初診,紹介状無し,1
一般消化器外科,2025-10,再診,紹介状あり,2
一般消化器外科,2025-10,再診,紹介状無し,1101
一般消化器外科,2025-10,初診,紹介状あり,44
一般消化器外科,2025-10,初診,紹介状無し,16
中央処置室,2025-10,再診,紹介状無し,149
乳腺外科,2025-10,再診,紹介状無し,1643
乳腺外科,2025-10,初診,紹介状あり,65
乳腺外科,2025-10,初診,紹介状無し,6
健診センター,2025-10,再診,紹介状無し,101
入退院支援センター,2025-10,再診,紹介状無し,742
内科,2025-10,再診,紹介状あり,19
内科,2025-10,再診,紹介状無し,160
内科,2025-10,初診,紹介状あり,21
内科,2025-10,初診,紹介状無し,195
呼吸器内科,2025-10,再診,紹介状あり,2
呼吸器内科,2025-10,再診,紹介状無し,1281
呼吸器内科,2025-10,初診,紹介状あり,75
呼吸器内科,2025-10,初診,紹介状無し,5
呼吸器外科,2025-10,再診,紹介状無し,212
呼吸器外科,2025-10,初診,紹介状あり,7
外来手術室,2025-10,再診,紹介状無し,497
小児科,2025-10,再診,紹介状あり,3
小児科,2025-10,再診,紹介状無し,489
小児科,2025-10,初診,紹介状あり,87
小児科,2025-10,初診,紹介状無し,74
形成外科,2025-10,再診,紹介状無し,535
形成外科,2025-10,初診,紹介状あり,56
形成外科,2025-10,初診,紹介状無し,3
循環器内科,2025-10,再診,紹介状あり,12
循環器内科,2025-10,再診,紹介状無し,1512
循環器内科,2025-10,初診,紹介状あり,113
循環器内科,2025-10,初診,紹介状無し,18
心臓血管外科,2025-10,再診,紹介状無し,206
心臓血管外科,2025-10,初診,紹介状あり,3
心臓血管外科,2025-10,初診,紹介状無し,1
感染症,2025-10,再診,紹介状無し,36
放射線治療科,2025-10,再診,紹介状無し,977
放射線治療科,2025-10,初診,紹介状あり,7
救急科,2025-10,再診,紹介状あり,5
救急科,2025-10,再診,紹介状無し,106
救急科,2025-10,初診,紹介状あり,7
救急科,2025-10,初診,紹介状無し,238
整形外科,2025-10,再診,紹介状あり,3
整形外科,2025-10,再診,紹介状無し,1679
整形外科,2025-10,初診,紹介状あり,203
整形外科,2025-10,初診,紹介状無し,17
歯科口腔外科,2025-10,再診,紹介状無し,896
歯科口腔外科,2025-10,初診,紹介状あり,182
歯科口腔外科,2025-10,初診,紹介状無し,77
治験外来,2025-10,再診,紹介状無し,2
泌尿器科,2025-10,再診,紹介状あり,4
泌尿器科,2025-10,再診,紹介状無し,3541
泌尿器科,2025-10,初診,紹介状あり,105
泌尿器科,2025-10,初診,紹介状無し,31
消化器内科,2025-10,再診,紹介状あり,2
消化器内科,2025-10,再診,紹介状無し,1548
消化器内科,2025-10,初診,紹介状あり,182
消化器内科,2025-10,初診,紹介状無し,12
産婦人科,2025-10,再診,紹介状あり,2
産婦人科,2025-10,再診,紹介状無し,2033
産婦人科,2025-10,初診,紹介状あり,127
産婦人科,2025-10,初診,紹介状無し,27
皮膚・排泄ケア,2025-10,再診,紹介状無し,97
皮膚科,2025-10,再診,紹介状無し,1267
皮膚科,2025-10,初診,紹介状あり,98
皮膚科,2025-10,初診,紹介状無し,25
看護部,2025-10,再診,紹介状無し,119
眼科,2025-10,再診,紹介状あり,3
眼科,2025-10,再診,紹介状無し,3222
眼科,2025-10,初診,紹介状あり,206
眼科,2025-10,初診,紹介状無し,20
禁煙外来,2025-10,再診,紹介状無し,5
禁煙外来,2025-10,初診,紹介状あり,1
総合内科,2025-10,再診,紹介状あり,3
総合内科,2025-10,再診,紹介状無し,1109
総合内科,2025-10,初診,紹介状あり,136
総合内科,2025-10,初診,紹介状無し,91
緩和ケアチーム,2025-10,再診,紹介状無し,40
緩和ケア内科,2025-10,再診,紹介状無し,3
耳鼻咽喉科,2025-10,再診,紹介状あり,1
