診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2025-10,74,67,0.905,74,1.0,0.0,96.8
がんゲノム,DR_ON001,SL_0088,2025-10,8,0,0.0,8,1.0,13.0,
アレルギー科,DR_RS2003,SL_0061,2025-10,45,14,0.311,45,1.0,6.0,72.6
アレルギー科,DR_AL002,SL_0189,2025-10,59,12,0.203,59,1.0,7.0,68.2
アレルギー科,DR_RS2005,SL_0100,2025-10,28,2,0.071,28,1.0,8.5,62.7
アレルギー科,DR_AL001,SL_0033,2025-10,34,3,0.088,34,1.0,10.5,61.8
アレルギー科,DR_AL001,SL_0009,2025-10,2,0,0.0,2,1.0,18.5,
アレルギー科,DR_AL002,SL_0009,2025-10,6,3,0.5,6,1.0,5.5,
アレルギー科,DR_AL003,SL_0009,2025-10,2,1,0.5,2,1.0,3.0,
アレルギー科,DR_AL004,SL_0005,2025-10,2,0,0.0,2,1.0,,
アレルギー科,DR_RS2003,SL_0009,2025-10,1,0,0.0,1,1.0,15.0,
アレルギー科,DR_RS2003,SL_0361,2025-10,2,0,0.0,2,1.0,12.5,
アレルギー科,DR_RS2003,SL_0874,2025-10,1,0,0.0,1,1.0,6.0,
アレルギー科,DR_RS2005,SL_0009,2025-10,1,1,1.0,1,1.0,0.0,
ソーシャルワーカー,DR_XX001,SL_0011,2025-10,116,84,0.724,116,1.0,0.0,90.8
ソーシャルワーカー,DR_XX001,SL_0009,2025-10,16,9,0.562,16,1.0,0.0,85.4
メンタルケア科,DR_MN005,SL_0609,2025-10,10,10,1.0,10,1.0,0.0,100.0
メンタルケア科,DR_MN002,SL_0009,2025-10,79,40,0.506,79,1.0,2.0,82.1
メンタルケア科,DR_MN001,SL_0043,2025-10,148,32,0.216,148,1.0,9.0,67.2
メンタルケア科,DR_MN004,SL_0255,2025-10,56,12,0.214,56,1.0,9.0,67.1
メンタルケア科,DR_MN009,SL_0721,2025-10,49,3,0.061,49,1.0,11.0,60.6
メンタルケア科,DR_MN009,SL_0763,2025-10,10,1,0.1,10,1.0,45.0,36.7
メンタルケア科,DR_MN001,SL_0009,2025-10,2,0,0.0,2,1.0,7.5,
メンタルケア科,DR_MN001,SL_0624,2025-10,6,2,0.333,6,1.0,12.0,
メンタルケア科,DR_MN004,SL_0009,2025-10,3,2,0.667,3,1.0,4.0,
メンタルケア科,DR_MN004,SL_0545,2025-10,3,0,0.0,3,1.0,49.0,
メンタルケア科,DR_MN006,SL_0005,2025-10,4,0,0.0,4,1.0,,
メンタルケア科,DR_MN007,SL_0009,2025-10,3,0,0.0,3,1.0,71.0,
メンタルケア科,DR_MN008,SL_0678,2025-10,2,2,1.0,2,1.0,0.0,
メンタルケア科,DR_MN010,SL_0828,2025-10,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN011,SL_0891,2025-10,2,0,0.0,2,1.0,,
