診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2025-10,74,0,74,0,0,2,0.0,0.0,0.0,2.7
がんゲノム,2025-10,8,0,8,0,0,1,0.0,0.0,0.0,12.5
アレルギー科,2025-10,186,3,183,3,3,7,1.61,100.0,1.61,3.76
ソーシャルワーカー,2025-10,132,0,132,0,0,34,0.0,0.0,0.0,25.76
メンタルケア科,2025-10,379,1,378,0,0,30,0.26,0.0,0.0,7.92
リウマチ膠原病内科,2025-10,1125,29,1096,28,28,35,2.58,96.55,2.49,3.11
一般消化器外科,2025-10,1163,60,1103,44,46,117,5.16,73.33,3.96,10.06
中央処置室,2025-10,149,0,149,0,0,3,0.0,0.0,0.0,2.01
乳腺外科,2025-10,1714,71,1643,65,65,76,4.14,91.55,3.79,4.43
健診センター,2025-10,101,0,101,0,0,11,0.0,0.0,0.0,10.89
入退院支援センター,2025-10,742,0,742,0,0,0,0.0,0.0,0.0,0.0
内科,2025-10,395,216,179,21,40,0,54.68,9.72,10.13,0.0
呼吸器内科,2025-10,1363,80,1283,75,77,61,5.87,93.75,5.65,4.48
呼吸器外科,2025-10,219,7,212,7,7,2,3.2,100.0,3.2,0.91
外来手術室,2025-10,497,0,497,0,0,34,0.0,0.0,0.0,6.84
小児科,2025-10,653,161,492,87,90,47,24.66,54.04,13.78,7.2
形成外科,2025-10,594,59,535,56,56,36,9.93,94.92,9.43,6.06
循環器内科,2025-10,1655,131,1524,113,125,76,7.92,86.26,7.55,4.59
心臓血管外科,2025-10,210,4,206,3,3,12,1.9,75.0,1.43,5.71
感染症,2025-10,36,0,36,0,0,10,0.0,0.0,0.0,27.78
放射線治療科,2025-10,984,7,977,7,7,43,0.71,100.0,0.71,4.37
救急科,2025-10,356,245,111,7,12,5,68.82,2.86,3.37,1.4
整形外科,2025-10,1902,220,1682,203,206,116,11.57,92.27,10.83,6.1
歯科口腔外科,2025-10,1155,259,896,182,182,42,22.42,70.27,15.76,3.64
治験外来,2025-10,2,0,2,0,0,0,0.0,0.0,0.0,0.0
泌尿器科,2025-10,3681,136,3545,105,109,190,3.69,77.21,2.96,5.16
消化器内科,2025-10,1744,194,1550,182,184,64,11.12,93.81,10.55,3.67
産婦人科,2025-10,2189,154,2035,127,129,254,7.04,82.47,5.89,11.6
皮膚・排泄ケア,2025-10,97,0,97,0,0,87,0.0,0.0,0.0,89.69
皮膚科,2025-10,1390,123,1267,98,98,82,8.85,79.67,7.05,5.9
看護部,2025-10,119,0,119,0,0,16,0.0,0.0,0.0,13.45
眼科,2025-10,3451,226,3225,206,209,158,6.55,91.15,6.06,4.58
禁煙外来,2025-10,6,1,5,1,1,2,16.67,100.0,16.67,33.33
総合内科,2025-10,1339,227,1112,136,139,49,16.95,59.91,10.38,3.66
緩和ケアチーム,2025-10,40,0,40,0,0,18,0.0,0.0,0.0,45.0
緩和ケア内科,2025-10,3,0,3,0,0,0,0.0,0.0,0.0,0.0
耳鼻咽喉科,2025-10,1983,201,1782,162,163,100,10.14,80.6,8.22,5.04
脳神経内科,2025-10,611,60,551,58,60,26,9.82,96.67,9.82,4.26
脳神経外科,2025-10,247,24,223,15,15,15,9.72,62.5,6.07,6.07
腎内科,2025-10,822,27,795,24,24,35,3.28,88.89,2.92,4.26
臨床工学技師,2025-10,223,0,223,0,0,175,0.0,0.0,0.0,78.48
臨床腫瘍科,2025-10,183,1,182,1,1,4,0.55,100.0,0.55,2.19
薬剤部,2025-10,160,0,160,0,0,5,0.0,0.0,0.0,3.12
血液内科,2025-10,823,32,791,30,30,21,3.89,93.75,3.65,2.55
退院支援,2025-10,161,0,161,0,0,63,0.0,0.0,0.0,39.13
通院治療センター,2025-10,47,0,47,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2025-10,78,15,63,4,10,3,19.23,26.67,12.82,3.85
骨転移カンファレンス,2025-10,7,0,7,0,0,6,0.0,0.0,0.0,85.71
麻酔科,2025-10,431,0,431,0,0,0,0.0,0.0,0.0,0.0
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-10,94,0,94,0,0,11,0.0,0.0,0.0,11.7
