診療科名,曜日,受付h,件数,待_中央値,待_平均,待_Q1,待_Q3,診察_中央値,診察_平均,診察_Q3,会計_中央値,会計_平均
PICCCVポートセンター,0,8,2.0,244.5,244.5,126.8,362.2,5.0,5.0,7.5,,
PICCCVポートセンター,0,9,1.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,,
PICCCVポートセンター,0,10,1.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,13,1.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,0,1.0,,,,,,,,,
PICCCVポートセンター,1,7,1.0,507.0,507.0,507.0,507.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,9,3.0,70.0,73.0,35.0,109.5,1.0,3.0,4.5,,
PICCCVポートセンター,1,10,2.0,11.0,11.0,5.5,16.5,0.0,0.0,0.0,,
PICCCVポートセンター,1,11,1.0,131.0,131.0,131.0,131.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,12,7.0,0.0,35.1,0.0,51.5,0.0,0.0,0.0,,
PICCCVポートセンター,1,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,7,2.0,151.5,151.5,136.2,166.8,0.5,0.5,0.8,,
PICCCVポートセンター,2,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,9,2.0,30.5,30.5,15.2,45.8,0.0,0.0,0.0,,
PICCCVポートセンター,2,10,3.0,0.0,4.0,0.0,6.0,0.0,16.3,24.5,,
PICCCVポートセンター,2,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,7,1.0,219.0,219.0,219.0,219.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,8,2.0,368.0,368.0,357.0,379.0,2.0,2.0,3.0,,
PICCCVポートセンター,3,9,7.0,103.0,140.7,50.0,210.0,0.0,0.1,0.0,,
PICCCVポートセンター,3,10,4.0,91.0,104.0,43.5,151.5,0.0,0.0,0.0,,
PICCCVポートセンター,3,11,4.0,0.0,31.2,0.0,31.2,0.0,0.2,0.2,,
PICCCVポートセンター,3,13,1.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,0,1.0,,,,,,,,,
PICCCVポートセンター,4,7,3.0,149.0,149.3,145.0,153.5,0.0,0.0,0.0,,
PICCCVポートセンター,4,8,4.0,83.5,88.5,76.2,95.8,1.5,2.0,3.5,,
PICCCVポートセンター,4,9,2.0,63.5,63.5,62.8,64.2,0.0,0.0,0.0,,
PICCCVポートセンター,4,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,12,2.0,135.5,135.5,135.2,135.8,0.0,0.0,0.0,,
PICCCVポートセンター,4,13,1.0,212.0,212.0,212.0,212.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,14,1.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,15,3.0,84.0,75.0,63.5,91.0,0.0,0.0,0.0,,
がんゲノム,1,0,1.0,,,,,,,,,
がんゲノム,1,11,1.0,168.0,168.0,168.0,168.0,22.0,22.0,22.0,,
がんゲノム,1,13,2.0,47.0,47.0,36.0,58.0,25.5,25.5,27.2,,
がんゲノム,1,14,4.0,34.5,31.8,18.8,47.5,8.5,8.8,10.8,,
アレルギー科,0,0,2.0,,,,,,,,,
アレルギー科,0,8,5.0,55.0,51.6,37.0,56.0,8.0,6.4,8.0,10.5,11.0
アレルギー科,0,9,14.0,22.5,22.4,15.0,27.8,8.5,8.4,10.0,25.5,35.9
アレルギー科,0,10,7.0,15.0,18.0,12.5,23.5,10.0,10.6,13.0,24.0,38.4
アレルギー科,0,11,1.0,3.0,3.0,3.0,3.0,8.0,8.0,8.0,21.0,21.0
アレルギー科,1,0,1.0,,,,,,,,,
アレルギー科,1,8,18.0,73.0,71.2,45.5,91.8,6.0,7.9,9.5,34.0,75.9
アレルギー科,1,9,19.0,63.0,55.8,36.0,78.0,7.0,8.4,9.0,19.5,32.1
アレルギー科,1,10,10.0,55.0,53.6,24.5,79.5,11.0,10.1,14.2,54.5,61.6
アレルギー科,1,11,2.0,148.5,148.5,90.2,206.8,4.5,4.5,4.8,27.0,27.0
アレルギー科,1,12,1.0,11.0,11.0,11.0,11.0,18.0,18.0,18.0,21.0,21.0
アレルギー科,2,0,1.0,,,,,,,,,
アレルギー科,2,8,14.0,93.5,102.0,78.0,113.0,11.0,12.4,13.8,18.0,44.6
アレルギー科,2,9,17.0,91.0,77.3,44.0,108.0,8.0,10.1,16.0,75.0,74.2
アレルギー科,2,10,6.0,65.0,63.2,53.2,77.5,11.0,12.8,17.2,16.0,18.7
アレルギー科,3,0,3.0,,,,,,,,,
アレルギー科,3,8,27.0,91.0,99.8,77.5,111.5,8.0,7.6,9.5,16.0,46.0
アレルギー科,3,9,32.0,86.0,98.7,73.8,116.2,7.0,6.4,8.2,24.0,62.8
アレルギー科,3,10,3.0,57.0,57.0,43.0,71.0,8.0,8.0,8.5,39.0,39.0
アレルギー科,3,11,2.0,14.0,14.0,12.5,15.5,13.5,13.5,17.2,334.0,334.0
アレルギー科,3,15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,0,5.0,,,,,,,,,
ソーシャルワーカー,0,8,1.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,9,1.0,218.0,218.0,218.0,218.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,10,2.0,265.5,265.5,216.8,314.2,0.0,0.0,0.0,,
ソーシャルワーカー,0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ソーシャルワーカー,0,15,2.0,3.5,3.5,1.8,5.2,0.0,0.0,0.0,,
