診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,未来院,枠なし予約,1,1
PICCCVポートセンター,未来院,枠なし予約,4,1
PICCCVポートセンター,病院到着,枠なし予約,1,1
PICCCVポートセンター,病院到着,枠なし予約,2,1
PICCCVポートセンター,病院到着,枠なし予約,3,1
PICCCVポートセンター,終了,枠なし予約,0,6
PICCCVポートセンター,終了,枠なし予約,1,17
PICCCVポートセンター,終了,枠なし予約,2,9
PICCCVポートセンター,終了,枠なし予約,3,18
PICCCVポートセンター,終了,枠なし予約,4,19
がんゲノム,未来院,枠あり予約,1,1
がんゲノム,終了,枠あり予約,1,7
アレルギー科,6,枠あり予約,3,1
アレルギー科,未来院,枠あり予約,0,2
アレルギー科,未来院,枠あり予約,1,1
アレルギー科,未来院,枠あり予約,2,1
アレルギー科,未来院,枠あり予約,3,3
アレルギー科,病院到着,枠なし予約,2,1
アレルギー科,終了,枠あり予約,0,26
アレルギー科,終了,枠あり予約,1,48
アレルギー科,終了,枠あり予約,2,34
アレルギー科,終了,枠あり予約,3,58
アレルギー科,終了,枠なし予約,0,1
アレルギー科,終了,枠なし予約,1,2
アレルギー科,終了,枠なし予約,2,2
アレルギー科,終了,枠なし予約,3,6
ソーシャルワーカー,保留,枠あり予約,0,1
ソーシャルワーカー,保留,枠あり予約,2,1
ソーシャルワーカー,保留,枠あり予約,3,1
ソーシャルワーカー,未来院,枠あり予約,0,5
ソーシャルワーカー,未来院,枠あり予約,1,4
ソーシャルワーカー,未来院,枠あり予約,2,7
ソーシャルワーカー,未来院,枠あり予約,3,8
ソーシャルワーカー,未来院,枠あり予約,4,6
ソーシャルワーカー,未来院,枠なし予約,2,1
ソーシャルワーカー,未来院,枠なし予約,3,1
ソーシャルワーカー,未来院,枠なし予約,4,2
ソーシャルワーカー,病院到着,枠あり予約,1,1
ソーシャルワーカー,病院到着,枠あり予約,4,1
ソーシャルワーカー,病院到着,枠なし予約,2,1
ソーシャルワーカー,病院到着,枠なし予約,3,1
ソーシャルワーカー,病院到着,枠なし予約,4,1
ソーシャルワーカー,終了,枠あり予約,0,9
ソーシャルワーカー,終了,枠あり予約,1,18
ソーシャルワーカー,終了,枠あり予約,2,22
ソーシャルワーカー,終了,枠あり予約,3,11
ソーシャルワーカー,終了,枠あり予約,4,21
ソーシャルワーカー,終了,枠なし予約,0,1
ソーシャルワーカー,終了,枠なし予約,1,1
ソーシャルワーカー,終了,枠なし予約,2,1
ソーシャルワーカー,終了,枠なし予約,3,3
ソーシャルワーカー,終了,枠なし予約,4,3
メンタルケア科,6,枠あり予約,1,1
メンタルケア科,未来院,枠あり予約,0,4
メンタルケア科,未来院,枠あり予約,1,3
メンタルケア科,未来院,枠あり予約,2,12
メンタルケア科,未来院,枠あり予約,4,1
メンタルケア科,未来院,枠なし予約,0,2
メンタルケア科,未来院,枠なし予約,2,5
メンタルケア科,未来院,枠なし予約,4,3
メンタルケア科,病院到着,枠あり予約,1,1
メンタルケア科,病院到着,枠あり予約,3,1
メンタルケア科,病院到着,枠あり予約,4,1
メンタルケア科,病院到着,枠なし予約,0,1
メンタルケア科,病院到着,枠なし予約,1,1
メンタルケア科,病院到着,枠なし予約,2,1
メンタルケア科,終了,枠あり予約,0,59
メンタルケア科,終了,枠あり予約,1,47
メンタルケア科,終了,枠あり予約,2,144
メンタルケア科,終了,枠あり予約,3,8
メンタルケア科,終了,枠あり予約,4,10
メンタルケア科,終了,枠なし予約,0,5
メンタルケア科,終了,枠なし予約,1,15
メンタルケア科,終了,枠なし予約,2,17
メンタルケア科,終了,枠なし予約,3,29
メンタルケア科,終了,枠なし予約,4,7
メンタルケア科,診察中,枠なし予約,1,1
リウマチ膠原病内科,未来院,枠あり予約,0,2
リウマチ膠原病内科,未来院,枠あり予約,1,8
リウマチ膠原病内科,未来院,枠あり予約,2,9
リウマチ膠原病内科,未来院,枠あり予約,3,7
リウマチ膠原病内科,未来院,枠あり予約,4,6
リウマチ膠原病内科,未来院,枠なし予約,1,1
リウマチ膠原病内科,未来院,枠なし予約,2,2
リウマチ膠原病内科,病院到着,枠あり予約,1,2
リウマチ膠原病内科,病院到着,枠あり予約,3,1
リウマチ膠原病内科,病院到着,枠なし予約,1,2
リウマチ膠原病内科,病院到着,枠なし予約,3,1
リウマチ膠原病内科,終了,枠あり予約,0,114
リウマチ膠原病内科,終了,枠あり予約,1,156
リウマチ膠原病内科,終了,枠あり予約,2,231
リウマチ膠原病内科,終了,枠あり予約,3,231
リウマチ膠原病内科,終了,枠あり予約,4,237
リウマチ膠原病内科,終了,枠なし予約,0,16
リウマチ膠原病内科,終了,枠なし予約,1,25
リウマチ膠原病内科,終了,枠なし予約,2,28
リウマチ膠原病内科,終了,枠なし予約,3,21
リウマチ膠原病内科,終了,枠なし予約,4,24
リウマチ膠原病内科,診察中,枠なし予約,0,1
一般消化器外科,6,枠あり予約,1,2
一般消化器外科,7,枠あり予約,1,2
一般消化器外科,保留,枠あり予約,3,1
一般消化器外科,未来院,枠あり予約,0,14
一般消化器外科,未来院,枠あり予約,1,22
一般消化器外科,未来院,枠あり予約,2,19
一般消化器外科,未来院,枠あり予約,3,36
一般消化器外科,未来院,枠あり予約,4,14
一般消化器外科,未来院,枠なし予約,0,5
一般消化器外科,未来院,枠なし予約,1,2
一般消化器外科,未来院,枠なし予約,2,1
一般消化器外科,未来院,枠なし予約,3,3
一般消化器外科,未来院,枠なし予約,5,1
一般消化器外科,病院到着,枠あり予約,0,2
一般消化器外科,病院到着,枠あり予約,2,1
一般消化器外科,病院到着,枠あり予約,3,2
一般消化器外科,病院到着,枠あり予約,6,3
一般消化器外科,病院到着,枠なし予約,0,1
