診療科名,予約担当者匿名ID,予約名称,初再診区分,紹介状有無,月,件数
PICCCVポートセンター,DR_XX009,SL_0009,再診,紹介状無し,2025-07,64
がんゲノム,DR_ON001,SL_0088,再診,紹介状無し,2025-07,11
アレルギー科,DR_AL001,SL_0033,再診,紹介状無し,2025-07,40
アレルギー科,DR_AL001,SL_0736,再診,紹介状無し,2025-07,2
アレルギー科,DR_AL002,SL_0009,再診,紹介状無し,2025-07,1
アレルギー科,DR_AL002,SL_0189,再診,紹介状無し,2025-07,65
アレルギー科,DR_AL004,SL_0005,再診,紹介状無し,2025-07,3
アレルギー科,DR_RS2003,SL_0061,再診,紹介状無し,2025-07,44
アレルギー科,DR_RS2003,SL_0361,再診,紹介状無し,2025-07,6
アレルギー科,DR_RS2003,SL_0444,再診,紹介状無し,2025-07,1
アレルギー科,DR_RS2003,SL_0874,再診,紹介状無し,2025-07,2
アレルギー科,DR_RS2005,SL_0009,再診,紹介状無し,2025-07,1
アレルギー科,DR_RS2005,SL_0100,再診,紹介状無し,2025-07,21
ソーシャルワーカー,DR_XX001,SL_0009,再診,紹介状無し,2025-07,34
ソーシャルワーカー,DR_XX001,SL_0011,再診,紹介状無し,2025-07,114
ソーシャルワーカー,DR_XX031,SL_0767,再診,紹介状無し,2025-07,1
メンタルケア科,DR_MN001,SL_0043,再診,紹介状無し,2025-07,141
メンタルケア科,DR_MN001,SL_0624,再診,紹介状無し,2025-07,8
メンタルケア科,DR_MN002,SL_0009,再診,紹介状無し,2025-07,107
メンタルケア科,DR_MN002,SL_0552,再診,紹介状無し,2025-07,2
メンタルケア科,DR_MN004,SL_0009,再診,紹介状無し,2025-07,7
メンタルケア科,DR_MN004,SL_0255,再診,紹介状無し,2025-07,49
メンタルケア科,DR_MN004,SL_0545,再診,紹介状無し,2025-07,3
メンタルケア科,DR_MN005,SL_0609,再診,紹介状無し,2025-07,13
メンタルケア科,DR_MN006,SL_0005,再診,紹介状無し,2025-07,1
メンタルケア科,DR_MN007,SL_0951,再診,紹介状無し,2025-07,1
メンタルケア科,DR_MN008,SL_0678,再診,紹介状無し,2025-07,1
メンタルケア科,DR_MN009,SL_0721,再診,紹介状無し,2025-07,42
メンタルケア科,DR_MN009,SL_0763,再診,紹介状無し,2025-07,6
メンタルケア科,DR_MN010,SL_0828,再診,紹介状無し,2025-07,1
メンタルケア科,DR_MN011,SL_0891,再診,紹介状無し,2025-07,1
メンタルケア科,DR_MN013,SL_0009,再診,紹介状無し,2025-07,1
リウマチ膠原病内科,DR_RH001,SL_0008,再診,紹介状無し,2025-07,35
リウマチ膠原病内科,DR_RH002,SL_0009,再診,紹介状無し,2025-07,3
リウマチ膠原病内科,DR_RH002,SL_0014,再診,紹介状無し,2025-07,26
リウマチ膠原病内科,DR_RH002,SL_0426,初診,紹介状あり,2025-07,7
リウマチ膠原病内科,DR_RH002,SL_0682,再診,紹介状無し,2025-07,2
リウマチ膠原病内科,DR_RH003,SL_0009,再診,紹介状無し,2025-07,19
リウマチ膠原病内科,DR_RH003,SL_0065,初診,紹介状あり,2025-07,5
リウマチ膠原病内科,DR_RH003,SL_0066,再診,紹介状無し,2025-07,108
リウマチ膠原病内科,DR_RH003,SL_0526,再診,紹介状無し,2025-07,3
リウマチ膠原病内科,DR_RH003,SL_0768,初診,紹介状あり,2025-07,2
リウマチ膠原病内科,DR_RH004,SL_0009,再診,紹介状無し,2025-07,4
リウマチ膠原病内科,DR_RH004,SL_0139,再診,紹介状無し,2025-07,129
リウマチ膠原病内科,DR_RH004,SL_0139,初診,紹介状あり,2025-07,1
リウマチ膠原病内科,DR_RH005,SL_0009,再診,紹介状無し,2025-07,5
リウマチ膠原病内科,DR_RH005,SL_0156,再診,紹介状無し,2025-07,25
リウマチ膠原病内科,DR_RH006,SL_0009,再診,紹介状無し,2025-07,4
リウマチ膠原病内科,DR_RH006,SL_0174,再診,紹介状無し,2025-07,176
リウマチ膠原病内科,DR_RH006,SL_0496,初診,紹介状あり,2025-07,3
リウマチ膠原病内科,DR_RH007,SL_0009,再診,紹介状無し,2025-07,42
リウマチ膠原病内科,DR_RH007,SL_0176,再診,紹介状無し,2025-07,7
リウマチ膠原病内科,DR_RH008,SL_0201,再診,紹介状無し,2025-07,11
リウマチ膠原病内科,DR_RH008,SL_0821,初診,紹介状あり,2025-07,1
リウマチ膠原病内科,DR_RH009,SL_0009,再診,紹介状無し,2025-07,6
リウマチ膠原病内科,DR_RH009,SL_0210,再診,紹介状無し,2025-07,249
リウマチ膠原病内科,DR_RH009,SL_0340,再診,紹介状無し,2025-07,7
リウマチ膠原病内科,DR_RH009,SL_0692,初診,紹介状あり,2025-07,14
リウマチ膠原病内科,DR_RH010,SL_0009,再診,紹介状無し,2025-07,14
リウマチ膠原病内科,DR_RH010,SL_0222,再診,紹介状無し,2025-07,136
リウマチ膠原病内科,DR_RH011,SL_0368,再診,紹介状無し,2025-07,8
リウマチ膠原病内科,DR_RH012,SL_0005,再診,紹介状無し,2025-07,6
リウマチ膠原病内科,DR_RH013,SL_0009,再診,紹介状無し,2025-07,3
リウマチ膠原病内科,DR_RH013,SL_0596,再診,紹介状無し,2025-07,8
リウマチ膠原病内科,DR_RH014,SL_0926,再診,紹介状無し,2025-07,1
一般消化器外科,DR_BR005,SL_0009,再診,紹介状無し,2025-07,45
一般消化器外科,DR_BR005,SL_0516,再診,紹介状無し,2025-07,8
一般消化器外科,DR_GS001,SL_0009,再診,紹介状無し,2025-07,9
一般消化器外科,DR_GS001,SL_0021,再診,紹介状無し,2025-07,11
一般消化器外科,DR_GS001,SL_0022,再診,紹介状無し,2025-07,168
一般消化器外科,DR_GS001,SL_0022,初診,紹介状あり,2025-07,1
一般消化器外科,DR_GS001,SL_0022,初診,紹介状無し,2025-07,1
一般消化器外科,DR_GS001,SL_0454,初診,紹介状あり,2025-07,7
一般消化器外科,DR_GS001,SL_0696,初診,紹介状あり,2025-07,2
一般消化器外科,DR_GS002,SL_0009,再診,紹介状無し,2025-07,7
一般消化器外科,DR_GS002,SL_0085,再診,紹介状無し,2025-07,110
一般消化器外科,DR_GS002,SL_0085,初診,紹介状あり,2025-07,4
一般消化器外科,DR_GS002,SL_0085,初診,紹介状無し,2025-07,1
一般消化器外科,DR_GS002,SL_0568,再診,紹介状無し,2025-07,1
一般消化器外科,DR_GS002,SL_0601,初診,紹介状あり,2025-07,2
一般消化器外科,DR_GS003,SL_0009,再診,紹介状無し,2025-07,6
一般消化器外科,DR_GS003,SL_0102,初診,紹介状あり,2025-07,12
一般消化器外科,DR_GS003,SL_0103,再診,紹介状無し,2025-07,234
一般消化器外科,DR_GS003,SL_0280,再診,紹介状無し,2025-07,10
一般消化器外科,DR_GS003,SL_0407,初診,紹介状あり,2025-07,6
一般消化器外科,DR_GS005,SL_0009,再診,紹介状無し,2025-07,5
一般消化器外科,DR_GS005,SL_0194,再診,紹介状無し,2025-07,60
一般消化器外科,DR_GS005,SL_0384,初診,紹介状あり,2025-07,3
一般消化器外科,DR_GS005,SL_0607,再診,紹介状無し,2025-07,4
一般消化器外科,DR_GS005,SL_0842,初診,紹介状あり,2025-07,1
一般消化器外科,DR_GS006,SL_0009,再診,紹介状無し,2025-07,3
一般消化器外科,DR_GS006,SL_0202,再診,紹介状無し,2025-07,113
一般消化器外科,DR_GS006,SL_0501,再診,紹介状無し,2025-07,7
一般消化器外科,DR_GS006,SL_0691,初診,紹介状あり,2025-07,1
