診療科名,予約担当者匿名ID,区分,曜日,bin_idx,bin_label,出勤日数,該当日数,出勤頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,DR_XX009,全体,0,6,11:00,1,4,0.25,1,7,0.25,1.8
PICCCVポートセンター,DR_XX009,全体,0,7,11:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,DR_XX009,全体,1,1,08:30,1,5,0.2,1,7,0.2,1.4
PICCCVポートセンター,DR_XX009,全体,2,5,10:30,1,5,0.2,1,4,0.2,0.8
PICCCVポートセンター,DR_XX009,全体,2,9,12:30,1,5,0.2,1,5,0.2,1.0
PICCCVポートセンター,DR_XX009,全体,2,17,16:30,1,5,0.2,1,13,0.2,2.6
PICCCVポートセンター,DR_XX009,全体,4,4,10:00,1,4,0.25,1,10,0.25,2.5
PICCCVポートセンター,DR_XX009,全体,4,10,13:00,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,DR_XX009,再診,0,6,11:00,1,4,0.25,1,7,0.25,1.8
PICCCVポートセンター,DR_XX009,再診,0,7,11:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,DR_XX009,再診,1,1,08:30,1,5,0.2,1,7,0.2,1.4
PICCCVポートセンター,DR_XX009,再診,2,5,10:30,1,5,0.2,1,4,0.2,0.8
PICCCVポートセンター,DR_XX009,再診,2,9,12:30,1,5,0.2,1,5,0.2,1.0
PICCCVポートセンター,DR_XX009,再診,2,17,16:30,1,5,0.2,1,13,0.2,2.6
PICCCVポートセンター,DR_XX009,再診,4,4,10:00,1,4,0.25,1,10,0.25,2.5
PICCCVポートセンター,DR_XX009,再診,4,10,13:00,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,DR_XX009,薬再診,0,7,11:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,DR_XX009,薬再診,2,5,10:30,1,5,0.2,1,4,0.2,0.8
PICCCVポートセンター,DR_XX009,薬再診,2,9,12:30,1,5,0.2,1,5,0.2,1.0
PICCCVポートセンター,DR_XX009,薬再診,4,10,13:00,1,4,0.25,1,4,0.25,1.0
がんゲノム,DR_ON001,全体,0,11,13:30,3,4,0.75,3,10,0.75,2.5
がんゲノム,DR_ON001,全体,0,12,14:00,3,4,0.75,3,75,0.75,18.8
がんゲノム,DR_ON001,全体,0,13,14:30,1,4,0.25,1,18,0.25,4.5
がんゲノム,DR_ON001,全体,0,15,15:30,2,4,0.5,2,17,0.5,4.2
がんゲノム,DR_ON001,全体,1,11,13:30,1,5,0.2,1,12,0.2,2.4
がんゲノム,DR_ON001,全体,1,12,14:00,1,5,0.2,1,21,0.2,4.2
がんゲノム,DR_ON001,全体,1,13,14:30,2,5,0.4,2,10,0.4,2.0
がんゲノム,DR_ON001,全体,1,14,15:00,2,5,0.4,3,41,0.6,8.2
がんゲノム,DR_ON001,全体,1,15,15:30,1,5,0.2,1,13,0.2,2.6
がんゲノム,DR_ON001,再診,0,11,13:30,3,4,0.75,3,10,0.75,2.5
がんゲノム,DR_ON001,再診,0,12,14:00,3,4,0.75,3,75,0.75,18.8
がんゲノム,DR_ON001,再診,0,13,14:30,1,4,0.25,1,18,0.25,4.5
がんゲノム,DR_ON001,再診,0,15,15:30,2,4,0.5,2,17,0.5,4.2
がんゲノム,DR_ON001,再診,1,11,13:30,1,5,0.2,1,12,0.2,2.4
がんゲノム,DR_ON001,再診,1,12,14:00,1,5,0.2,1,21,0.2,4.2
がんゲノム,DR_ON001,再診,1,13,14:30,2,5,0.4,2,10,0.4,2.0
がんゲノム,DR_ON001,再診,1,14,15:00,2,5,0.4,3,41,0.6,8.2
がんゲノム,DR_ON001,再診,1,15,15:30,1,5,0.2,1,13,0.2,2.6
がんゲノム,DR_ON001,薬再診,0,15,15:30,1,4,0.25,1,3,0.25,0.8
アレルギー科,DR_AL001,全体,2,3,09:30,4,5,0.8,9,87,1.8,17.4
アレルギー科,DR_AL001,全体,2,4,10:00,5,5,1.0,11,113,2.2,22.6
アレルギー科,DR_AL001,全体,2,5,10:30,5,5,1.0,15,123,3.0,24.6
アレルギー科,DR_AL001,全体,2,6,11:00,5,5,1.0,10,76,2.0,15.2
アレルギー科,DR_AL001,全体,2,7,11:30,4,5,0.8,6,84,1.2,16.8
アレルギー科,DR_AL001,全体,2,8,12:00,1,5,0.2,1,5,0.2,1.0
アレルギー科,DR_AL001,全体,2,9,12:30,1,5,0.2,1,28,0.2,5.6
アレルギー科,DR_AL001,全体,2,10,13:00,1,5,0.2,1,11,0.2,2.2
アレルギー科,DR_AL001,再診,2,3,09:30,4,5,0.8,9,87,1.8,17.4
アレルギー科,DR_AL001,再診,2,4,10:00,5,5,1.0,11,113,2.2,22.6
アレルギー科,DR_AL001,再診,2,5,10:30,5,5,1.0,15,123,3.0,24.6
アレルギー科,DR_AL001,再診,2,6,11:00,5,5,1.0,10,76,2.0,15.2
アレルギー科,DR_AL001,再診,2,7,11:30,4,5,0.8,6,84,1.2,16.8
アレルギー科,DR_AL001,再診,2,8,12:00,1,5,0.2,1,5,0.2,1.0
アレルギー科,DR_AL001,再診,2,9,12:30,1,5,0.2,1,28,0.2,5.6
アレルギー科,DR_AL001,再診,2,10,13:00,1,5,0.2,1,11,0.2,2.2
アレルギー科,DR_AL001,薬再診,2,3,09:30,1,5,0.2,1,4,0.2,0.8
アレルギー科,DR_AL001,薬再診,2,5,10:30,1,5,0.2,1,4,0.2,0.8
アレルギー科,DR_AL001,薬再診,2,6,11:00,2,5,0.4,3,12,0.6,2.4
アレルギー科,DR_AL002,全体,3,2,09:00,1,5,0.2,1,3,0.2,0.6
アレルギー科,DR_AL002,全体,3,3,09:30,3,5,0.6,10,71,2.0,14.2
アレルギー科,DR_AL002,全体,3,4,10:00,5,5,1.0,10,78,2.0,15.6
アレルギー科,DR_AL002,全体,3,5,10:30,5,5,1.0,19,119,3.8,23.8
アレルギー科,DR_AL002,全体,3,6,11:00,5,5,1.0,15,120,3.0,24.0
アレルギー科,DR_AL002,全体,3,7,11:30,4,5,0.8,10,54,2.0,10.8
アレルギー科,DR_AL002,全体,3,8,12:00,2,5,0.4,5,18,1.0,3.6
アレルギー科,DR_AL002,再診,3,2,09:00,1,5,0.2,1,3,0.2,0.6
アレルギー科,DR_AL002,再診,3,3,09:30,3,5,0.6,10,71,2.0,14.2
アレルギー科,DR_AL002,再診,3,4,10:00,5,5,1.0,10,78,2.0,15.6
アレルギー科,DR_AL002,再診,3,5,10:30,5,5,1.0,19,119,3.8,23.8
アレルギー科,DR_AL002,再診,3,6,11:00,5,5,1.0,15,120,3.0,24.0
アレルギー科,DR_AL002,再診,3,7,11:30,4,5,0.8,10,54,2.0,10.8
アレルギー科,DR_AL002,再診,3,8,12:00,2,5,0.4,5,18,1.0,3.6
アレルギー科,DR_AL002,薬再診,3,2,09:00,1,5,0.2,1,3,0.2,0.6
アレルギー科,DR_AL002,薬再診,3,3,09:30,1,5,0.2,1,4,0.2,0.8
アレルギー科,DR_AL002,薬再診,3,4,10:00,2,5,0.4,2,10,0.4,2.0
アレルギー科,DR_AL002,薬再診,3,5,10:30,2,5,0.4,2,10,0.4,2.0
アレルギー科,DR_AL002,薬再診,3,6,11:00,1,5,0.2,1,4,0.2,0.8
アレルギー科,DR_AL002,薬再診,3,7,11:30,1,5,0.2,1,4,0.2,0.8
アレルギー科,DR_AL002,薬再診,3,8,12:00,2,5,0.4,4,14,0.8,2.8
アレルギー科,DR_RS2003,全体,1,2,09:00,4,5,0.8,7,33,1.4,6.6
アレルギー科,DR_RS2003,全体,1,3,09:30,4,5,0.8,10,50,2.0,10.0
アレルギー科,DR_RS2003,全体,1,4,10:00,4,5,0.8,13,71,2.6,14.2
アレルギー科,DR_RS2003,全体,1,5,10:30,4,5,0.8,10,69,2.0,13.8
アレルギー科,DR_RS2003,全体,1,6,11:00,4,5,0.8,11,89,2.2,17.8
アレルギー科,DR_RS2003,全体,1,7,11:30,3,5,0.6,5,54,1.0,10.8
アレルギー科,DR_RS2003,再診,1,2,09:00,4,5,0.8,7,33,1.4,6.6
アレルギー科,DR_RS2003,再診,1,3,09:30,4,5,0.8,10,50,2.0,10.0
アレルギー科,DR_RS2003,再診,1,4,10:00,4,5,0.8,13,71,2.6,14.2
アレルギー科,DR_RS2003,再診,1,5,10:30,4,5,0.8,10,69,2.0,13.8
アレルギー科,DR_RS2003,再診,1,6,11:00,4,5,0.8,11,89,2.2,17.8
アレルギー科,DR_RS2003,再診,1,7,11:30,3,5,0.6,5,54,1.0,10.8
アレルギー科,DR_RS2003,薬再診,1,2,09:00,2,5,0.4,2,2,0.4,0.4
アレルギー科,DR_RS2003,薬再診,1,3,09:30,2,5,0.4,2,6,0.4,1.2
アレルギー科,DR_RS2003,薬再診,1,4,10:00,2,5,0.4,4,16,0.8,3.2
アレルギー科,DR_RS2003,薬再診,1,5,10:30,1,5,0.2,1,5,0.2,1.0
アレルギー科,DR_RS2003,薬再診,1,7,11:30,1,5,0.2,1,5,0.2,1.0
アレルギー科,DR_RS2005,全体,0,2,09:00,2,4,0.5,2,13,0.5,3.2
アレルギー科,DR_RS2005,全体,0,3,09:30,3,4,0.75,10,67,2.5,16.8
アレルギー科,DR_RS2005,全体,0,4,10:00,3,4,0.75,6,53,1.5,13.2
アレルギー科,DR_RS2005,全体,0,5,10:30,3,4,0.75,5,43,1.25,10.8
アレルギー科,DR_RS2005,全体,0,6,11:00,2,4,0.5,4,27,1.0,6.8
アレルギー科,DR_RS2005,全体,0,7,11:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,DR_RS2005,再診,0,2,09:00,2,4,0.5,2,13,0.5,3.2
アレルギー科,DR_RS2005,再診,0,3,09:30,3,4,0.75,10,67,2.5,16.8
アレルギー科,DR_RS2005,再診,0,4,10:00,3,4,0.75,6,53,1.5,13.2
アレルギー科,DR_RS2005,再診,0,5,10:30,3,4,0.75,5,43,1.25,10.8
アレルギー科,DR_RS2005,再診,0,6,11:00,2,4,0.5,4,27,1.0,6.8
アレルギー科,DR_RS2005,再診,0,7,11:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,DR_RS2005,薬再診,0,3,09:30,3,4,0.75,3,10,0.75,2.5
メンタルケア科,DR_MN001,全体,0,1,08:30,1,4,0.25,1,1,0.25,0.2
メンタルケア科,DR_MN001,全体,0,2,09:00,2,4,0.5,2,36,0.5,9.0
メンタルケア科,DR_MN001,全体,0,3,09:30,1,4,0.25,1,7,0.25,1.8
メンタルケア科,DR_MN001,全体,0,4,10:00,2,4,0.5,2,29,0.5,7.2
メンタルケア科,DR_MN001,全体,0,5,10:30,2,4,0.5,2,60,0.5,15.0
