診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2025-07,再診,紹介状無し,64
がんゲノム,2025-07,再診,紹介状無し,11
アレルギー科,2025-07,再診,紹介状無し,186
ソーシャルワーカー,2025-07,再診,紹介状無し,149
メンタルケア科,2025-07,再診,紹介状無し,384
リウマチ膠原病内科,2025-07,再診,紹介状無し,1037
リウマチ膠原病内科,2025-07,初診,紹介状あり,33
一般消化器外科,2025-07,再診,紹介状あり,2
一般消化器外科,2025-07,再診,紹介状無し,1198
一般消化器外科,2025-07,初診,紹介状あり,50
一般消化器外科,2025-07,初診,紹介状無し,7
中央処置室,2025-07,再診,紹介状無し,180
乳腺外科,2025-07,再診,紹介状あり,1
乳腺外科,2025-07,再診,紹介状無し,1528
乳腺外科,2025-07,初診,紹介状あり,52
乳腺外科,2025-07,初診,紹介状無し,4
健診センター,2025-07,再診,紹介状無し,72
入退院支援センター,2025-07,再診,紹介状無し,731
内科,2025-07,再診,紹介状あり,11
内科,2025-07,再診,紹介状無し,165
内科,2025-07,初診,紹介状あり,23
内科,2025-07,初診,紹介状無し,179
呼吸器内科,2025-07,再診,紹介状あり,2
呼吸器内科,2025-07,再診,紹介状無し,1291
呼吸器内科,2025-07,初診,紹介状あり,56
呼吸器内科,2025-07,初診,紹介状無し,9
呼吸器外科,2025-07,再診,紹介状無し,194
呼吸器外科,2025-07,初診,紹介状あり,4
外来手術室,2025-07,再診,紹介状無し,557
小児科,2025-07,再診,紹介状あり,2
小児科,2025-07,再診,紹介状無し,514
小児科,2025-07,初診,紹介状あり,78
小児科,2025-07,初診,紹介状無し,73
形成外科,2025-07,再診,紹介状あり,1
形成外科,2025-07,再診,紹介状無し,569
形成外科,2025-07,初診,紹介状あり,41
形成外科,2025-07,初診,紹介状無し,2
循環器内科,2025-07,再診,紹介状あり,7
循環器内科,2025-07,再診,紹介状無し,1430
循環器内科,2025-07,初診,紹介状あり,132
循環器内科,2025-07,初診,紹介状無し,18
心臓血管外科,2025-07,再診,紹介状あり,2
心臓血管外科,2025-07,再診,紹介状無し,210
心臓血管外科,2025-07,初診,紹介状あり,7
