診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2025-07,64,0,64,0,0,3,0.0,0.0,0.0,4.69
がんゲノム,2025-07,11,0,11,0,0,0,0.0,0.0,0.0,0.0
アレルギー科,2025-07,186,0,186,0,0,16,0.0,0.0,0.0,8.6
ソーシャルワーカー,2025-07,149,0,149,0,0,25,0.0,0.0,0.0,16.78
メンタルケア科,2025-07,384,0,384,0,0,26,0.0,0.0,0.0,6.77
リウマチ膠原病内科,2025-07,1070,33,1037,33,33,46,3.08,100.0,3.08,4.3
一般消化器外科,2025-07,1257,57,1200,50,52,88,4.53,87.72,4.14,7.0
中央処置室,2025-07,180,0,180,0,0,4,0.0,0.0,0.0,2.22
乳腺外科,2025-07,1585,56,1529,52,53,68,3.53,92.86,3.34,4.29
健診センター,2025-07,72,0,72,0,0,6,0.0,0.0,0.0,8.33
入退院支援センター,2025-07,731,0,731,0,0,0,0.0,0.0,0.0,0.0
内科,2025-07,378,202,176,23,34,0,53.44,11.39,8.99,0.0
呼吸器内科,2025-07,1358,65,1293,56,58,79,4.79,86.15,4.27,5.82
呼吸器外科,2025-07,198,4,194,4,4,5,2.02,100.0,2.02,2.53
外来手術室,2025-07,557,0,557,0,0,11,0.0,0.0,0.0,1.97
小児科,2025-07,667,151,516,78,80,59,22.64,51.66,11.99,8.85
形成外科,2025-07,613,43,570,41,42,46,7.01,95.35,6.85,7.5
循環器内科,2025-07,1587,150,1437,132,139,53,9.45,88.0,8.76,3.34
心臓血管外科,2025-07,219,7,212,7,9,5,3.2,100.0,4.11,2.28
感染症,2025-07,32,0,32,0,0,10,0.0,0.0,0.0,31.25
放射線治療科,2025-07,1012,7,1005,7,7,23,0.69,100.0,0.69,2.27
放射線診断科,2025-07,4,0,4,0,0,0,0.0,0.0,0.0,0.0
救急科,2025-07,376,247,129,9,14,2,65.69,3.64,3.72,0.53
整形外科,2025-07,1827,218,1609,197,205,82,11.93,90.37,11.22,4.49
歯科口腔外科,2025-07,1195,251,944,174,176,39,21.0,69.32,14.73,3.26
泌尿器科,2025-07,3599,124,3475,96,97,176,3.45,77.42,2.7,4.89
消化器内科,2025-07,1679,158,1521,147,152,66,9.41,93.04,9.05,3.93
産婦人科,2025-07,2198,169,2029,145,148,249,7.69,85.8,6.73,11.33
皮膚・排泄ケア,2025-07,62,0,62,0,0,53,0.0,0.0,0.0,85.48
皮膚科,2025-07,1322,120,1202,93,94,50,9.08,77.5,7.11,3.78
看護部,2025-07,127,0,127,0,0,6,0.0,0.0,0.0,4.72
眼科,2025-07,3502,213,3289,199,200,134,6.08,93.43,5.71,3.83
禁煙外来,2025-07,14,1,13,1,1,1,7.14,100.0,7.14,7.14
移行期医療支援外来,2025-07,1,0,1,0,0,0,0.0,0.0,0.0,0.0
総合内科,2025-07,1406,232,1174,132,135,42,16.5,56.9,9.6,2.99
緩和ケアチーム,2025-07,35,0,35,0,0,20,0.0,0.0,0.0,57.14
耳鼻咽喉科,2025-07,2257,241,2016,202,202,106,10.68,83.82,8.95,4.7
脳神経内科,2025-07,573,60,513,58,61,9,10.47,96.67,10.65,1.57
脳神経外科,2025-07,248,27,221,20,20,10,10.89,74.07,8.06,4.03
腎内科,2025-07,821,27,794,27,28,32,3.29,100.0,3.41,3.9
臨床工学技師,2025-07,147,0,147,0,0,93,0.0,0.0,0.0,63.27
臨床腫瘍科,2025-07,185,0,185,0,0,9,0.0,0.0,0.0,4.86
薬剤部,2025-07,159,0,159,0,0,6,0.0,0.0,0.0,3.77
血液内科,2025-07,841,18,823,17,17,27,2.14,94.44,2.02,3.21
退院支援,2025-07,158,0,158,0,0,55,0.0,0.0,0.0,34.81
通院治療センター,2025-07,62,0,62,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2025-07,56,3,53,1,1,5,5.36,33.33,1.79,8.93
骨転移カンファレンス,2025-07,3,0,3,0,0,1,0.0,0.0,0.0,33.33
麻酔科,2025-07,423,0,423,0,0,0,0.0,0.0,0.0,0.0
ＥＳＴ(倫理相談),2025-07,1,0,1,0,0,1,0.0,0.0,0.0,100.0
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-07,127,0,127,0,0,5,0.0,0.0,0.0,3.94
