診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,3
PICCCVポートセンター,0,午後前半(12-15時),再診,3
PICCCVポートセンター,0,午後後半(15-17時),再診,1
PICCCVポートセンター,1,午前(〜12時),再診,12
PICCCVポートセンター,1,午後前半(12-15時),再診,1
PICCCVポートセンター,1,午後後半(15-17時),再診,1
PICCCVポートセンター,2,午前(〜12時),再診,10
PICCCVポートセンター,2,午後前半(12-15時),再診,2
PICCCVポートセンター,2,午後後半(15-17時),再診,1
PICCCVポートセンター,3,午前(〜12時),再診,12
PICCCVポートセンター,3,午後前半(12-15時),再診,1
PICCCVポートセンター,3,午後後半(15-17時),再診,1
PICCCVポートセンター,4,午前(〜12時),再診,14
PICCCVポートセンター,4,午後前半(12-15時),再診,2
がんゲノム,0,午後前半(12-15時),再診,3
がんゲノム,0,午後後半(15-17時),再診,2
がんゲノム,1,午後前半(12-15時),再診,5
がんゲノム,1,午後後半(15-17時),再診,1
アレルギー科,0,午前(〜12時),再診,22
アレルギー科,1,午前(〜12時),再診,54
アレルギー科,2,午前(〜12時),再診,44
アレルギー科,3,午前(〜12時),再診,65
アレルギー科,3,午後前半(12-15時),再診,1
ソーシャルワーカー,0,午前(〜12時),再診,16
ソーシャルワーカー,0,午後前半(12-15時),再診,6
ソーシャルワーカー,0,午後後半(15-17時),再診,2
ソーシャルワーカー,0,夕方以降(17時〜),再診,2
ソーシャルワーカー,1,午前(〜12時),再診,18
ソーシャルワーカー,1,午後前半(12-15時),再診,7
ソーシャルワーカー,1,午後後半(15-17時),再診,3
ソーシャルワーカー,1,夕方以降(17時〜),再診,7
ソーシャルワーカー,2,午前(〜12時),再診,16
ソーシャルワーカー,2,午後前半(12-15時),再診,2
ソーシャルワーカー,2,午後後半(15-17時),再診,7
ソーシャルワーカー,2,夕方以降(17時〜),再診,7
ソーシャルワーカー,3,午前(〜12時),再診,17
ソーシャルワーカー,3,午後前半(12-15時),再診,5
ソーシャルワーカー,3,午後後半(15-17時),再診,1
ソーシャルワーカー,3,夕方以降(17時〜),再診,1
ソーシャルワーカー,4,午前(〜12時),再診,19
ソーシャルワーカー,4,午後前半(12-15時),再診,6
ソーシャルワーカー,4,午後後半(15-17時),再診,6
ソーシャルワーカー,4,夕方以降(17時〜),再診,1
メンタルケア科,0,午前(〜12時),再診,73
メンタルケア科,0,午後前半(12-15時),再診,6
メンタルケア科,0,午後後半(15-17時),再診,3
メンタルケア科,0,夕方以降(17時〜),再診,1
メンタルケア科,1,午前(〜12時),再診,25
メンタルケア科,1,午後前半(12-15時),再診,33
メンタルケア科,1,午後後半(15-17時),再診,10
メンタルケア科,1,夕方以降(17時〜),再診,6
メンタルケア科,2,午前(〜12時),再診,122
メンタルケア科,2,午後前半(12-15時),再診,55
メンタルケア科,2,午後後半(15-17時),再診,2
メンタルケア科,2,夕方以降(17時〜),再診,2
メンタルケア科,3,午前(〜12時),再診,20
メンタルケア科,3,午後前半(12-15時),再診,2
メンタルケア科,3,午後後半(15-17時),再診,2
メンタルケア科,4,午前(〜12時),再診,17
メンタルケア科,4,午後前半(12-15時),再診,3
メンタルケア科,4,午後後半(15-17時),再診,1
メンタルケア科,4,夕方以降(17時〜),再診,1
リウマチ膠原病内科,0,午前(〜12時),再診,112
リウマチ膠原病内科,0,午前(〜12時),初診,3
リウマチ膠原病内科,0,午後前半(12-15時),再診,10
リウマチ膠原病内科,0,夕方以降(17時〜),再診,2
リウマチ膠原病内科,1,午前(〜12時),再診,210
リウマチ膠原病内科,1,午前(〜12時),初診,7
リウマチ膠原病内科,1,午後前半(12-15時),再診,12
リウマチ膠原病内科,1,夕方以降(17時〜),再診,1
リウマチ膠原病内科,2,午前(〜12時),再診,164
リウマチ膠原病内科,2,午後前半(12-15時),再診,39
リウマチ膠原病内科,2,午後前半(12-15時),初診,6
リウマチ膠原病内科,2,午後後半(15-17時),再診,2
リウマチ膠原病内科,2,午後後半(15-17時),初診,1
リウマチ膠原病内科,2,夕方以降(17時〜),再診,1
リウマチ膠原病内科,3,午前(〜12時),再診,223
リウマチ膠原病内科,3,午前(〜12時),初診,9
リウマチ膠原病内科,3,午後前半(12-15時),再診,51
リウマチ膠原病内科,3,午後前半(12-15時),初診,1
リウマチ膠原病内科,3,午後後半(15-17時),再診,3
リウマチ膠原病内科,4,午前(〜12時),再診,153
リウマチ膠原病内科,4,午前(〜12時),初診,6
リウマチ膠原病内科,4,午後前半(12-15時),再診,51
リウマチ膠原病内科,4,午後後半(15-17時),再診,3
一般消化器外科,0,午前(〜12時),再診,127
一般消化器外科,0,午前(〜12時),初診,1
一般消化器外科,0,午後前半(12-15時),再診,45
一般消化器外科,0,午後前半(12-15時),初診,7
一般消化器外科,0,午後後半(15-17時),再診,12
一般消化器外科,0,夕方以降(17時〜),再診,1
一般消化器外科,1,午前(〜12時),再診,233
一般消化器外科,1,午前(〜12時),初診,8
一般消化器外科,1,午後前半(12-15時),再診,26
一般消化器外科,1,午後前半(12-15時),初診,1
一般消化器外科,1,午後後半(15-17時),再診,2
一般消化器外科,1,夕方以降(17時〜),再診,4
一般消化器外科,2,午前(〜12時),再診,222
一般消化器外科,2,午前(〜12時),初診,8
一般消化器外科,2,午後前半(12-15時),再診,38
一般消化器外科,2,午後前半(12-15時),初診,7
一般消化器外科,2,午後後半(15-17時),再診,6
一般消化器外科,2,夕方以降(17時〜),再診,1
一般消化器外科,3,午前(〜12時),再診,322
一般消化器外科,3,午前(〜12時),初診,15
