診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2025-07,64,55,0.859,64,1.0,0.0,95.3
がんゲノム,DR_ON001,SL_0088,2025-07,11,1,0.091,11,1.0,21.5,50.3
アレルギー科,DR_AL002,SL_0189,2025-07,65,15,0.231,65,1.0,5.0,69.9
アレルギー科,DR_RS2003,SL_0061,2025-07,44,7,0.159,44,1.0,6.0,66.6
アレルギー科,DR_RS2005,SL_0100,2025-07,21,3,0.143,21,1.0,8.0,64.2
アレルギー科,DR_AL001,SL_0033,2025-07,40,6,0.15,40,1.0,10.0,62.7
アレルギー科,DR_AL001,SL_0736,2025-07,2,0,0.0,2,1.0,12.5,
アレルギー科,DR_AL002,SL_0009,2025-07,1,0,0.0,1,1.0,5.0,
アレルギー科,DR_AL004,SL_0005,2025-07,3,0,0.0,3,1.0,,
アレルギー科,DR_RS2003,SL_0361,2025-07,6,1,0.167,6,1.0,6.0,
アレルギー科,DR_RS2003,SL_0444,2025-07,1,0,0.0,1,1.0,,
アレルギー科,DR_RS2003,SL_0874,2025-07,2,0,0.0,2,1.0,14.0,
アレルギー科,DR_RS2005,SL_0009,2025-07,1,0,0.0,1,1.0,12.0,
ソーシャルワーカー,DR_XX001,SL_0011,2025-07,114,89,0.781,114,1.0,0.0,92.7
ソーシャルワーカー,DR_XX001,SL_0009,2025-07,34,22,0.647,34,1.0,0.0,88.2
ソーシャルワーカー,DR_XX031,SL_0767,2025-07,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN005,SL_0609,2025-07,13,13,1.0,13,1.0,0.0,100.0
メンタルケア科,DR_MN002,SL_0009,2025-07,107,51,0.477,107,1.0,2.5,80.3
メンタルケア科,DR_MN004,SL_0255,2025-07,49,13,0.265,49,1.0,6.5,69.6
メンタルケア科,DR_MN001,SL_0043,2025-07,141,33,0.234,141,1.0,8.0,67.3
メンタルケア科,DR_MN009,SL_0721,2025-07,42,5,0.119,42,1.0,13.0,58.9
メンタルケア科,DR_MN001,SL_0624,2025-07,8,1,0.125,8,1.0,30.5,
メンタルケア科,DR_MN002,SL_0552,2025-07,2,2,1.0,2,1.0,2.0,
メンタルケア科,DR_MN004,SL_0009,2025-07,7,1,0.143,7,1.0,17.5,
メンタルケア科,DR_MN004,SL_0545,2025-07,3,0,0.0,3,1.0,74.0,
メンタルケア科,DR_MN006,SL_0005,2025-07,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN007,SL_0951,2025-07,1,0,0.0,1,1.0,5.0,
メンタルケア科,DR_MN008,SL_0678,2025-07,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN009,SL_0763,2025-07,6,2,0.333,6,1.0,10.5,
メンタルケア科,DR_MN010,SL_0828,2025-07,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN011,SL_0891,2025-07,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN013,SL_0009,2025-07,1,0,0.0,1,1.0,,
リウマチ膠原病内科,DR_RH010,SL_0009,2025-07,14,12,0.857,14,1.0,1.0,94.3
リウマチ膠原病内科,DR_RH005,SL_0156,2025-07,25,17,0.68,25,1.0,0.0,89.3
リウマチ膠原病内科,DR_RH007,SL_0009,2025-07,42,28,0.667,42,1.0,1.0,88.0
リウマチ膠原病内科,DR_RH004,SL_0139,2025-07,129,58,0.45,129,1.0,5.0,77.2
リウマチ膠原病内科,DR_RH003,SL_0009,2025-07,19,6,0.316,19,1.0,8.0,70.0
リウマチ膠原病内科,DR_RH003,SL_0066,2025-07,108,27,0.25,108,1.0,7.0,68.7
リウマチ膠原病内科,DR_RH010,SL_0222,2025-07,136,29,0.213,136,1.0,6.0,68.4
リウマチ膠原病内科,DR_RH009,SL_0210,2025-07,249,53,0.213,249,1.0,7.0,67.5
リウマチ膠原病内科,DR_RH006,SL_0174,2025-07,176,21,0.119,176,1.0,9.0,62.5
リウマチ膠原病内科,DR_RH008,SL_0201,2025-07,11,2,0.182,11,1.0,11.5,62.4
リウマチ膠原病内科,DR_RH001,SL_0008,2025-07,35,2,0.057,35,1.0,7.0,62.3
リウマチ膠原病内科,DR_RH002,SL_0014,2025-07,26,1,0.038,26,1.0,16.0,53.5
リウマチ膠原病内科,DR_RH002,SL_0009,2025-07,3,0,0.0,3,1.0,17.0,
リウマチ膠原病内科,DR_RH002,SL_0682,2025-07,2,0,0.0,2,1.0,25.5,
リウマチ膠原病内科,DR_RH003,SL_0526,2025-07,3,1,0.333,3,1.0,5.0,
リウマチ膠原病内科,DR_RH004,SL_0009,2025-07,4,2,0.5,4,1.0,2.5,
リウマチ膠原病内科,DR_RH005,SL_0009,2025-07,5,2,0.4,5,1.0,0.0,
リウマチ膠原病内科,DR_RH006,SL_0009,2025-07,4,1,0.25,4,1.0,13.0,
リウマチ膠原病内科,DR_RH007,SL_0176,2025-07,7,2,0.286,7,1.0,11.0,
リウマチ膠原病内科,DR_RH009,SL_0009,2025-07,6,1,0.167,6,1.0,8.5,
リウマチ膠原病内科,DR_RH009,SL_0340,2025-07,7,3,0.429,7,1.0,7.0,
リウマチ膠原病内科,DR_RH011,SL_0368,2025-07,8,4,0.5,8,1.0,4.0,
リウマチ膠原病内科,DR_RH012,SL_0005,2025-07,6,0,0.0,6,1.0,,
リウマチ膠原病内科,DR_RH013,SL_0009,2025-07,3,0,0.0,3,1.0,16.0,
リウマチ膠原病内科,DR_RH013,SL_0596,2025-07,8,0,0.0,8,1.0,13.0,
リウマチ膠原病内科,DR_RH014,SL_0926,2025-07,1,1,1.0,1,1.0,2.0,
一般消化器外科,DR_BR005,SL_0009,2025-07,45,42,0.933,45,1.0,0.0,97.8
一般消化器外科,DR_GS011,SL_0009,2025-07,35,24,0.686,35,1.0,0.0,89.5
一般消化器外科,DR_GS018,SL_0933,2025-07,98,54,0.551,98,1.0,4.0,81.4
一般消化器外科,DR_GS001,SL_0022,2025-07,168,81,0.482,168,1.0,5.0,78.2
一般消化器外科,DR_GS006,SL_0202,2025-07,113,49,0.434,113,1.0,5.0,76.6
一般消化器外科,DR_GS002,SL_0085,2025-07,110,47,0.427,110,1.0,5.0,76.4
一般消化器外科,DR_GS014,SL_0523,2025-07,14,7,0.5,13,0.929,3.0,70.6
一般消化器外科,DR_GS019,SL_0967,2025-07,18,5,0.278,18,1.0,10.5,66.5
一般消化器外科,DR_GS008,SL_0229,2025-07,43,8,0.186,43,1.0,9.0,64.8
一般消化器外科,DR_GS005,SL_0194,2025-07,60,6,0.1,60,1.0,9.0,61.9
一般消化器外科,DR_GS003,SL_0103,2025-07,234,20,0.085,234,1.0,9.0,61.4
一般消化器外科,DR_GS009,SL_0374,2025-07,40,3,0.075,40,1.0,11.0,59.3
一般消化器外科,DR_GS018,SL_0938,2025-07,13,1,0.077,13,1.0,14.0,56.6
一般消化器外科,DR_GS015,SL_0715,2025-07,49,2,0.041,49,1.0,13.0,56.3
一般消化器外科,DR_GS003,SL_0280,2025-07,10,0,0.0,10,1.0,14.0,54.1
一般消化器外科,DR_GS001,SL_0021,2025-07,11,1,0.091,11,1.0,25.0,47.2
一般消化器外科,DR_BR005,SL_0516,2025-07,8,6,0.75,8,1.0,0.0,
