診療科名,曜日,受付h,件数,待_中央値,待_平均,待_Q1,待_Q3,診察_中央値,診察_平均,診察_Q3,会計_中央値,会計_平均
PICCCVポートセンター,0,8,3.0,120.0,124.3,69.0,177.5,0.0,1.7,2.5,,
PICCCVポートセンター,0,9,4.0,248.0,241.5,130.8,358.8,0.0,0.0,0.0,,
PICCCVポートセンター,0,10,3.0,275.0,232.0,171.5,314.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,11,1.0,187.0,187.0,187.0,187.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,0,1.0,,,,,,,,,
PICCCVポートセンター,1,8,1.0,396.0,396.0,396.0,396.0,1.0,1.0,1.0,,
PICCCVポートセンター,1,9,4.0,15.0,60.8,0.0,75.8,0.0,0.0,0.0,,
PICCCVポートセンター,1,10,2.0,10.5,10.5,5.2,15.8,2.5,2.5,3.8,,
PICCCVポートセンター,1,11,1.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,12,1.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,9,4.0,97.0,107.0,33.0,171.0,2.0,3.2,5.2,,
PICCCVポートセンター,2,10,3.0,207.0,141.7,108.0,208.0,0.0,1.0,1.5,,
PICCCVポートセンター,2,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,13,2.0,12.0,12.0,6.0,18.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,14,2.0,22.0,22.0,17.0,27.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,0,1.0,,,,,,,,,
PICCCVポートセンター,3,8,2.0,86.0,86.0,61.0,111.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,9,3.0,0.0,6.0,0.0,9.0,0.0,4.3,6.5,,
PICCCVポートセンター,3,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,11,2.0,167.0,167.0,149.0,185.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,12,1.0,112.0,112.0,112.0,112.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,13,1.0,62.0,62.0,62.0,62.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,8,3.0,140.0,129.7,103.0,161.5,0.0,2.3,3.5,,
PICCCVポートセンター,4,9,4.0,224.5,172.0,158.2,238.2,0.0,8.8,8.8,,
PICCCVポートセンター,4,10,6.0,0.0,65.2,0.0,95.2,0.0,4.3,0.0,,
PICCCVポートセンター,4,11,3.0,115.0,84.3,57.5,126.5,0.0,0.0,0.0,,
PICCCVポートセンター,4,12,1.0,128.0,128.0,128.0,128.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,13,5.0,0.0,28.4,0.0,21.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
がんゲノム,0,8,1.0,318.0,318.0,318.0,318.0,6.0,6.0,6.0,,
がんゲノム,0,9,1.0,137.0,137.0,137.0,137.0,26.0,26.0,26.0,,
がんゲノム,0,13,2.0,104.0,104.0,82.0,126.0,30.5,30.5,32.2,,
がんゲノム,0,14,2.0,15.0,15.0,14.5,15.5,27.0,27.0,28.5,,
がんゲノム,1,8,2.0,295.0,295.0,229.5,360.5,4.0,4.0,4.0,,
がんゲノム,1,11,1.0,183.0,183.0,183.0,183.0,26.0,26.0,26.0,,
がんゲノム,1,13,3.0,38.0,54.7,21.0,80.0,19.0,20.0,26.5,,
がんゲノム,1,14,3.0,6.0,9.3,5.5,11.5,20.0,20.0,20.0,,
がんゲノム,1,15,2.0,2.5,2.5,1.2,3.8,9.5,9.5,10.2,,
アレルギー科,0,0,4.0,,,,,,,,,
アレルギー科,0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
アレルギー科,0,8,3.0,39.0,40.3,38.0,42.0,4.0,4.3,6.5,27.5,27.5
アレルギー科,0,9,13.0,39.0,45.5,28.0,61.0,6.0,6.3,11.0,17.5,20.8
アレルギー科,0,10,8.0,26.5,55.8,16.2,40.0,9.0,10.0,14.0,21.0,26.0
アレルギー科,1,8,14.0,90.0,77.9,59.0,93.8,6.0,6.8,8.8,34.0,47.2
