診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2025-04,再診,紹介状無し,73
がんゲノム,2025-04,再診,紹介状無し,17
アレルギー科,2025-04,再診,紹介状無し,140
アレルギー科,2025-04,初診,紹介状あり,1
ソーシャルワーカー,2025-04,再診,紹介状無し,125
メンタルケア科,2025-04,再診,紹介状無し,365
リウマチ膠原病内科,2025-04,再診,紹介状あり,1
リウマチ膠原病内科,2025-04,再診,紹介状無し,923
リウマチ膠原病内科,2025-04,初診,紹介状あり,27
リウマチ膠原病内科,2025-04,初診,紹介状無し,2
一般消化器外科,2025-04,再診,紹介状あり,6
一般消化器外科,2025-04,再診,紹介状無し,1140
一般消化器外科,2025-04,初診,紹介状あり,57
一般消化器外科,2025-04,初診,紹介状無し,10
中央処置室,2025-04,再診,紹介状無し,167
乳腺外科,2025-04,再診,紹介状あり,1
乳腺外科,2025-04,再診,紹介状無し,1599
乳腺外科,2025-04,初診,紹介状あり,65
乳腺外科,2025-04,初診,紹介状無し,5
健診センター,2025-04,再診,紹介状無し,92
入退院支援センター,2025-04,再診,紹介状無し,720
内科,2025-04,再診,紹介状あり,21
内科,2025-04,再診,紹介状無し,115
内科,2025-04,初診,紹介状あり,24
内科,2025-04,初診,紹介状無し,161
呼吸器内科,2025-04,再診,紹介状あり,1
呼吸器内科,2025-04,再診,紹介状無し,1279
呼吸器内科,2025-04,初診,紹介状あり,88
呼吸器内科,2025-04,初診,紹介状無し,10
呼吸器外科,2025-04,再診,紹介状無し,177
呼吸器外科,2025-04,初診,紹介状あり,10
外来手術室,2025-04,再診,紹介状無し,490
小児科,2025-04,再診,紹介状あり,3
小児科,2025-04,再診,紹介状無し,479
小児科,2025-04,初診,紹介状あり,60
小児科,2025-04,初診,紹介状無し,65
形成外科,2025-04,再診,紹介状無し,558
形成外科,2025-04,初診,紹介状あり,39
形成外科,2025-04,初診,紹介状無し,1
循環器内科,2025-04,再診,紹介状あり,13
循環器内科,2025-04,再診,紹介状無し,1436
循環器内科,2025-04,初診,紹介状あり,133
循環器内科,2025-04,初診,紹介状無し,17
心臓血管外科,2025-04,再診,紹介状あり,2
心臓血管外科,2025-04,再診,紹介状無し,211
心臓血管外科,2025-04,初診,紹介状あり,4
心臓血管外科,2025-04,初診,紹介状無し,2
感染症,2025-04,再診,紹介状無し,29
放射線治療科,2025-04,再診,紹介状無し,1072
放射線治療科,2025-04,初診,紹介状あり,11
放射線治療科,2025-04,初診,紹介状無し,1
放射線診断科,2025-04,再診,紹介状無し,2
救急科,2025-04,再診,紹介状あり,4
救急科,2025-04,再診,紹介状無し,107
救急科,2025-04,初診,紹介状あり,10
救急科,2025-04,初診,紹介状無し,208
整形外科,2025-04,再診,紹介状あり,3
整形外科,2025-04,再診,紹介状無し,1638
整形外科,2025-04,初診,紹介状あり,212
整形外科,2025-04,初診,紹介状無し,13
歯科口腔外科,2025-04,再診,紹介状あり,2
歯科口腔外科,2025-04,再診,紹介状無し,680
歯科口腔外科,2025-04,初診,紹介状あり,161
歯科口腔外科,2025-04,初診,紹介状無し,79
治験外来,2025-04,再診,紹介状無し,2
泌尿器科,2025-04,再診,紹介状あり,10
泌尿器科,2025-04,再診,紹介状無し,3609
泌尿器科,2025-04,初診,紹介状あり,111
泌尿器科,2025-04,初診,紹介状無し,26
消化器内科,2025-04,再診,紹介状あり,7
消化器内科,2025-04,再診,紹介状無し,1405
消化器内科,2025-04,初診,紹介状あり,191
消化器内科,2025-04,初診,紹介状無し,19
産婦人科,2025-04,再診,紹介状あり,1
産婦人科,2025-04,再診,紹介状無し,1795
産婦人科,2025-04,初診,紹介状あり,126
産婦人科,2025-04,初診,紹介状無し,22
皮膚・排泄ケア,2025-04,再診,紹介状無し,129
皮膚科,2025-04,再診,紹介状あり,1
皮膚科,2025-04,再診,紹介状無し,1233
皮膚科,2025-04,初診,紹介状あり,91
皮膚科,2025-04,初診,紹介状無し,26
看護部,2025-04,再診,紹介状無し,110
眼科,2025-04,再診,紹介状無し,3262
眼科,2025-04,初診,紹介状あり,218
眼科,2025-04,初診,紹介状無し,23
禁煙外来,2025-04,再診,紹介状無し,5
移行期医療支援外来,2025-04,再診,紹介状無し,1
総合内科,2025-04,再診,紹介状あり,1
総合内科,2025-04,再診,紹介状無し,992
総合内科,2025-04,初診,紹介状あり,112
総合内科,2025-04,初診,紹介状無し,97
緩和ケアチーム,2025-04,再診,紹介状無し,23
耳鼻咽喉科,2025-04,再診,紹介状あり,1
耳鼻咽喉科,2025-04,再診,紹介状無し,1768
耳鼻咽喉科,2025-04,初診,紹介状あり,162
耳鼻咽喉科,2025-04,初診,紹介状無し,32
脳神経内科,2025-04,再診,紹介状あり,1
脳神経内科,2025-04,再診,紹介状無し,467
脳神経内科,2025-04,初診,紹介状あり,61
脳神経内科,2025-04,初診,紹介状無し,1
脳神経外科,2025-04,再診,紹介状あり,3
脳神経外科,2025-04,再診,紹介状無し,214
脳神経外科,2025-04,初診,紹介状あり,24
脳神経外科,2025-04,初診,紹介状無し,9
腎内科,2025-04,再診,紹介状あり,2
腎内科,2025-04,再診,紹介状無し,769
腎内科,2025-04,初診,紹介状あり,26
腎内科,2025-04,初診,紹介状無し,1
臨床工学技師,2025-04,再診,紹介状無し,138
臨床腫瘍科,2025-04,再診,紹介状無し,139
臨床腫瘍科,2025-04,初診,紹介状あり,1
薬剤部,2025-04,再診,紹介状無し,91
血液内科,2025-04,再診,紹介状無し,780
血液内科,2025-04,初診,紹介状あり,29
血液内科,2025-04,初診,紹介状無し,1
退院支援,2025-04,再診,紹介状無し,167
通院治療センター,2025-04,再診,紹介状無し,49
遺伝診療科,2025-04,再診,紹介状あり,4
遺伝診療科,2025-04,再診,紹介状無し,42
遺伝診療科,2025-04,初診,紹介状あり,6
遺伝診療科,2025-04,初診,紹介状無し,10
骨転移カンファレンス,2025-04,再診,紹介状無し,8
麻酔科,2025-04,再診,紹介状無し,396
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-04,再診,紹介状無し,76
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-04,初診,紹介状あり,2
