診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2025-04,73,64,0.877,73,1.0,0.0,95.9
がんゲノム,DR_ON001,SL_0088,2025-04,17,2,0.118,17,1.0,20.0,53.7
アレルギー科,DR_AL002,SL_0189,2025-04,39,15,0.385,39,1.0,6.0,74.4
アレルギー科,DR_RS2005,SL_0100,2025-04,23,8,0.348,23,1.0,8.0,71.5
アレルギー科,DR_RS2003,SL_0061,2025-04,38,6,0.158,38,1.0,7.0,66.0
アレルギー科,DR_AL001,SL_0033,2025-04,25,3,0.12,25,1.0,10.0,62.2
アレルギー科,DR_AL001,SL_0009,2025-04,2,2,1.0,2,1.0,2.0,
アレルギー科,DR_AL002,SL_0852,2025-04,1,0,0.0,1,1.0,27.0,
アレルギー科,DR_AL003,SL_0009,2025-04,2,1,0.5,2,1.0,4.0,
アレルギー科,DR_AL004,SL_0005,2025-04,2,0,0.0,2,1.0,,
アレルギー科,DR_RS2003,SL_0361,2025-04,2,0,0.0,2,1.0,6.5,
アレルギー科,DR_RS2003,SL_0874,2025-04,1,0,0.0,1,1.0,6.0,
アレルギー科,DR_RS2005,SL_0009,2025-04,5,3,0.6,5,1.0,0.0,
ソーシャルワーカー,DR_XX001,SL_0011,2025-04,109,90,0.826,109,1.0,0.0,94.2
ソーシャルワーカー,DR_XX001,SL_0009,2025-04,14,6,0.429,14,1.0,0.0,81.0
ソーシャルワーカー,DR_XX031,SL_0009,2025-04,1,0,0.0,1,1.0,,
ソーシャルワーカー,DR_XX034,SL_0825,2025-04,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN002,SL_0009,2025-04,87,55,0.632,87,1.0,0.0,87.7
メンタルケア科,DR_MN004,SL_0255,2025-04,57,15,0.263,57,1.0,6.0,70.4
メンタルケア科,DR_MN001,SL_0043,2025-04,135,29,0.215,135,1.0,8.0,67.1
メンタルケア科,DR_MN009,SL_0721,2025-04,43,2,0.047,43,1.0,19.0,52.2
メンタルケア科,DR_MN001,SL_0624,2025-04,4,2,0.5,4,1.0,28.5,
メンタルケア科,DR_MN002,SL_0552,2025-04,2,0,0.0,2,1.0,40.0,
メンタルケア科,DR_MN004,SL_0009,2025-04,5,0,0.0,5,1.0,27.0,
メンタルケア科,DR_MN004,SL_0545,2025-04,4,0,0.0,4,1.0,49.5,
メンタルケア科,DR_MN005,SL_0609,2025-04,9,9,1.0,9,1.0,0.0,
メンタルケア科,DR_MN007,SL_0951,2025-04,5,3,0.6,5,1.0,0.0,
メンタルケア科,DR_MN008,SL_0678,2025-04,7,7,1.0,7,1.0,0.0,
メンタルケア科,DR_MN009,SL_0991,2025-04,3,0,0.0,3,1.0,37.0,
メンタルケア科,DR_MN010,SL_0828,2025-04,2,0,0.0,2,1.0,,
メンタルケア科,DR_MN011,SL_0891,2025-04,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN014,SL_1012,2025-04,1,0,0.0,1,1.0,50.0,
リウマチ膠原病内科,DR_RH010,SL_0009,2025-04,14,12,0.857,14,1.0,1.0,94.4
リウマチ膠原病内科,DR_RH005,SL_0156,2025-04,40,29,0.725,40,1.0,0.0,90.8
リウマチ膠原病内科,DR_RH007,SL_0009,2025-04,46,27,0.587,46,1.0,3.0,83.7
リウマチ膠原病内科,DR_RH009,SL_0009,2025-04,18,9,0.5,18,1.0,3.0,80.8
リウマチ膠原病内科,DR_RH004,SL_0139,2025-04,103,43,0.417,103,1.0,5.0,76.3
リウマチ膠原病内科,DR_RH009,SL_0210,2025-04,233,89,0.382,233,1.0,5.0,75.2
リウマチ膠原病内科,DR_RH010,SL_0222,2025-04,98,35,0.357,98,1.0,5.0,74.3
リウマチ膠原病内科,DR_RH007,SL_0176,2025-04,10,4,0.4,10,1.0,7.0,74.1
リウマチ膠原病内科,DR_RH003,SL_0009,2025-04,22,8,0.364,22,1.0,7.0,72.9
リウマチ膠原病内科,DR_RH003,SL_0066,2025-04,64,19,0.297,64,1.0,6.0,71.5
リウマチ膠原病内科,DR_RH001,SL_0008,2025-04,42,3,0.071,42,1.0,7.0,63.1
リウマチ膠原病内科,DR_RH006,SL_0174,2025-04,168,12,0.071,167,0.994,10.0,59.9
