診療科名,予約担当者匿名ID,区分,曜日,bin_idx,bin_label,出勤日数,該当日数,出勤頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,DR_XX009,全体,0,1,08:30,1,4,0.25,1,5,0.25,1.2
PICCCVポートセンター,DR_XX009,全体,1,6,11:00,1,5,0.2,1,6,0.2,1.2
PICCCVポートセンター,DR_XX009,全体,1,14,15:00,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,DR_XX009,全体,2,3,09:30,1,5,0.2,2,10,0.4,2.0
PICCCVポートセンター,DR_XX009,全体,2,4,10:00,1,5,0.2,1,4,0.2,0.8
PICCCVポートセンター,DR_XX009,全体,2,5,10:30,1,5,0.2,1,4,0.2,0.8
PICCCVポートセンター,DR_XX009,全体,3,4,10:00,1,4,0.25,1,13,0.25,3.2
PICCCVポートセンター,DR_XX009,全体,4,2,09:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,全体,4,3,09:30,1,4,0.25,1,5,0.25,1.2
PICCCVポートセンター,DR_XX009,全体,4,8,12:00,1,4,0.25,1,11,0.25,2.8
PICCCVポートセンター,DR_XX009,全体,4,9,12:30,1,4,0.25,1,15,0.25,3.8
PICCCVポートセンター,DR_XX009,全体,4,11,13:30,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,DR_XX009,全体,4,12,14:00,1,4,0.25,1,27,0.25,6.8
PICCCVポートセンター,DR_XX009,再診,0,1,08:30,1,4,0.25,1,5,0.25,1.2
PICCCVポートセンター,DR_XX009,再診,1,6,11:00,1,5,0.2,1,6,0.2,1.2
PICCCVポートセンター,DR_XX009,再診,1,14,15:00,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,DR_XX009,再診,2,3,09:30,1,5,0.2,2,10,0.4,2.0
PICCCVポートセンター,DR_XX009,再診,2,4,10:00,1,5,0.2,1,4,0.2,0.8
PICCCVポートセンター,DR_XX009,再診,2,5,10:30,1,5,0.2,1,4,0.2,0.8
PICCCVポートセンター,DR_XX009,再診,3,4,10:00,1,4,0.25,1,13,0.25,3.2
PICCCVポートセンター,DR_XX009,再診,4,2,09:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,DR_XX009,再診,4,3,09:30,1,4,0.25,1,5,0.25,1.2
PICCCVポートセンター,DR_XX009,再診,4,8,12:00,1,4,0.25,1,11,0.25,2.8
PICCCVポートセンター,DR_XX009,再診,4,9,12:30,1,4,0.25,1,15,0.25,3.8
PICCCVポートセンター,DR_XX009,再診,4,11,13:30,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,DR_XX009,再診,4,12,14:00,1,4,0.25,1,27,0.25,6.8
PICCCVポートセンター,DR_XX009,薬再診,1,14,15:00,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,DR_XX009,薬再診,2,3,09:30,1,5,0.2,1,1,0.2,0.2
PICCCVポートセンター,DR_XX009,薬再診,2,4,10:00,1,5,0.2,1,4,0.2,0.8
PICCCVポートセンター,DR_XX009,薬再診,2,5,10:30,1,5,0.2,1,4,0.2,0.8
がんゲノム,DR_ON001,全体,0,8,12:00,1,4,0.25,1,25,0.25,6.2
がんゲノム,DR_ON001,全体,0,9,12:30,1,4,0.25,1,2,0.25,0.5
がんゲノム,DR_ON001,全体,0,12,14:00,3,4,0.75,3,36,0.75,9.0
がんゲノム,DR_ON001,全体,0,13,14:30,2,4,0.5,2,35,0.5,8.8
がんゲノム,DR_ON001,全体,0,14,15:00,1,4,0.25,1,24,0.25,6.0
がんゲノム,DR_ON001,全体,0,15,15:30,1,4,0.25,1,25,0.25,6.2
がんゲノム,DR_ON001,全体,0,16,16:00,1,4,0.25,1,3,0.25,0.8
がんゲノム,DR_ON001,全体,1,7,11:30,1,5,0.2,1,5,0.2,1.0
がんゲノム,DR_ON001,全体,1,10,13:00,1,5,0.2,1,7,0.2,1.4
がんゲノム,DR_ON001,全体,1,11,13:30,1,5,0.2,1,1,0.2,0.2
がんゲノム,DR_ON001,全体,1,12,14:00,3,5,0.6,3,50,0.6,10.0
がんゲノム,DR_ON001,全体,1,13,14:30,3,5,0.6,4,54,0.8,10.8
がんゲノム,DR_ON001,全体,1,14,15:00,2,5,0.4,4,36,0.8,7.2
がんゲノム,DR_ON001,全体,1,15,15:30,2,5,0.4,3,24,0.6,4.8
がんゲノム,DR_ON001,再診,0,8,12:00,1,4,0.25,1,25,0.25,6.2
がんゲノム,DR_ON001,再診,0,9,12:30,1,4,0.25,1,2,0.25,0.5
がんゲノム,DR_ON001,再診,0,12,14:00,3,4,0.75,3,36,0.75,9.0
