部屋番号,曜日,受付_30min,診療科名,初再診区分,件数
,0,09:00,整形外科,初診,5
,0,09:00,歯科口腔外科,再診,12
,0,09:00,歯科口腔外科,初診,3
,0,09:00,泌尿器科,再診,78
,0,09:00,泌尿器科,初診,2
,0,09:00,消化器内科,再診,26
,0,09:00,消化器内科,初診,7
,0,09:00,産婦人科,再診,33
,0,09:00,産婦人科,初診,5
,0,09:00,皮膚科,再診,18
,0,09:00,皮膚科,初診,5
,0,09:00,看護部,再診,1
,0,09:00,眼科,再診,39
,0,09:00,眼科,初診,12
,0,09:00,糖尿病内分泌内科,再診,1
,0,09:00,糖尿病内分泌内科,初診,1
,0,09:00,総合内科,再診,12
,0,09:00,総合内科,初診,6
,0,09:00,耳鼻咽喉科,再診,8
,0,09:00,耳鼻咽喉科,初診,2
,0,09:00,脳神経内科,再診,5
,0,09:00,脳神経内科,初診,1
,0,09:00,腎内科,再診,15
,0,09:00,腎内科,初診,1
,0,09:00,臨床腫瘍科,再診,4
,0,09:00,薬剤部,再診,1
,0,09:00,血液内科,再診,21
,0,09:00,通院治療センター,再診,1
,0,09:00,麻酔科,再診,7
,0,09:30,PICCCVポートセンター,再診,4
,0,09:30,アレルギー科,再診,7
,0,09:30,ソーシャルワーカー,再診,1
,0,09:30,メンタルケア科,再診,10
,0,09:30,リウマチ膠原病内科,再診,21
,0,09:30,一般消化器外科,再診,11
,0,09:30,中央処置室,再診,2
,0,09:30,乳腺外科,再診,23
,0,09:30,乳腺外科,初診,3
,0,09:30,入退院支援センター,再診,10
,0,09:30,呼吸器内科,再診,15
,0,09:30,呼吸器外科,再診,9
,0,09:30,外来手術室,再診,1
,0,09:30,小児科,再診,5
,0,09:30,小児科,初診,1
,0,09:30,形成外科,再診,15
,0,09:30,形成外科,初診,1
,0,09:30,循環器内科,再診,24
,0,09:30,循環器内科,初診,4
,0,09:30,放射線治療科,再診,15
,0,09:30,救急科,再診,4
,0,09:30,救急科,初診,2
,0,09:30,整形外科,再診,24
,0,09:30,整形外科,初診,6
,0,09:30,歯科口腔外科,再診,9
,0,09:30,歯科口腔外科,初診,8
