診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,13
PICCCVポートセンター,0,午後前半(12-15時),再診,2
PICCCVポートセンター,1,午前(〜12時),再診,7
PICCCVポートセンター,1,午後前半(12-15時),再診,1
PICCCVポートセンター,1,午後後半(15-17時),再診,1
PICCCVポートセンター,2,午前(〜12時),再診,5
PICCCVポートセンター,2,午後前半(12-15時),再診,1
PICCCVポートセンター,3,午前(〜12時),再診,6
PICCCVポートセンター,3,午後前半(12-15時),再診,2
PICCCVポートセンター,3,午後後半(15-17時),再診,1
PICCCVポートセンター,4,午前(〜12時),再診,11
PICCCVポートセンター,4,午後前半(12-15時),再診,1
PICCCVポートセンター,4,午後後半(15-17時),再診,1
がんゲノム,0,午後前半(12-15時),再診,2
がんゲノム,1,午前(〜12時),再診,1
がんゲノム,1,午後前半(12-15時),再診,9
がんゲノム,1,午後後半(15-17時),再診,1
アレルギー科,0,午前(〜12時),再診,25
アレルギー科,1,午前(〜12時),再診,48
アレルギー科,1,午後前半(12-15時),再診,1
アレルギー科,2,午前(〜12時),再診,31
アレルギー科,3,午前(〜12時),再診,48
アレルギー科,3,午前(〜12時),初診,1
ソーシャルワーカー,0,午前(〜12時),再診,12
ソーシャルワーカー,0,午後前半(12-15時),再診,5
ソーシャルワーカー,0,午後後半(15-17時),再診,1
ソーシャルワーカー,0,夕方以降(17時〜),再診,1
ソーシャルワーカー,1,午前(〜12時),再診,9
ソーシャルワーカー,1,午後前半(12-15時),再診,2
ソーシャルワーカー,1,午後後半(15-17時),再診,3
ソーシャルワーカー,2,午前(〜12時),再診,16
ソーシャルワーカー,2,午後前半(12-15時),再診,7
ソーシャルワーカー,2,午後後半(15-17時),再診,2
ソーシャルワーカー,2,夕方以降(17時〜),再診,1
ソーシャルワーカー,3,午前(〜12時),再診,10
ソーシャルワーカー,3,午後前半(12-15時),再診,3
ソーシャルワーカー,3,午後後半(15-17時),再診,1
ソーシャルワーカー,3,夕方以降(17時〜),再診,3
ソーシャルワーカー,4,午前(〜12時),再診,9
ソーシャルワーカー,4,午後前半(12-15時),再診,2
ソーシャルワーカー,4,午後後半(15-17時),再診,5
ソーシャルワーカー,4,夕方以降(17時〜),再診,2
メンタルケア科,0,午前(〜12時),再診,55
メンタルケア科,0,夕方以降(17時〜),再診,1
メンタルケア科,1,午前(〜12時),再診,11
メンタルケア科,1,午後前半(12-15時),再診,32
メンタルケア科,1,午後後半(15-17時),再診,9
メンタルケア科,1,夕方以降(17時〜),再診,2
メンタルケア科,2,午前(〜12時),再診,110
メンタルケア科,2,午後前半(12-15時),再診,43
メンタルケア科,2,午後後半(15-17時),再診,3
メンタルケア科,2,夕方以降(17時〜),再診,2
メンタルケア科,3,午前(〜12時),再診,21
メンタルケア科,3,午後後半(15-17時),再診,1
メンタルケア科,4,午前(〜12時),再診,7
メンタルケア科,4,午後前半(12-15時),再診,1
メンタルケア科,4,午後後半(15-17時),再診,1
メンタルケア科,4,夕方以降(17時〜),再診,3
リウマチ膠原病内科,0,午前(〜12時),再診,100
リウマチ膠原病内科,0,午前(〜12時),初診,4
