診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,0,2
PICCCVポートセンター,保留,枠なし予約,3,2
PICCCVポートセンター,病院到着,枠なし予約,3,2
PICCCVポートセンター,病院到着,枠なし予約,4,1
PICCCVポートセンター,終了,枠なし予約,0,13
PICCCVポートセンター,終了,枠なし予約,1,9
PICCCVポートセンター,終了,枠なし予約,2,6
PICCCVポートセンター,終了,枠なし予約,3,5
PICCCVポートセンター,終了,枠なし予約,4,12
がんゲノム,終了,枠あり予約,0,2
がんゲノム,終了,枠あり予約,1,11
アレルギー科,未来院,枠あり予約,0,4
アレルギー科,未来院,枠あり予約,1,3
アレルギー科,未来院,枠あり予約,3,2
アレルギー科,終了,枠あり予約,0,21
アレルギー科,終了,枠あり予約,1,44
アレルギー科,終了,枠あり予約,2,29
アレルギー科,終了,枠あり予約,3,43
アレルギー科,終了,枠なし予約,1,2
アレルギー科,終了,枠なし予約,2,2
アレルギー科,終了,枠なし予約,3,4
ソーシャルワーカー,保留,枠あり予約,2,1
ソーシャルワーカー,未来院,枠あり予約,0,5
ソーシャルワーカー,未来院,枠あり予約,1,3
ソーシャルワーカー,未来院,枠あり予約,2,7
ソーシャルワーカー,未来院,枠あり予約,3,4
ソーシャルワーカー,未来院,枠あり予約,4,3
ソーシャルワーカー,未来院,枠なし予約,3,2
ソーシャルワーカー,病院到着,枠あり予約,0,1
ソーシャルワーカー,病院到着,枠あり予約,1,1
ソーシャルワーカー,病院到着,枠あり予約,4,1
ソーシャルワーカー,病院到着,枠なし予約,0,2
ソーシャルワーカー,病院到着,枠なし予約,2,3
ソーシャルワーカー,病院到着,枠なし予約,3,2
ソーシャルワーカー,病院到着,枠なし予約,4,1
ソーシャルワーカー,終了,枠あり予約,0,10
ソーシャルワーカー,終了,枠あり予約,1,10
ソーシャルワーカー,終了,枠あり予約,2,11
ソーシャルワーカー,終了,枠あり予約,3,7
ソーシャルワーカー,終了,枠あり予約,4,12
ソーシャルワーカー,終了,枠なし予約,0,1
ソーシャルワーカー,終了,枠なし予約,2,4
ソーシャルワーカー,終了,枠なし予約,3,2
ソーシャルワーカー,終了,枠なし予約,4,1
メンタルケア科,未来院,枠あり予約,0,2
メンタルケア科,未来院,枠あり予約,2,9
メンタルケア科,未来院,枠なし予約,0,1
メンタルケア科,未来院,枠なし予約,2,1
メンタルケア科,病院到着,枠なし予約,0,1
メンタルケア科,病院到着,枠なし予約,2,4
メンタルケア科,終了,枠あり予約,0,42
メンタルケア科,終了,枠あり予約,1,39
メンタルケア科,終了,枠あり予約,2,120
メンタルケア科,終了,枠あり予約,3,8
メンタルケア科,終了,枠なし予約,0,10
メンタルケア科,終了,枠なし予約,1,15
メンタルケア科,終了,枠なし予約,2,24
メンタルケア科,終了,枠なし予約,3,14
メンタルケア科,終了,枠なし予約,4,12
リウマチ膠原病内科,6,枠あり予約,0,1
リウマチ膠原病内科,6,枠あり予約,1,1
リウマチ膠原病内科,保留,枠あり予約,4,1
リウマチ膠原病内科,未来院,枠あり予約,0,4
リウマチ膠原病内科,未来院,枠あり予約,1,5
リウマチ膠原病内科,未来院,枠あり予約,2,5
リウマチ膠原病内科,未来院,枠あり予約,3,6
リウマチ膠原病内科,未来院,枠あり予約,4,1
リウマチ膠原病内科,未来院,枠なし予約,1,2
リウマチ膠原病内科,未来院,枠なし予約,2,2
リウマチ膠原病内科,未来院,枠なし予約,3,2
リウマチ膠原病内科,病院到着,枠あり予約,1,1
リウマチ膠原病内科,病院到着,枠あり予約,4,1
リウマチ膠原病内科,病院到着,枠なし予約,1,1
リウマチ膠原病内科,終了,枠あり予約,0,98
リウマチ膠原病内科,終了,枠あり予約,1,110
リウマチ膠原病内科,終了,枠あり予約,2,215
リウマチ膠原病内科,終了,枠あり予約,3,169
リウマチ膠原病内科,終了,枠あり予約,4,133
リウマチ膠原病内科,終了,枠なし予約,0,9
リウマチ膠原病内科,終了,枠なし予約,1,23
リウマチ膠原病内科,終了,枠なし予約,2,17
リウマチ膠原病内科,終了,枠なし予約,3,12
リウマチ膠原病内科,終了,枠なし予約,4,18
一般消化器外科,7,枠なし予約,2,1
一般消化器外科,未来院,枠あり予約,0,14
一般消化器外科,未来院,枠あり予約,1,15
一般消化器外科,未来院,枠あり予約,2,14
一般消化器外科,未来院,枠あり予約,3,17
一般消化器外科,未来院,枠あり予約,4,13
一般消化器外科,未来院,枠なし予約,0,1
一般消化器外科,未来院,枠なし予約,1,1
一般消化器外科,未来院,枠なし予約,3,2
一般消化器外科,未来院,,4,1
一般消化器外科,病院到着,枠あり予約,1,1
一般消化器外科,病院到着,枠なし予約,0,5
一般消化器外科,病院到着,枠なし予約,1,2
一般消化器外科,病院到着,枠なし予約,3,1
一般消化器外科,病院到着,枠なし予約,4,2
一般消化器外科,終了,枠あり予約,0,105
一般消化器外科,終了,枠あり予約,1,129
一般消化器外科,終了,枠あり予約,2,205
一般消化器外科,終了,枠あり予約,3,180
一般消化器外科,終了,枠あり予約,4,42
一般消化器外科,終了,枠あり予約,5,1
一般消化器外科,終了,枠あり予約,6,1
一般消化器外科,終了,枠なし予約,0,6
一般消化器外科,終了,枠なし予約,1,7
一般消化器外科,終了,枠なし予約,2,19
一般消化器外科,終了,枠なし予約,3,11
一般消化器外科,終了,枠なし予約,4,11
一般消化器外科,終了,,1,8
一般消化器外科,終了,,3,1
中央処置室,未来院,枠あり予約,0,2
中央処置室,未来院,枠あり予約,2,1
中央処置室,未来院,枠あり予約,4,3
中央処置室,病院到着,枠あり予約,0,26
中央処置室,病院到着,枠あり予約,1,33
中央処置室,病院到着,枠あり予約,2,27
