診療科名,月,診療区分,診察時間_階級,併科受診フラグ,紹介状有無,初再診区分,予約フラグ,診察前検査フラグ,件数
PICCCVポートセンター,2026-04,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,17
PICCCVポートセンター,2026-04,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,30
PICCCVポートセンター,2026-04,薬のみ,10-14分,無,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2026-04,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,なし,2
PICCCVポートセンター,2026-04,薬のみ,5-9分,,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2026-04,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,1
がんゲノム,2026-04,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2026-04,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2026-04,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,なし,1
がんゲノム,2026-04,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2026-04,通常診療,30分以上,,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2026-04,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,4
アレルギー科,2026-04,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,2
アレルギー科,2026-04,薬のみ,10-14分,有,紹介状無し,再診,枠なし予約,なし,2
アレルギー科,2026-04,薬のみ,10-14分,無,紹介状無し,再診,枠なし予約,なし,1
アレルギー科,2026-04,薬のみ,5-9分,有,紹介状無し,再診,枠なし予約,なし,1
アレルギー科,2026-04,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,なし,2
アレルギー科,2026-04,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,11
アレルギー科,2026-04,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,検査済,2
アレルギー科,2026-04,通常診療,0-4分,,紹介状あり,初診,枠あり予約,なし,1
アレルギー科,2026-04,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,17
アレルギー科,2026-04,通常診療,0-4分,,紹介状無し,再診,枠あり予約,検査済,1
アレルギー科,2026-04,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,3
アレルギー科,2026-04,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,検査未,1
アレルギー科,2026-04,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,検査済,2
アレルギー科,2026-04,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,至急済,1
アレルギー科,2026-04,通常診療,10-14分,,紹介状無し,再診,枠あり予約,なし,9
アレルギー科,2026-04,通常診療,10-14分,,紹介状無し,再診,枠あり予約,検査済,4
アレルギー科,2026-04,通常診療,10-14分,,紹介状無し,再診,枠あり予約,至急済,2
アレルギー科,2026-04,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,検査済,1
アレルギー科,2026-04,通常診療,15-29分,無,紹介状無し,再診,枠あり予約,,1
アレルギー科,2026-04,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,3
アレルギー科,2026-04,通常診療,15-29分,,紹介状無し,再診,枠あり予約,検査済,3
アレルギー科,2026-04,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,14
アレルギー科,2026-04,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,検査済,3
アレルギー科,2026-04,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,至急済,2
アレルギー科,2026-04,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,,1
アレルギー科,2026-04,通常診療,5-9分,,紹介状無し,再診,枠あり予約,なし,32
アレルギー科,2026-04,通常診療,5-9分,,紹介状無し,再診,枠あり予約,検査済,12
アレルギー科,2026-04,通常診療,5-9分,,紹介状無し,再診,枠あり予約,至急済,11
アレルギー科,2026-04,通常診療,不明,有,紹介状無し,再診,枠あり予約,なし,1
アレルギー科,2026-04,通常診療,不明,有,紹介状無し,再診,枠あり予約,検査未,1
アレルギー科,2026-04,通常診療,不明,,紹介状無し,再診,枠あり予約,なし,6
アレルギー科,2026-04,通常診療,不明,,紹介状無し,再診,枠あり予約,検査未,1
ソーシャルワーカー,2026-04,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,4
ソーシャルワーカー,2026-04,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,4
ソーシャルワーカー,2026-04,薬のみ,不明,有,紹介状無し,再診,枠なし予約,なし,4
ソーシャルワーカー,2026-04,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,6
ソーシャルワーカー,2026-04,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,12
ソーシャルワーカー,2026-04,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,39
ソーシャルワーカー,2026-04,通常診療,不明,有,紹介状無し,再診,枠あり予約,なし,8
ソーシャルワーカー,2026-04,通常診療,不明,,紹介状無し,再診,枠あり予約,なし,17
メンタルケア科,2026-04,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,8
メンタルケア科,2026-04,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,31
メンタルケア科,2026-04,薬のみ,10-14分,有,紹介状無し,再診,枠なし予約,なし,4
メンタルケア科,2026-04,薬のみ,10-14分,無,紹介状無し,再診,枠なし予約,なし,4
メンタルケア科,2026-04,薬のみ,15-29分,有,紹介状無し,再診,枠なし予約,なし,5
メンタルケア科,2026-04,薬のみ,15-29分,無,紹介状無し,再診,枠なし予約,なし,10
メンタルケア科,2026-04,薬のみ,30分以上,有,紹介状無し,再診,枠なし予約,なし,4
メンタルケア科,2026-04,薬のみ,30分以上,無,紹介状無し,再診,枠なし予約,なし,6
メンタルケア科,2026-04,薬のみ,5-9分,有,紹介状無し,再診,枠なし予約,なし,3
メンタルケア科,2026-04,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,なし,4
メンタルケア科,2026-04,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,3
メンタルケア科,2026-04,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,3
メンタルケア科,2026-04,通常診療,0-4分,無,紹介状無し,再診,枠あり予約,,1
メンタルケア科,2026-04,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,46
メンタルケア科,2026-04,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,5
メンタルケア科,2026-04,通常診療,10-14分,,紹介状無し,再診,枠あり予約,なし,46
メンタルケア科,2026-04,通常診療,10-14分,,紹介状無し,再診,枠あり予約,検査済,2
メンタルケア科,2026-04,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,なし,9
メンタルケア科,2026-04,通常診療,15-29分,無,紹介状無し,再診,枠あり予約,なし,3
メンタルケア科,2026-04,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,29
メンタルケア科,2026-04,通常診療,30分以上,有,紹介状無し,再診,枠あり予約,なし,2
メンタルケア科,2026-04,通常診療,30分以上,,紹介状無し,再診,枠あり予約,なし,11
メンタルケア科,2026-04,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,6
メンタルケア科,2026-04,通常診療,5-9分,,紹介状無し,再診,枠あり予約,なし,43
メンタルケア科,2026-04,通常診療,5-9分,,紹介状無し,再診,枠あり予約,検査済,3
メンタルケア科,2026-04,通常診療,不明,,紹介状無し,再診,枠あり予約,なし,11
リウマチ膠原病内科,2026-04,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,20
リウマチ膠原病内科,2026-04,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,22
リウマチ膠原病内科,2026-04,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,検査済,1
リウマチ膠原病内科,2026-04,薬のみ,10-14分,有,紹介状無し,再診,枠なし予約,なし,4
