診療科名,予約担当者匿名ID,予約名称,初再診区分,紹介状有無,月,件数
PICCCVポートセンター,DR_XX009,SL_0009,再診,紹介状無し,2026-04,52
がんゲノム,DR_ON001,SL_0088,再診,紹介状無し,2026-04,13
アレルギー科,DR_AL001,SL_0009,再診,紹介状無し,2026-04,2
アレルギー科,DR_AL001,SL_0033,再診,紹介状無し,2026-04,29
アレルギー科,DR_AL002,SL_0009,再診,紹介状無し,2026-04,4
アレルギー科,DR_AL002,SL_0189,再診,紹介状無し,2026-04,44
アレルギー科,DR_AL002,SL_0628,初診,紹介状あり,2026-04,1
アレルギー科,DR_RS2003,SL_0009,再診,紹介状無し,2026-04,2
アレルギー科,DR_RS2003,SL_0061,再診,紹介状無し,2026-04,42
アレルギー科,DR_RS2003,SL_0361,再診,紹介状無し,2026-04,5
アレルギー科,DR_RS2005,SL_0100,再診,紹介状無し,2026-04,24
アレルギー科,DR_RS2005,SL_0652,再診,紹介状無し,2026-04,1
ソーシャルワーカー,DR_XX001,SL_0009,再診,紹介状無し,2026-04,15
ソーシャルワーカー,DR_XX001,SL_0011,再診,紹介状無し,2026-04,76
ソーシャルワーカー,DR_XX030,SL_0009,再診,紹介状無し,2026-04,1
ソーシャルワーカー,DR_XX031,SL_0009,再診,紹介状無し,2026-04,1
ソーシャルワーカー,DR_XX034,SL_0009,再診,紹介状無し,2026-04,1
メンタルケア科,DR_MN001,SL_0043,再診,紹介状無し,2026-04,126
メンタルケア科,DR_MN001,SL_0624,再診,紹介状無し,2026-04,6
メンタルケア科,DR_MN002,SL_0009,再診,紹介状無し,2026-04,78
メンタルケア科,DR_MN002,SL_0552,再診,紹介状無し,2026-04,1
メンタルケア科,DR_MN003,SL_0009,再診,紹介状無し,2026-04,2
メンタルケア科,DR_MN003,SL_0084,再診,紹介状無し,2026-04,39
メンタルケア科,DR_MN004,SL_0009,再診,紹介状無し,2026-04,1
メンタルケア科,DR_MN004,SL_0255,再診,紹介状無し,2026-04,37
メンタルケア科,DR_MN004,SL_0545,再診,紹介状無し,2026-04,4
メンタルケア科,DR_MN005,SL_0609,再診,紹介状無し,2026-04,4
メンタルケア科,DR_MN006,SL_0005,再診,紹介状無し,2026-04,1
メンタルケア科,DR_MN007,SL_0009,再診,紹介状無し,2026-04,1
メンタルケア科,DR_MN008,SL_0678,再診,紹介状無し,2026-04,2
リウマチ膠原病内科,DR_RH001,SL_0008,再診,紹介状無し,2026-04,37
リウマチ膠原病内科,DR_RH001,SL_0009,再診,紹介状無し,2026-04,3
リウマチ膠原病内科,DR_RH001,SL_0299,初診,紹介状あり,2026-04,2
リウマチ膠原病内科,DR_RH001,SL_0299,初診,紹介状無し,2026-04,1
リウマチ膠原病内科,DR_RH002,SL_0009,再診,紹介状無し,2026-04,6
リウマチ膠原病内科,DR_RH002,SL_0014,再診,紹介状無し,2026-04,53
リウマチ膠原病内科,DR_RH002,SL_0426,初診,紹介状あり,2026-04,3
リウマチ膠原病内科,DR_RH002,SL_0682,再診,紹介状無し,2026-04,1
リウマチ膠原病内科,DR_RH003,SL_0009,再診,紹介状無し,2026-04,15
リウマチ膠原病内科,DR_RH003,SL_0065,初診,紹介状あり,2026-04,3
リウマチ膠原病内科,DR_RH003,SL_0066,再診,紹介状無し,2026-04,102
リウマチ膠原病内科,DR_RH003,SL_0526,再診,紹介状無し,2026-04,4
リウマチ膠原病内科,DR_RH004,SL_0009,再診,紹介状無し,2026-04,1
リウマチ膠原病内科,DR_RH004,SL_0139,再診,紹介状無し,2026-04,75
リウマチ膠原病内科,DR_RH004,SL_0498,初診,紹介状あり,2026-04,2
リウマチ膠原病内科,DR_RH005,SL_0009,再診,紹介状無し,2026-04,5
リウマチ膠原病内科,DR_RH005,SL_0156,再診,紹介状無し,2026-04,35
リウマチ膠原病内科,DR_RH006,SL_0009,再診,紹介状無し,2026-04,7
リウマチ膠原病内科,DR_RH006,SL_0174,再診,紹介状無し,2026-04,117
リウマチ膠原病内科,DR_RH006,SL_0496,初診,紹介状あり,2026-04,2
リウマチ膠原病内科,DR_RH006,SL_0611,再診,紹介状無し,2026-04,1
リウマチ膠原病内科,DR_RH007,SL_0009,再診,紹介状無し,2026-04,29
リウマチ膠原病内科,DR_RH007,SL_0176,再診,紹介状無し,2026-04,5
リウマチ膠原病内科,DR_RH008,SL_0009,再診,紹介状無し,2026-04,2
リウマチ膠原病内科,DR_RH008,SL_0201,再診,紹介状無し,2026-04,16
リウマチ膠原病内科,DR_RH009,SL_0009,再診,紹介状無し,2026-04,11
リウマチ膠原病内科,DR_RH009,SL_0210,再診,紹介状無し,2026-04,201
リウマチ膠原病内科,DR_RH009,SL_0340,再診,紹介状無し,2026-04,4
リウマチ膠原病内科,DR_RH009,SL_0382,再診,紹介状無し,2026-04,1
リウマチ膠原病内科,DR_RH009,SL_0534,初診,紹介状あり,2026-04,2
リウマチ膠原病内科,DR_RH009,SL_0646,初診,紹介状あり,2026-04,1
リウマチ膠原病内科,DR_RH009,SL_0692,初診,紹介状あり,2026-04,2
リウマチ膠原病内科,DR_RH010,SL_0009,再診,紹介状無し,2026-04,6
リウマチ膠原病内科,DR_RH010,SL_0222,再診,紹介状無し,2026-04,66
リウマチ膠原病内科,DR_RH011,SL_0009,再診,紹介状無し,2026-04,1
リウマチ膠原病内科,DR_RH011,SL_0368,再診,紹介状無し,2026-04,7
リウマチ膠原病内科,DR_RH012,SL_0005,再診,紹介状無し,2026-04,5
リウマチ膠原病内科,DR_RH013,SL_0596,再診,紹介状無し,2026-04,3
一般消化器外科,DR_BR005,SL_0009,再診,紹介状無し,2026-04,22
一般消化器外科,DR_BR005,SL_0516,再診,紹介状無し,2026-04,9
一般消化器外科,DR_GS001,SL_0021,再診,紹介状無し,2026-04,4
一般消化器外科,DR_GS001,SL_0022,再診,紹介状無し,2026-04,160
一般消化器外科,DR_GS001,SL_0454,再診,紹介状無し,2026-04,2
一般消化器外科,DR_GS001,SL_0454,初診,紹介状あり,2026-04,2
一般消化器外科,DR_GS001,SL_0696,初診,紹介状あり,2026-04,1
一般消化器外科,DR_GS002,SL_0009,再診,紹介状無し,2026-04,2
一般消化器外科,DR_GS002,SL_0085,再診,紹介状無し,2026-04,66
一般消化器外科,DR_GS002,SL_0085,初診,紹介状あり,2026-04,2
一般消化器外科,DR_GS002,SL_0568,再診,紹介状無し,2026-04,3
一般消化器外科,DR_GS002,SL_0601,初診,紹介状あり,2026-04,2
一般消化器外科,DR_GS003,SL_0009,再診,紹介状無し,2026-04,7
一般消化器外科,DR_GS003,SL_0102,再診,紹介状無し,2026-04,1
一般消化器外科,DR_GS003,SL_0102,初診,紹介状あり,2026-04,9
一般消化器外科,DR_GS003,SL_0103,再診,紹介状無し,2026-04,134
一般消化器外科,DR_GS003,SL_0280,再診,紹介状無し,2026-04,7
一般消化器外科,DR_GS003,SL_0407,初診,紹介状あり,2026-04,7
一般消化器外科,DR_GS004,SL_0009,再診,紹介状無し,2026-04,9
一般消化器外科,DR_GS004,SL_0109,再診,紹介状無し,2026-04,58
一般消化器外科,DR_GS004,SL_0109,初診,紹介状あり,2026-04,1
一般消化器外科,DR_GS004,SL_0353,再診,紹介状無し,2026-04,3
