診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2026-04,52,47,0.904,52,1.0,0.0,96.8
がんゲノム,DR_ON001,SL_0088,2026-04,13,2,0.154,13,1.0,10.0,63.5
アレルギー科,DR_RS2003,SL_0061,2026-04,42,18,0.429,42,1.0,5.0,76.8
アレルギー科,DR_RS2005,SL_0100,2026-04,24,5,0.208,24,1.0,6.0,68.6
アレルギー科,DR_AL001,SL_0033,2026-04,29,4,0.138,29,1.0,7.0,65.4
アレルギー科,DR_AL002,SL_0189,2026-04,44,3,0.068,44,1.0,7.0,63.1
アレルギー科,DR_AL001,SL_0009,2026-04,2,0,0.0,2,1.0,13.0,
アレルギー科,DR_AL002,SL_0009,2026-04,4,1,0.25,4,1.0,6.5,
アレルギー科,DR_RS2003,SL_0009,2026-04,2,1,0.5,2,1.0,3.5,
アレルギー科,DR_RS2003,SL_0361,2026-04,5,1,0.2,5,1.0,5.0,
アレルギー科,DR_RS2005,SL_0652,2026-04,1,0,0.0,1,1.0,,
ソーシャルワーカー,DR_XX001,SL_0011,2026-04,76,51,0.671,76,1.0,0.0,89.0
ソーシャルワーカー,DR_XX001,SL_0009,2026-04,15,7,0.467,15,1.0,0.0,82.2
ソーシャルワーカー,DR_XX030,SL_0009,2026-04,1,0,0.0,1,1.0,,
ソーシャルワーカー,DR_XX031,SL_0009,2026-04,1,0,0.0,1,1.0,,
ソーシャルワーカー,DR_XX034,SL_0009,2026-04,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN002,SL_0009,2026-04,78,39,0.5,78,1.0,4.0,80.0
メンタルケア科,DR_MN004,SL_0255,2026-04,37,12,0.324,37,1.0,7.0,71.6
メンタルケア科,DR_MN001,SL_0043,2026-04,126,27,0.214,126,1.0,9.0,66.3
メンタルケア科,DR_MN003,SL_0084,2026-04,39,1,0.026,39,1.0,17.0,53.4
メンタルケア科,DR_MN001,SL_0624,2026-04,6,2,0.333,6,1.0,36.5,
メンタルケア科,DR_MN002,SL_0552,2026-04,1,1,1.0,1,1.0,1.0,
メンタルケア科,DR_MN003,SL_0009,2026-04,2,0,0.0,2,1.0,94.0,
メンタルケア科,DR_MN004,SL_0009,2026-04,1,0,0.0,1,1.0,36.0,
メンタルケア科,DR_MN004,SL_0545,2026-04,4,1,0.25,4,1.0,29.5,
メンタルケア科,DR_MN005,SL_0609,2026-04,4,4,1.0,4,1.0,0.0,
メンタルケア科,DR_MN006,SL_0005,2026-04,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN007,SL_0009,2026-04,1,0,0.0,1,1.0,12.0,
メンタルケア科,DR_MN008,SL_0678,2026-04,2,2,1.0,2,1.0,0.0,
リウマチ膠原病内科,DR_RH005,SL_0156,2026-04,35,24,0.686,35,1.0,0.0,89.5
リウマチ膠原病内科,DR_RH007,SL_0009,2026-04,29,20,0.69,29,1.0,1.5,88.4
リウマチ膠原病内科,DR_RH009,SL_0009,2026-04,11,6,0.545,11,1.0,3.0,82.3
リウマチ膠原病内科,DR_RH004,SL_0139,2026-04,75,34,0.453,75,1.0,5.0,77.6
リウマチ膠原病内科,DR_RH009,SL_0210,2026-04,201,73,0.363,201,1.0,5.0,74.6
リウマチ膠原病内科,DR_RH003,SL_0066,2026-04,102,36,0.353,102,1.0,6.0,73.4
リウマチ膠原病内科,DR_RH003,SL_0009,2026-04,15,4,0.267,15,1.0,6.0,70.6
リウマチ膠原病内科,DR_RH010,SL_0222,2026-04,66,15,0.227,66,1.0,6.0,69.2
リウマチ膠原病内科,DR_RH006,SL_0174,2026-04,117,10,0.085,117,1.0,8.5,62.4
リウマチ膠原病内科,DR_RH001,SL_0008,2026-04,37,2,0.054,37,1.0,8.0,61.8
リウマチ膠原病内科,DR_RH002,SL_0014,2026-04,53,2,0.038,53,1.0,11.0,58.8
リウマチ膠原病内科,DR_RH008,SL_0201,2026-04,16,0,0.0,16,1.0,14.0,55.0
