診療科名,予約担当者匿名ID,曜日,初再診区分,紹介状有無,件数
PICCCVポートセンター,DR_XX009,0,再診,紹介状無し,15
PICCCVポートセンター,DR_XX009,1,再診,紹介状無し,9
PICCCVポートセンター,DR_XX009,2,再診,紹介状無し,6
PICCCVポートセンター,DR_XX009,3,再診,紹介状無し,9
PICCCVポートセンター,DR_XX009,4,再診,紹介状無し,13
がんゲノム,DR_ON001,0,再診,紹介状無し,2
がんゲノム,DR_ON001,1,再診,紹介状無し,11
アレルギー科,DR_AL001,2,再診,紹介状無し,31
アレルギー科,DR_AL002,3,再診,紹介状無し,48
アレルギー科,DR_AL002,3,初診,紹介状あり,1
アレルギー科,DR_RS2003,1,再診,紹介状無し,49
アレルギー科,DR_RS2005,0,再診,紹介状無し,25
ソーシャルワーカー,DR_XX001,0,再診,紹介状無し,18
ソーシャルワーカー,DR_XX001,1,再診,紹介状無し,14
ソーシャルワーカー,DR_XX001,2,再診,紹介状無し,25
ソーシャルワーカー,DR_XX001,3,再診,紹介状無し,16
ソーシャルワーカー,DR_XX001,4,再診,紹介状無し,18
ソーシャルワーカー,DR_XX030,0,再診,紹介状無し,1
ソーシャルワーカー,DR_XX031,3,再診,紹介状無し,1
ソーシャルワーカー,DR_XX034,2,再診,紹介状無し,1
メンタルケア科,DR_MN001,0,再診,紹介状無し,6
メンタルケア科,DR_MN001,2,再診,紹介状無し,126
メンタルケア科,DR_MN002,0,再診,紹介状無し,12
メンタルケア科,DR_MN002,1,再診,紹介状無し,15
メンタルケア科,DR_MN002,2,再診,紹介状無し,30
メンタルケア科,DR_MN002,3,再診,紹介状無し,12
メンタルケア科,DR_MN002,4,再診,紹介状無し,10
メンタルケア科,DR_MN003,1,再診,紹介状無し,39
メンタルケア科,DR_MN003,4,再診,紹介状無し,2
メンタルケア科,DR_MN004,0,再診,紹介状無し,37
メンタルケア科,DR_MN004,3,再診,紹介状無し,5
メンタルケア科,DR_MN005,2,再診,紹介状無し,1
メンタルケア科,DR_MN005,3,再診,紹介状無し,3
メンタルケア科,DR_MN006,2,再診,紹介状無し,1
メンタルケア科,DR_MN007,3,再診,紹介状無し,1
メンタルケア科,DR_MN008,0,再診,紹介状無し,1
メンタルケア科,DR_MN008,3,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH001,2,再診,紹介状無し,40
リウマチ膠原病内科,DR_RH001,2,初診,紹介状あり,2
リウマチ膠原病内科,DR_RH001,2,初診,紹介状無し,1
リウマチ膠原病内科,DR_RH002,2,再診,紹介状無し,60
リウマチ膠原病内科,DR_RH002,2,初診,紹介状あり,3
リウマチ膠原病内科,DR_RH003,1,再診,紹介状無し,77
リウマチ膠原病内科,DR_RH003,1,初診,紹介状あり,3
リウマチ膠原病内科,DR_RH003,4,再診,紹介状無し,44
リウマチ膠原病内科,DR_RH004,0,再診,紹介状無し,40
リウマチ膠原病内科,DR_RH004,0,初診,紹介状あり,2
リウマチ膠原病内科,DR_RH004,3,再診,紹介状無し,36
リウマチ膠原病内科,DR_RH005,0,再診,紹介状無し,4
リウマチ膠原病内科,DR_RH005,1,再診,紹介状無し,11
リウマチ膠原病内科,DR_RH005,2,再診,紹介状無し,9
リウマチ膠原病内科,DR_RH005,3,再診,紹介状無し,3
リウマチ膠原病内科,DR_RH005,4,再診,紹介状無し,13
リウマチ膠原病内科,DR_RH006,0,再診,紹介状無し,48
リウマチ膠原病内科,DR_RH006,0,初診,紹介状あり,2
リウマチ膠原病内科,DR_RH006,3,再診,紹介状無し,43
リウマチ膠原病内科,DR_RH006,4,再診,紹介状無し,34
リウマチ膠原病内科,DR_RH007,0,再診,紹介状無し,6
リウマチ膠原病内科,DR_RH007,1,再診,紹介状無し,13
リウマチ膠原病内科,DR_RH007,2,再診,紹介状無し,6
リウマチ膠原病内科,DR_RH007,3,再診,紹介状無し,5
リウマチ膠原病内科,DR_RH007,4,再診,紹介状無し,4
リウマチ膠原病内科,DR_RH008,3,再診,紹介状無し,18
リウマチ膠原病内科,DR_RH009,2,再診,紹介状無し,81
リウマチ膠原病内科,DR_RH009,2,初診,紹介状あり,2
リウマチ膠原病内科,DR_RH009,3,再診,紹介状無し,80
リウマチ膠原病内科,DR_RH009,3,初診,紹介状あり,3
リウマチ膠原病内科,DR_RH009,4,再診,紹介状無し,56
リウマチ膠原病内科,DR_RH010,1,再診,紹介状無し,38
リウマチ膠原病内科,DR_RH010,2,再診,紹介状無し,34
リウマチ膠原病内科,DR_RH011,0,再診,紹介状無し,6
リウマチ膠原病内科,DR_RH011,4,再診,紹介状無し,2
リウマチ膠原病内科,DR_RH012,0,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH012,1,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH012,2,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH012,3,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH012,4,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH013,0,再診,紹介状無し,3
一般消化器外科,DR_BR005,0,再診,紹介状無し,5
一般消化器外科,DR_BR005,1,再診,紹介状無し,6
一般消化器外科,DR_BR005,2,再診,紹介状無し,14
一般消化器外科,DR_BR005,3,再診,紹介状無し,1
一般消化器外科,DR_BR005,4,再診,紹介状無し,5
一般消化器外科,DR_GS001,2,再診,紹介状無し,166
