診療科名,予約名称,区分,曜日,bin_idx,bin_label,稼働日数,該当日数,稼働頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
アレルギー科,SL_0033,薬再診,2,3,09:30,1,4,0.25,1,5,0.25,1.2
アレルギー科,SL_0033,薬再診,2,5,10:30,1,4,0.25,1,3,0.25,0.8
アレルギー科,SL_0033,薬再診,2,6,11:00,1,4,0.25,1,2,0.25,0.5
アレルギー科,SL_0061,全体,1,2,09:00,3,4,0.75,9,48,2.25,12.0
アレルギー科,SL_0061,全体,1,3,09:30,4,4,1.0,12,78,3.0,19.5
アレルギー科,SL_0061,全体,1,4,10:00,4,4,1.0,12,54,3.0,13.5
アレルギー科,SL_0061,全体,1,5,10:30,4,4,1.0,6,42,1.5,10.5
アレルギー科,SL_0061,全体,1,6,11:00,2,4,0.5,5,26,1.25,6.5
アレルギー科,SL_0061,全体,1,7,11:30,4,4,1.0,6,44,1.5,11.0
アレルギー科,SL_0061,全体,1,8,12:00,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0061,再診,1,2,09:00,3,4,0.75,9,48,2.25,12.0
アレルギー科,SL_0061,再診,1,3,09:30,4,4,1.0,12,78,3.0,19.5
アレルギー科,SL_0061,再診,1,4,10:00,4,4,1.0,12,54,3.0,13.5
アレルギー科,SL_0061,再診,1,5,10:30,4,4,1.0,6,42,1.5,10.5
アレルギー科,SL_0061,再診,1,6,11:00,2,4,0.5,5,26,1.25,6.5
アレルギー科,SL_0061,再診,1,7,11:30,4,4,1.0,6,44,1.5,11.0
アレルギー科,SL_0061,再診,1,8,12:00,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0061,薬再診,1,2,09:00,3,4,0.75,6,24,1.5,6.0
アレルギー科,SL_0061,薬再診,1,3,09:30,3,4,0.75,4,10,1.0,2.5
アレルギー科,SL_0061,薬再診,1,4,10:00,1,4,0.25,3,12,0.75,3.0
アレルギー科,SL_0061,薬再診,1,6,11:00,1,4,0.25,1,2,0.25,0.5
アレルギー科,SL_0100,全体,0,3,09:30,3,4,0.75,9,67,2.25,16.8
アレルギー科,SL_0100,全体,0,4,10:00,3,4,0.75,7,44,1.75,11.0
アレルギー科,SL_0100,全体,0,5,10:30,2,4,0.5,6,39,1.5,9.8
アレルギー科,SL_0100,再診,0,3,09:30,3,4,0.75,9,67,2.25,16.8
アレルギー科,SL_0100,再診,0,4,10:00,3,4,0.75,7,44,1.75,11.0
アレルギー科,SL_0100,再診,0,5,10:30,2,4,0.5,6,39,1.5,9.8
アレルギー科,SL_0100,薬再診,0,3,09:30,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0189,全体,3,2,09:00,1,5,0.2,1,3,0.2,0.6
アレルギー科,SL_0189,全体,3,3,09:30,4,5,0.8,9,52,1.8,10.4
アレルギー科,SL_0189,全体,3,4,10:00,4,5,0.8,10,74,2.0,14.8
アレルギー科,SL_0189,全体,3,5,10:30,4,5,0.8,8,76,1.6,15.2
アレルギー科,SL_0189,全体,3,6,11:00,3,5,0.6,7,49,1.4,9.8
アレルギー科,SL_0189,全体,3,7,11:30,1,5,0.2,3,29,0.6,5.8
アレルギー科,SL_0189,全体,3,8,12:00,2,5,0.4,3,23,0.6,4.6
アレルギー科,SL_0189,全体,3,9,12:30,1,5,0.2,1,2,0.2,0.4
アレルギー科,SL_0189,再診,3,2,09:00,1,5,0.2,1,3,0.2,0.6
アレルギー科,SL_0189,再診,3,3,09:30,4,5,0.8,9,52,1.8,10.4
アレルギー科,SL_0189,再診,3,4,10:00,4,5,0.8,10,74,2.0,14.8
アレルギー科,SL_0189,再診,3,5,10:30,4,5,0.8,8,76,1.6,15.2
アレルギー科,SL_0189,再診,3,6,11:00,3,5,0.6,7,49,1.4,9.8
アレルギー科,SL_0189,再診,3,7,11:30,1,5,0.2,3,29,0.6,5.8
アレルギー科,SL_0189,再診,3,8,12:00,2,5,0.4,3,23,0.6,4.6
アレルギー科,SL_0189,再診,3,9,12:30,1,5,0.2,1,2,0.2,0.4
アレルギー科,SL_0189,薬再診,3,4,10:00,1,5,0.2,1,4,0.2,0.8
アレルギー科,SL_0189,薬再診,3,6,11:00,1,5,0.2,1,4,0.2,0.8
アレルギー科,SL_0361,全体,1,3,09:30,1,4,0.25,1,7,0.25,1.8
アレルギー科,SL_0361,全体,1,4,10:00,3,4,0.75,3,20,0.75,5.0
アレルギー科,SL_0361,全体,1,5,10:30,1,4,0.25,1,6,0.25,1.5
アレルギー科,SL_0361,全体,1,6,11:00,3,4,0.75,3,18,0.75,4.5
アレルギー科,SL_0361,再診,1,3,09:30,1,4,0.25,1,7,0.25,1.8
アレルギー科,SL_0361,再診,1,4,10:00,3,4,0.75,3,20,0.75,5.0
アレルギー科,SL_0361,再診,1,5,10:30,1,4,0.25,1,6,0.25,1.5
アレルギー科,SL_0361,再診,1,6,11:00,3,4,0.75,3,18,0.75,4.5
アレルギー科,SL_0361,薬再診,1,4,10:00,1,4,0.25,1,4,0.25,1.0
アレルギー科,SL_0361,薬再診,1,6,11:00,1,4,0.25,1,3,0.25,0.8
アレルギー科,SL_0444,全体,1,5,10:30,1,4,0.25,1,21,0.25,5.2
アレルギー科,SL_0444,全体,1,6,11:00,1,4,0.25,1,1,0.25,0.2
アレルギー科,SL_0444,初診,1,5,10:30,1,4,0.25,1,21,0.25,5.2
アレルギー科,SL_0444,初診,1,6,11:00,1,4,0.25,1,1,0.25,0.2
メンタルケア科,SL_0009,全体,0,0,08:00,2,4,0.5,2,7,0.5,1.8
メンタルケア科,SL_0009,全体,0,1,08:30,1,4,0.25,1,8,0.25,2.0
メンタルケア科,SL_0009,全体,0,2,09:00,1,4,0.25,1,2,0.25,0.5
メンタルケア科,SL_0009,全体,0,3,09:30,2,4,0.5,2,22,0.5,5.5
メンタルケア科,SL_0009,全体,0,4,10:00,1,4,0.25,1,13,0.25,3.2
メンタルケア科,SL_0009,全体,0,7,11:30,1,4,0.25,1,10,0.25,2.5
メンタルケア科,SL_0009,全体,0,8,12:00,1,4,0.25,2,35,0.5,8.8
メンタルケア科,SL_0009,全体,0,9,12:30,1,4,0.25,1,4,0.25,1.0
メンタルケア科,SL_0009,全体,0,10,13:00,2,4,0.5,2,10,0.5,2.5
メンタルケア科,SL_0009,全体,0,12,14:00,2,4,0.5,2,14,0.5,3.5
メンタルケア科,SL_0009,全体,0,13,14:30,1,4,0.25,3,29,0.75,7.2
メンタルケア科,SL_0009,全体,0,14,15:00,1,4,0.25,1,21,0.25,5.2
メンタルケア科,SL_0009,全体,1,2,09:00,1,4,0.25,1,2,0.25,0.5
メンタルケア科,SL_0009,全体,1,3,09:30,1,4,0.25,1,11,0.25,2.8
メンタルケア科,SL_0009,全体,1,9,12:30,1,4,0.25,1,13,0.25,3.2
メンタルケア科,SL_0009,全体,1,10,13:00,1,4,0.25,1,6,0.25,1.5
メンタルケア科,SL_0009,全体,1,11,13:30,2,4,0.5,2,53,0.5,13.2
メンタルケア科,SL_0009,全体,1,12,14:00,3,4,0.75,4,62,1.0,15.5
メンタルケア科,SL_0009,全体,1,13,14:30,2,4,0.5,2,36,0.5,9.0
メンタルケア科,SL_0009,全体,1,14,15:00,2,4,0.5,2,25,0.5,6.2
メンタルケア科,SL_0009,全体,1,15,15:30,1,4,0.25,1,14,0.25,3.5
メンタルケア科,SL_0009,全体,1,16,16:00,1,4,0.25,1,16,0.25,4.0
メンタルケア科,SL_0009,全体,2,2,09:00,2,4,0.5,2,12,0.5,3.0
メンタルケア科,SL_0009,全体,2,3,09:30,2,4,0.5,2,15,0.5,3.8
メンタルケア科,SL_0009,全体,2,6,11:00,1,4,0.25,1,24,0.25,6.0
メンタルケア科,SL_0009,全体,2,7,11:30,1,4,0.25,1,4,0.25,1.0
メンタルケア科,SL_0009,全体,2,8,12:00,1,4,0.25,1,30,0.25,7.5
メンタルケア科,SL_0009,全体,2,9,12:30,1,4,0.25,2,32,0.5,8.0
メンタルケア科,SL_0009,全体,2,10,13:00,1,4,0.25,2,58,0.5,14.5
メンタルケア科,SL_0009,全体,2,11,13:30,1,4,0.25,2,47,0.5,11.8
メンタルケア科,SL_0009,全体,2,12,14:00,2,4,0.5,4,32,1.0,8.0
メンタルケア科,SL_0009,全体,2,13,14:30,2,4,0.5,2,47,0.5,11.8
メンタルケア科,SL_0009,全体,2,14,15:00,1,4,0.25,1,1,0.25,0.2
メンタルケア科,SL_0009,全体,2,15,15:30,1,4,0.25,1,14,0.25,3.5
メンタルケア科,SL_0009,全体,3,2,09:00,1,5,0.2,1,11,0.2,2.2
メンタルケア科,SL_0009,全体,3,3,09:30,2,5,0.4,2,20,0.4,4.0
メンタルケア科,SL_0009,全体,3,5,10:30,1,5,0.2,1,24,0.2,4.8
メンタルケア科,SL_0009,全体,3,6,11:00,2,5,0.4,3,55,0.6,11.0
メンタルケア科,SL_0009,全体,3,7,11:30,3,5,0.6,3,21,0.6,4.2
メンタルケア科,SL_0009,全体,3,8,12:00,1,5,0.2,1,8,0.2,1.6
メンタルケア科,SL_0009,全体,3,14,15:00,1,5,0.2,1,26,0.2,5.2
メンタルケア科,SL_0009,全体,3,15,15:30,2,5,0.4,2,33,0.4,6.6
メンタルケア科,SL_0009,全体,3,16,16:00,1,5,0.2,1,30,0.2,6.0
メンタルケア科,SL_0009,全体,3,17,16:30,1,5,0.2,1,6,0.2,1.2
メンタルケア科,SL_0009,全体,4,5,10:30,1,5,0.2,1,6,0.2,1.2
メンタルケア科,SL_0009,全体,4,6,11:00,1,5,0.2,2,42,0.4,8.4
メンタルケア科,SL_0009,全体,4,7,11:30,1,5,0.2,1,10,0.2,2.0
メンタルケア科,SL_0009,全体,4,8,12:00,1,5,0.2,1,2,0.2,0.4
メンタルケア科,SL_0009,全体,4,11,13:30,1,5,0.2,2,14,0.4,2.8
メンタルケア科,SL_0009,全体,4,12,14:00,1,5,0.2,1,9,0.2,1.8
メンタルケア科,SL_0009,再診,0,0,08:00,2,4,0.5,2,7,0.5,1.8
メンタルケア科,SL_0009,再診,0,1,08:30,1,4,0.25,1,8,0.25,2.0
メンタルケア科,SL_0009,再診,0,2,09:00,1,4,0.25,1,2,0.25,0.5
メンタルケア科,SL_0009,再診,0,3,09:30,2,4,0.5,2,22,0.5,5.5
メンタルケア科,SL_0009,再診,0,4,10:00,1,4,0.25,1,13,0.25,3.2
メンタルケア科,SL_0009,再診,0,7,11:30,1,4,0.25,1,10,0.25,2.5
メンタルケア科,SL_0009,再診,0,8,12:00,1,4,0.25,2,35,0.5,8.8
メンタルケア科,SL_0009,再診,0,9,12:30,1,4,0.25,1,4,0.25,1.0
メンタルケア科,SL_0009,再診,0,10,13:00,2,4,0.5,2,10,0.5,2.5
メンタルケア科,SL_0009,再診,0,12,14:00,2,4,0.5,2,14,0.5,3.5
メンタルケア科,SL_0009,再診,0,13,14:30,1,4,0.25,3,29,0.75,7.2
メンタルケア科,SL_0009,再診,0,14,15:00,1,4,0.25,1,21,0.25,5.2
メンタルケア科,SL_0009,再診,1,2,09:00,1,4,0.25,1,2,0.25,0.5
メンタルケア科,SL_0009,再診,1,3,09:30,1,4,0.25,1,11,0.25,2.8
メンタルケア科,SL_0009,再診,1,9,12:30,1,4,0.25,1,13,0.25,3.2
メンタルケア科,SL_0009,再診,1,10,13:00,1,4,0.25,1,6,0.25,1.5
メンタルケア科,SL_0009,再診,1,11,13:30,2,4,0.5,2,53,0.5,13.2
メンタルケア科,SL_0009,再診,1,12,14:00,3,4,0.75,4,62,1.0,15.5
メンタルケア科,SL_0009,再診,1,13,14:30,2,4,0.5,2,36,0.5,9.0
メンタルケア科,SL_0009,再診,1,14,15:00,2,4,0.5,2,25,0.5,6.2
メンタルケア科,SL_0009,再診,1,15,15:30,1,4,0.25,1,14,0.25,3.5
メンタルケア科,SL_0009,再診,1,16,16:00,1,4,0.25,1,16,0.25,4.0
メンタルケア科,SL_0009,再診,2,2,09:00,2,4,0.5,2,12,0.5,3.0
メンタルケア科,SL_0009,再診,2,3,09:30,2,4,0.5,2,15,0.5,3.8
メンタルケア科,SL_0009,再診,2,6,11:00,1,4,0.25,1,24,0.25,6.0
メンタルケア科,SL_0009,再診,2,7,11:30,1,4,0.25,1,4,0.25,1.0
メンタルケア科,SL_0009,再診,2,8,12:00,1,4,0.25,1,30,0.25,7.5
メンタルケア科,SL_0009,再診,2,9,12:30,1,4,0.25,2,32,0.5,8.0
メンタルケア科,SL_0009,再診,2,10,13:00,1,4,0.25,2,58,0.5,14.5
メンタルケア科,SL_0009,再診,2,11,13:30,1,4,0.25,2,47,0.5,11.8
メンタルケア科,SL_0009,再診,2,12,14:00,2,4,0.5,4,32,1.0,8.0
メンタルケア科,SL_0009,再診,2,13,14:30,2,4,0.5,2,47,0.5,11.8
メンタルケア科,SL_0009,再診,2,14,15:00,1,4,0.25,1,1,0.25,0.2
メンタルケア科,SL_0009,再診,2,15,15:30,1,4,0.25,1,14,0.25,3.5
メンタルケア科,SL_0009,再診,3,2,09:00,1,5,0.2,1,11,0.2,2.2
メンタルケア科,SL_0009,再診,3,3,09:30,2,5,0.4,2,20,0.4,4.0
メンタルケア科,SL_0009,再診,3,5,10:30,1,5,0.2,1,24,0.2,4.8
メンタルケア科,SL_0009,再診,3,6,11:00,2,5,0.4,3,55,0.6,11.0
メンタルケア科,SL_0009,再診,3,7,11:30,3,5,0.6,3,21,0.6,4.2
メンタルケア科,SL_0009,再診,3,8,12:00,1,5,0.2,1,8,0.2,1.6
メンタルケア科,SL_0009,再診,3,14,15:00,1,5,0.2,1,26,0.2,5.2
メンタルケア科,SL_0009,再診,3,15,15:30,2,5,0.4,2,33,0.4,6.6
メンタルケア科,SL_0009,再診,3,16,16:00,1,5,0.2,1,30,0.2,6.0
メンタルケア科,SL_0009,再診,3,17,16:30,1,5,0.2,1,6,0.2,1.2
メンタルケア科,SL_0009,再診,4,5,10:30,1,5,0.2,1,6,0.2,1.2
メンタルケア科,SL_0009,再診,4,6,11:00,1,5,0.2,2,42,0.4,8.4
メンタルケア科,SL_0009,再診,4,7,11:30,1,5,0.2,1,10,0.2,2.0
メンタルケア科,SL_0009,再診,4,8,12:00,1,5,0.2,1,2,0.2,0.4
メンタルケア科,SL_0009,再診,4,11,13:30,1,5,0.2,2,14,0.4,2.8
メンタルケア科,SL_0009,再診,4,12,14:00,1,5,0.2,1,9,0.2,1.8
メンタルケア科,SL_0009,薬再診,0,8,12:00,1,4,0.25,1,5,0.25,1.2
メンタルケア科,SL_0009,薬再診,0,10,13:00,1,4,0.25,1,2,0.25,0.5
メンタルケア科,SL_0009,薬再診,2,2,09:00,1,4,0.25,1,3,0.25,0.8
メンタルケア科,SL_0009,薬再診,2,3,09:30,1,4,0.25,1,1,0.25,0.2
メンタルケア科,SL_0009,薬再診,4,8,12:00,1,5,0.2,1,2,0.2,0.4
メンタルケア科,SL_0043,全体,2,1,08:30,4,4,1.0,13,86,3.25,21.5
メンタルケア科,SL_0043,全体,2,2,09:00,4,4,1.0,16,113,4.0,28.2
メンタルケア科,SL_0043,全体,2,3,09:30,4,4,1.0,13,112,3.25,28.0
メンタルケア科,SL_0043,全体,2,4,10:00,4,4,1.0,13,89,3.25,22.2
メンタルケア科,SL_0043,全体,2,5,10:30,4,4,1.0,19,106,4.75,26.5
メンタルケア科,SL_0043,全体,2,6,11:00,4,4,1.0,13,104,3.25,26.0
メンタルケア科,SL_0043,全体,2,7,11:30,4,4,1.0,16,117,4.0,29.2
メンタルケア科,SL_0043,全体,2,8,12:00,4,4,1.0,10,67,2.5,16.8
メンタルケア科,SL_0043,全体,2,9,12:30,2,4,0.5,4,32,1.0,8.0
メンタルケア科,SL_0043,全体,2,10,13:00,4,4,1.0,7,52,1.75,13.0
メンタルケア科,SL_0043,全体,2,11,13:30,4,4,1.0,11,88,2.75,22.0
メンタルケア科,SL_0043,全体,2,12,14:00,4,4,1.0,10,95,2.5,23.8
メンタルケア科,SL_0043,全体,2,13,14:30,4,4,1.0,10,93,2.5,23.2
メンタルケア科,SL_0043,全体,2,14,15:00,3,4,0.75,5,43,1.25,10.8
メンタルケア科,SL_0043,全体,2,15,15:30,1,4,0.25,1,19,0.25,4.8
メンタルケア科,SL_0043,全体,2,16,16:00,1,4,0.25,1,13,0.25,3.2
メンタルケア科,SL_0043,再診,2,1,08:30,4,4,1.0,13,86,3.25,21.5
メンタルケア科,SL_0043,再診,2,2,09:00,4,4,1.0,16,113,4.0,28.2
メンタルケア科,SL_0043,再診,2,3,09:30,4,4,1.0,13,112,3.25,28.0
メンタルケア科,SL_0043,再診,2,4,10:00,4,4,1.0,13,89,3.25,22.2
メンタルケア科,SL_0043,再診,2,5,10:30,4,4,1.0,19,106,4.75,26.5
メンタルケア科,SL_0043,再診,2,6,11:00,4,4,1.0,13,104,3.25,26.0
メンタルケア科,SL_0043,再診,2,7,11:30,4,4,1.0,16,117,4.0,29.2
メンタルケア科,SL_0043,再診,2,8,12:00,4,4,1.0,10,67,2.5,16.8
メンタルケア科,SL_0043,再診,2,9,12:30,2,4,0.5,4,32,1.0,8.0
メンタルケア科,SL_0043,再診,2,10,13:00,4,4,1.0,7,52,1.75,13.0
メンタルケア科,SL_0043,再診,2,11,13:30,4,4,1.0,11,88,2.75,22.0
メンタルケア科,SL_0043,再診,2,12,14:00,4,4,1.0,10,95,2.5,23.8
メンタルケア科,SL_0043,再診,2,13,14:30,4,4,1.0,10,93,2.5,23.2
メンタルケア科,SL_0043,再診,2,14,15:00,3,4,0.75,5,43,1.25,10.8
メンタルケア科,SL_0043,再診,2,15,15:30,1,4,0.25,1,19,0.25,4.8
メンタルケア科,SL_0043,再診,2,16,16:00,1,4,0.25,1,13,0.25,3.2
メンタルケア科,SL_0043,薬再診,2,1,08:30,2,4,0.5,5,19,1.25,4.8
メンタルケア科,SL_0043,薬再診,2,2,09:00,2,4,0.5,3,11,0.75,2.8
メンタルケア科,SL_0043,薬再診,2,3,09:30,1,4,0.25,3,11,0.75,2.8
メンタルケア科,SL_0043,薬再診,2,4,10:00,3,4,0.75,6,20,1.5,5.0
メンタルケア科,SL_0043,薬再診,2,5,10:30,2,4,0.5,6,20,1.5,5.0
メンタルケア科,SL_0043,薬再診,2,7,11:30,2,4,0.5,4,17,1.0,4.2
メンタルケア科,SL_0043,薬再診,2,8,12:00,2,4,0.5,3,8,0.75,2.0
メンタルケア科,SL_0043,薬再診,2,10,13:00,1,4,0.25,1,4,0.25,1.0
メンタルケア科,SL_0043,薬再診,2,11,13:30,2,4,0.5,3,13,0.75,3.2
メンタルケア科,SL_0043,薬再診,2,12,14:00,1,4,0.25,1,1,0.25,0.2
メンタルケア科,SL_0255,全体,0,1,08:30,3,4,0.75,4,23,1.0,5.8
メンタルケア科,SL_0255,全体,0,2,09:00,3,4,0.75,8,79,2.0,19.8
メンタルケア科,SL_0255,全体,0,3,09:30,3,4,0.75,9,63,2.25,15.8
メンタルケア科,SL_0255,全体,0,4,10:00,3,4,0.75,8,66,2.0,16.5
