診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2026-01,再診,紹介状無し,56
がんゲノム,2026-01,再診,紹介状無し,11
アレルギー科,2026-01,再診,紹介状無し,147
アレルギー科,2026-01,初診,紹介状あり,1
ソーシャルワーカー,2026-01,再診,紹介状無し,129
メンタルケア科,2026-01,再診,紹介状無し,359
リウマチ膠原病内科,2026-01,再診,紹介状無し,1042
リウマチ膠原病内科,2026-01,初診,紹介状あり,22
リウマチ膠原病内科,2026-01,初診,紹介状無し,4
一般消化器外科,2026-01,再診,紹介状あり,7
一般消化器外科,2026-01,再診,紹介状無し,994
一般消化器外科,2026-01,初診,紹介状あり,72
一般消化器外科,2026-01,初診,紹介状無し,12
中央処置室,2026-01,再診,紹介状無し,168
乳腺外科,2026-01,再診,紹介状あり,1
乳腺外科,2026-01,再診,紹介状無し,1508
乳腺外科,2026-01,初診,紹介状あり,52
乳腺外科,2026-01,初診,紹介状無し,7
健診センター,2026-01,再診,紹介状無し,61
入退院支援センター,2026-01,再診,紹介状無し,699
内科,2026-01,再診,紹介状あり,9
内科,2026-01,再診,紹介状無し,131
内科,2026-01,初診,紹介状あり,26
内科,2026-01,初診,紹介状無し,201
呼吸器内科,2026-01,再診,紹介状あり,1
呼吸器内科,2026-01,再診,紹介状無し,1179
呼吸器内科,2026-01,初診,紹介状あり,72
呼吸器内科,2026-01,初診,紹介状無し,15
呼吸器外科,2026-01,再診,紹介状無し,171
呼吸器外科,2026-01,初診,紹介状あり,6
外来手術室,2026-01,再診,紹介状無し,465
小児科,2026-01,再診,紹介状あり,2
小児科,2026-01,再診,紹介状無し,445
小児科,2026-01,初診,紹介状あり,61
小児科,2026-01,初診,紹介状無し,69
形成外科,2026-01,再診,紹介状無し,444
形成外科,2026-01,初診,紹介状あり,31
形成外科,2026-01,初診,紹介状無し,1
循環器内科,2026-01,再診,紹介状あり,7
循環器内科,2026-01,再診,紹介状無し,1363
循環器内科,2026-01,初診,紹介状あり,109
循環器内科,2026-01,初診,紹介状無し,27
心理検査,2026-01,再診,紹介状無し,1
心臓血管外科,2026-01,再診,紹介状無し,201
心臓血管外科,2026-01,初診,紹介状あり,3
心臓血管外科,2026-01,初診,紹介状無し,2
感染症,2026-01,再診,紹介状無し,25
放射線治療科,2026-01,再診,紹介状無し,839
放射線治療科,2026-01,初診,紹介状あり,8
