診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2026-01,56,0,56,0,0,1,0.0,0.0,0.0,1.79
がんゲノム,2026-01,11,0,11,0,0,1,0.0,0.0,0.0,9.09
アレルギー科,2026-01,148,1,147,1,1,8,0.68,100.0,0.68,5.41
ソーシャルワーカー,2026-01,129,0,129,0,0,31,0.0,0.0,0.0,24.03
メンタルケア科,2026-01,359,0,359,0,0,34,0.0,0.0,0.0,9.47
リウマチ膠原病内科,2026-01,1068,26,1042,22,22,35,2.43,84.62,2.06,3.28
一般消化器外科,2026-01,1085,84,1001,72,79,91,7.74,85.71,7.28,8.39
中央処置室,2026-01,168,0,168,0,0,3,0.0,0.0,0.0,1.79
乳腺外科,2026-01,1568,59,1509,52,53,62,3.76,88.14,3.38,3.95
健診センター,2026-01,61,0,61,0,0,6,0.0,0.0,0.0,9.84
入退院支援センター,2026-01,699,0,699,0,0,0,0.0,0.0,0.0,0.0
内科,2026-01,367,227,140,26,35,0,61.85,11.45,9.54,0.0
呼吸器内科,2026-01,1267,87,1180,72,73,50,6.87,82.76,5.76,3.95
呼吸器外科,2026-01,177,6,171,6,6,4,3.39,100.0,3.39,2.26
外来手術室,2026-01,465,0,465,0,0,42,0.0,0.0,0.0,9.03
小児科,2026-01,577,130,447,61,63,33,22.53,46.92,10.92,5.72
形成外科,2026-01,476,32,444,31,31,32,6.72,96.88,6.51,6.72
循環器内科,2026-01,1506,136,1370,109,116,69,9.03,80.15,7.7,4.58
心理検査,2026-01,1,0,1,0,0,0,0.0,0.0,0.0,0.0
心臓血管外科,2026-01,206,5,201,3,3,13,2.43,60.0,1.46,6.31
感染症,2026-01,25,0,25,0,0,8,0.0,0.0,0.0,32.0
放射線治療科,2026-01,847,8,839,8,8,22,0.94,100.0,0.94,2.6
放射線診断科,2026-01,1,0,1,0,0,0,0.0,0.0,0.0,0.0
救急科,2026-01,446,290,156,10,16,3,65.02,3.45,3.59,0.67
整形外科,2026-01,1823,224,1599,208,211,98,12.29,92.86,11.57,5.38
歯科口腔外科,2026-01,1027,214,813,144,145,31,20.84,67.29,14.12,3.02
泌尿器科,2026-01,3453,108,3345,90,94,171,3.13,83.33,2.72,4.95
消化器内科,2026-01,1595,169,1426,161,164,82,10.6,95.27,10.28,5.14
産婦人科,2026-01,1915,153,1762,117,123,195,7.99,76.47,6.42,10.18
皮膚・排泄ケア,2026-01,48,0,48,0,0,34,0.0,0.0,0.0,70.83
皮膚科,2026-01,1192,87,1105,64,65,37,7.3,73.56,5.45,3.1
看護部,2026-01,122,0,122,0,0,17,0.0,0.0,0.0,13.93
眼科,2026-01,3321,222,3099,208,209,147,6.68,93.69,6.29,4.43
禁煙外来,2026-01,7,0,7,0,0,1,0.0,0.0,0.0,14.29
総合内科,2026-01,1153,180,973,99,105,65,15.61,55.0,9.11,5.64
緩和ケアチーム,2026-01,30,0,30,0,0,21,0.0,0.0,0.0,70.0
緩和ケア内科,2026-01,2,0,2,0,0,0,0.0,0.0,0.0,0.0
耳鼻咽喉科,2026-01,1842,153,1689,128,128,104,8.31,83.66,6.95,5.65
脳神経内科,2026-01,545,53,492,50,51,33,9.72,94.34,9.36,6.06
脳神経外科,2026-01,214,29,185,19,21,8,13.55,65.52,9.81,3.74
腎内科,2026-01,794,22,772,21,22,31,2.77,95.45,2.77,3.9
臨床工学技師,2026-01,246,0,246,0,0,189,0.0,0.0,0.0,76.83
臨床腫瘍科,2026-01,207,1,206,0,0,5,0.48,0.0,0.0,2.42
薬剤部,2026-01,152,0,152,0,0,3,0.0,0.0,0.0,1.97
血液内科,2026-01,767,16,751,14,15,26,2.09,87.5,1.96,3.39
退院支援,2026-01,147,0,147,0,0,40,0.0,0.0,0.0,27.21
通院治療センター,2026-01,54,0,54,0,0,2,0.0,0.0,0.0,3.7
遺伝診療科,2026-01,53,4,49,2,3,4,7.55,50.0,5.66,7.55
骨転移カンファレンス,2026-01,7,0,7,0,0,6,0.0,0.0,0.0,85.71
麻酔科,2026-01,404,0,404,0,0,0,0.0,0.0,0.0,0.0
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-01,102,2,100,2,2,3,1.96,100.0,1.96,2.94
